Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 3.48782e+07 1.66523e+07
 100000 1.39077e+08 6.43547e+07
 150000 3.11949e+08 1.3999e+08
 200000 5.52857e+08 2.40784e+08
 250000 8.61167e+08 3.64272e+08
 300000 1.23625e+09 5.08262e+08
 350000 1.67748e+09 6.70787e+08
 400000 2.18425e+09 8.50087e+08
 450000 2.75595e+09 1.04459e+09
 500000 3.39197e+09 1.25286e+09
 550000 4.0917e+09 1.47364e+09
 600000 4.85456e+09 1.70577e+09
 650000 5.67996e+09 1.9482e+09
 700000 6.56732e+09 2.20001e+09
 750000 7.51605e+09 2.46034e+09
 800000 8.5256e+09 2.72844e+09
 850000 9.59538e+09 3.0036e+09
 900000 1.07248e+10 3.2852e+09
 950000 1.19134e+10 3.57267e+09
 1e+06 1.31606e+10 3.8655e+09
 1e+06 1.31611e+10 3.86854e+09
 2e+06 4.96051e+10 1.03762e+10
 3e+06 1.05359e+11 1.74095e+10
 4e+06 1.77131e+11 2.46082e+10
 5e+06 2.62218e+11 3.19027e+10
 6e+06 3.58403e+11 3.92479e+10
 7e+06 4.63827e+11 4.66809e+10
 8e+06 5.7694e+11 5.4185e+10
 9e+06 6.9645e+11 6.17258e+10
 1e+07 8.21286e+11 6.92951e+10
 1.1e+07 9.50533e+11 7.69117e+10
 1.2e+07 1.08345e+12 8.45537e+10
 1.3e+07 1.21944e+12 9.22135e+10
 1.4e+07 1.35796e+12 9.9891e+10
 1.5e+07 1.49856e+12 1.07589e+11
 1.6e+07 1.64091e+12 1.15291e+11
 1.7e+07 1.78466e+12 1.23e+11
 1.8e+07 1.92957e+12 1.30711e+11
 1.9e+07 2.07544e+12 1.38435e+11
 2e+07 2.22216e+12 1.46177e+11
 2e+07 2.22122e+12 1.43416e+11
 4e+07 5.21561e+12 2.99761e+11
 6e+07 8.22964e+12 4.56057e+11
 8e+07 1.12664e+13 6.09533e+11
 1e+08 1.42993e+13 7.57663e+11
 1.2e+08 1.73081e+13 8.95206e+11
 1.4e+08 2.03692e+13 1.03502e+12
 1.6e+08 2.3413e+13 1.17322e+12
 1.8e+08 2.64601e+13 1.31555e+12
 2e+08 2.95648e+13 1.47111e+12
 2.2e+08 3.26872e+13 1.62033e+12
 2.4e+08 3.57588e+13 1.77136e+12
 2.6e+08 3.87333e+13 1.91875e+12
 2.8e+08 4.17824e+13 2.06263e+12
 3e+08 4.48916e+13 2.21391e+12
 3.2e+08 4.793e+13 2.36434e+12
 3.4e+08 5.09309e+13 2.51599e+12
 3.6e+08 5.38134e+13 2.6656e+12
 3.8e+08 5.6661e+13 2.81726e+12
 4e+08 5.95085e+13 2.97865e+12
 4e+08 5.95326e+13 3.03078e+12
 8e+08 1.1716e+14 6.91843e+12
