Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 1.34698e+07 -1.34698e+07 1.34698e+07
 100000 5.37218e+07 -5.37218e+07 5.37218e+07
 150000 1.2052e+08 -1.2052e+08 1.2052e+08
 200000 2.13627e+08 -2.13627e+08 2.13627e+08
 250000 3.32809e+08 -3.32809e+08 3.32809e+08
 300000 4.77835e+08 -4.77835e+08 4.77835e+08
 350000 6.48483e+08 -6.48483e+08 6.48483e+08
 400000 8.44535e+08 -8.44535e+08 8.44535e+08
 450000 1.06578e+09 -1.06578e+09 1.06578e+09
 500000 1.31199e+09 -1.31199e+09 1.31199e+09
 550000 1.58298e+09 -1.58298e+09 1.58298e+09
 600000 1.87853e+09 -1.87853e+09 1.87853e+09
 650000 2.19843e+09 -2.19843e+09 2.19843e+09
 700000 2.54248e+09 -2.54248e+09 2.54248e+09
 750000 2.91049e+09 -2.91049e+09 2.91049e+09
 800000 3.30226e+09 -3.30226e+09 3.30226e+09
 850000 3.7176e+09 -3.7176e+09 3.7176e+09
 900000 4.1563e+09 -4.1563e+09 4.1563e+09
 950000 4.61819e+09 -4.61819e+09 4.61819e+09
 1e+06 5.10307e+09 -5.10307e+09 5.10307e+09
 1e+06 5.10039e+09 -5.10039e+09 5.10039e+09
 2e+06 1.93587e+10 -1.93587e+10 1.93587e+10
 3e+06 4.14699e+10 -4.14699e+10 4.14699e+10
 4e+06 7.03126e+10 -7.03126e+10 7.03126e+10
 5e+06 1.0495e+11 -1.0495e+11 1.0495e+11
 6e+06 1.44665e+11 -1.44665e+11 1.44665e+11
 7e+06 1.88898e+11 -1.88898e+11 1.88898e+11
 8e+06 2.37215e+11 -2.37215e+11 2.37215e+11
 9e+06 2.89296e+11 -2.89296e+11 2.89296e+11
 1e+07 3.44916e+11 -3.44916e+11 3.44916e+11
 1.1e+07 4.03805e+11 -4.03805e+11 4.03805e+11
 1.2e+07 4.65696e+11 -4.65696e+11 4.65696e+11
 1.3e+07 5.30242e+11 -5.30242e+11 5.30242e+11
 1.4e+07 5.97072e+11 -5.97072e+11 5.97072e+11
 1.5e+07 6.6583e+11 -6.6583e+11 6.6583e+11
 1.6e+07 7.36256e+11 -7.36256e+11 7.36256e+11
 1.7e+07 8.08253e+11 -8.08253e+11 8.08253e+11
 1.8e+07 8.81617e+11 -8.81617e+11 8.81617e+11
 1.9e+07 9.56314e+11 -9.56314e+11 9.56314e+11
 2e+07 1.03227e+12 -1.03227e+12 1.03227e+12
 2e+07 1.03344e+12 -1.03344e+12 1.03344e+12
 4e+07 2.64488e+12 -2.64488e+12 2.64488e+12
 6e+07 4.79965e+12 -4.79965e+12 4.79965e+12
 8e+07 6.97479e+12 -6.97479e+12 6.97479e+12
 1e+08 9.25311e+12 -9.25311e+12 9.25311e+12
 1.2e+08 1.13068e+13 -1.13068e+13 1.13068e+13
 1.4e+08 1.349e+13 -1.349e+13 1.349e+13
 1.6e+08 1.59726e+13 -1.59726e+13 1.59726e+13
 1.8e+08 1.81866e+13 -1.81866e+13 1.81866e+13
 2e+08 2.08576e+13 -2.08576e+13 2.08576e+13
 2.2e+08 2.29e+13 -2.29e+13 2.29e+13
 2.4e+08 2.39243e+13 -2.39243e+13 2.39243e+13
 2.6e+08 2.39014e+13 -2.39014e+13 2.39014e+13
 2.8e+08 2.33664e+13 -2.33664e+13 2.33664e+13
 3e+08 2.30111e+13 -2.30111e+13 2.30111e+13
 3.2e+08 2.09753e+13 -2.09753e+13 2.09753e+13
 3.4e+08 1.95041e+13 -1.95041e+13 1.95041e+13
 3.6e+08 1.81757e+13 -1.81757e+13 1.81757e+13
 3.8e+08 1.80093e+13 -1.80093e+13 1.80093e+13
 4e+08 1.7254e+13 -1.7254e+13 1.7254e+13
 4e+08 3.09301e+13 -3.09301e+13 3.09301e+13
