Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 7.89593e-16
 100000 2.13857e-15
 150000 3.72012e-15
 200000 5.48895e-15
 250000 7.43081e-15
 300000 9.54296e-15
 350000 1.18334e-14
 400000 1.42998e-14
 450000 1.69381e-14
 500000 1.97493e-14
 550000 2.2739e-14
 600000 2.59007e-14
 650000 2.92333e-14
 700000 3.27398e-14
 750000 3.64172e-14
 800000 4.02701e-14
 850000 4.4291e-14
 900000 4.84778e-14
 950000 5.28315e-14
 1e+06 5.73589e-14
 1e+06 5.75048e-14
 2e+06 1.85166e-13
 3e+06 3.8189e-13
 4e+06 6.48299e-13
 5e+06 9.83757e-13
 6e+06 1.3888e-12
 7e+06 1.86405e-12
 8e+06 2.40937e-12
 9e+06 3.02389e-12
 1e+07 3.70653e-12
 1.1e+07 4.45768e-12
 1.2e+07 5.27622e-12
 1.3e+07 6.16307e-12
 1.4e+07 7.11802e-12
 1.5e+07 8.14218e-12
 1.6e+07 9.23344e-12
 1.7e+07 1.03937e-11
 1.8e+07 1.16227e-11
 1.9e+07 1.29187e-11
 2e+07 1.42838e-11
 2e+07 1.4367e-11
 4e+07 5.60601e-11
 6e+07 1.24294e-10
 8e+07 2.18077e-10
 1e+08 3.36814e-10
 1.2e+08 4.80393e-10
 1.4e+08 6.47496e-10
 1.6e+08 8.37374e-10
 1.8e+08 1.04957e-09
 2e+08 1.28325e-09
 2.2e+08 1.53906e-09
 2.4e+08 1.81507e-09
 2.6e+08 2.11173e-09
 2.8e+08 2.4274e-09
 3e+08 2.76155e-09
 3.2e+08 3.11262e-09
 3.4e+08 3.48108e-09
 3.6e+08 3.86787e-09
 3.8e+08 4.27228e-09
 4e+08 4.69283e-09
 4e+08 5.39279e-09
 8e+08 1.80039e-08
 1.2e+09 3.343e-08
 1.6e+09 5.35321e-08
 2e+09 8.0002e-08
