Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 1.54437e+08
 100000 6.11514e+08
 150000 1.3621e+09
 200000 2.39732e+09
 250000 3.70861e+09
 300000 5.28764e+09
 350000 7.12633e+09
 400000 9.21685e+09
 450000 1.15516e+10
 500000 1.41233e+10
 550000 1.69247e+10
 600000 1.9949e+10
 650000 2.31893e+10
 700000 2.66393e+10
 750000 3.02927e+10
 800000 3.41432e+10
 850000 3.81849e+10
 900000 4.24122e+10
 950000 4.68194e+10
 1e+06 5.14011e+10
 1e+06 5.14054e+10
 2e+06 1.7266e+11
 3e+06 3.31891e+11
 4e+06 5.11816e+11
 5e+06 7.03053e+11
 6e+06 9.00495e+11
 7e+06 1.10134e+12
 8e+06 1.30407e+12
 9e+06 1.50785e+12
 1e+07 1.71221e+12
 1.1e+07 1.91691e+12
 1.2e+07 2.12184e+12
 1.3e+07 2.32694e+12
 1.4e+07 2.53214e+12
 1.5e+07 2.73739e+12
 1.6e+07 2.94268e+12
 1.7e+07 3.14797e+12
 1.8e+07 3.35328e+12
 1.9e+07 3.55863e+12
 2e+07 3.76399e+12
 2e+07 3.76474e+12
 4e+07 7.87329e+12
 6e+07 1.19864e+13
 8e+07 1.61064e+13
 1e+08 2.0227e+13
 1.2e+08 2.43476e+13
 1.4e+08 2.84917e+13
 1.6e+08 3.26498e+13
 1.8e+08 3.6837e+13
 2e+08 4.10255e+13
 2.2e+08 4.52167e+13
 2.4e+08 4.93994e+13
 2.6e+08 5.35819e+13
 2.8e+08 5.7768e+13
 3e+08 6.19479e+13
 3.2e+08 6.61411e+13
 3.4e+08 7.03523e+13
 3.6e+08 7.4562e+13
 3.8e+08 7.87583e+13
 4e+08 8.29444e+13
 4e+08 8.20106e+13
 8e+08 1.66179e+14
 1.2e+09 2.50503e+14
 1.6e+09 3.34375e+14
 2e+09 4.20881e+14
