# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 17818.8 0.115241 2990.4 1.00859 0.000164286
200000 17844 -0.116452 2994.66 1.00299 0.000163196
300000 17808.3 -0.204696 2988.69 0.992263 0.000161749
400000 17922.6 -0.171262 3007.86 1.01422 0.000164217
500000 17881.3 -0.233979 3000.94 1.00681 0.00016343
600000 17905.4 -0.00716462 3004.94 1.00564 0.00016296
700000 17838.4 -0.148524 2993.72 1.00877 0.000164181
800000 17843.9 -0.233579 2994.67 0.991753 0.000161278
900000 17868.2 -0.244672 2998.74 1.00632 0.000163476
1000000 17733.8 -0.10432 2976.17 0.98677 0.000161505
1100000 17814.6 0.97823 2989.55 0.994694 0.000161986
1200000 17896.3 0.456776 3003.34 0.99426 0.000161185
1300000 17953.9 -0.101656 3013.1 0.999096 0.000161517
1400000 17718.7 0.890378 2973.46 0.989394 0.000162014
1500000 17988.6 1.749 3018.62 1.00214 0.000161618
1600000 18007 -0.141007 3022.02 1.00789 0.000162476
1700000 17809.9 -0.0456561 2988.93 0.999613 0.000162899
1800000 17683.3 -0.165974 2967.7 0.979171 0.000160672
1900000 18269.4 -0.241984 3066.08 1.0331 0.000164113
2000000 17879.7 -0.31671 3000.69 1.00264 0.000162736
2100000 17811.4 1.49548 2988.92 1.007 0.000164036
2200000 17913.6 0.287435 3006.28 1.00692 0.00016316
2300000 18056.5 -0.188681 3030.34 1.01409 0.000163032
2400000 17816.6 -0.126702 2990.07 1.00344 0.000163466
2500000 18089.6 0.531832 3035.77 1.00002 0.000160369
2600000 18175.4 0.293841 3050.21 1.02805 0.000164117
2700000 17803.7 -0.147891 2987.9 0.98413 0.00016042
2800000 17758.3 -0.0160544 2980.26 1.00536 0.000164375
2900000 17744.5 -0.143802 2977.97 0.978326 0.000160008
3000000 17952.3 -0.164831 3012.84 1.00637 0.000162696
3100000 17987 0.365246 3018.58 1.01144 0.000163155
3200000 18090.7 -0.276103 3036.09 1.01736 0.00016315
3300000 18076.8 -0.261293 3033.76 1.01211 0.000162545
3400000 17764.9 3.81642 2980.73 1.00996 0.000164836
3500000 17756.1 -0.129339 2979.91 1.00171 0.000163752
3600000 17739.2 0.114074 2977.03 0.990435 0.000162038
3700000 17872.8 -0.147974 2999.5 1.0046 0.000163134
3800000 18012.9 0.58534 3022.89 1.01254 0.000163101
3900000 17590.4 -0.154595 2952.11 0.97252 0.000160422
4000000 17563 0.380521 2947.43 0.97691 0.000161401
4100000 17945.2 0.341804 3011.58 1.02354 0.000165546
4200000 17727.2 -0.0829476 2975.06 0.982418 0.000160735
4300000 18137.2 -0.283129 3043.9 1.02828 0.000164545
4400000 18242.9 -0.230267 3061.62 1.02377 0.000162875
4500000 17695.9 -0.0926347 2969.81 0.98397 0.000161393
4600000 17708.4 -0.109908 2971.9 0.986616 0.000161697
4700000 17980.9 0.657408 3017.51 1.00687 0.000162502
4800000 18005 -0.128414 3021.68 1.00254 0.000161565
4900000 17715.9 0.0703772 2973.13 0.989697 0.00016214
5000000 17893.9 0.189207 3002.99 1.00013 0.000162173
5100000 17643.8 -0.274313 2961.1 0.984006 0.000161822
5200000 17880.7 -0.0208213 3000.81 0.994843 0.00016147
5300000 18204 -0.0857591 3055.07 1.00922 0.000160927
5400000 17823.1 -0.00181545 2991.13 0.9938 0.000161805
5500000 18034.7 -0.437385 3026.72 1.01248 0.000162949
5600000 17802.4 -0.304649 2987.72 1.00201 0.000163358
5700000 17622.8 0.000268211 2957.51 0.981729 0.000161668
5800000 17998.8 -0.157828 3020.65 0.99375 0.000160218
5900000 18054 -0.248025 3029.93 1.00892 0.000162169
6000000 17797 -0.137706 2986.78 0.992912 0.000161935
6100000 17880.5 -0.0665686 3000.78 1.00322 0.000162828
6200000 17850.6 -0.246982 2995.79 1.00321 0.000163074
6300000 17757.2 1.28428 2979.86 0.995677 0.000162682
6400000 17923.1 -0.273639 3007.97 0.997405 0.00016151
6500000 17808.3 -0.323654 2988.71 1.00939 0.000164487
6600000 17856.5 -0.00116776 2996.75 0.993067 0.000161371
6700000 17804.4 0.117655 2987.99 0.995112 0.000162199
6800000 17982.2 -0.18212 3017.87 0.999218 0.000161341
6900000 18025.3 -0.3326 3025.12 1.0184 0.000164039
7000000 18008.9 -0.233457 3022.35 1.02034 0.000164417
7100000 17593.7 -0.360275 2952.69 0.979721 0.000161541
7200000 17862.5 -0.00889124 2997.75 0.992683 0.000161281
7300000 17859 -0.27456 2997.2 1.01027 0.000164161
7400000 17756.7 -0.0821602 2980.01 1.0014 0.000163679
7500000 17943.4 -0.193408 3011.36 0.988729 0.000159903
7600000 17950.6 -0.279606 3012.57 1.01394 0.000163918
7700000 17794.5 -0.101915 2986.35 0.99883 0.000162931
7800000 17963.6 0.032292 3014.71 1.00439 0.000162244
7900000 18040.4 1.03095 3027.43 0.990477 0.000159244
8000000 17630.7 0.0235646 2958.85 0.996883 0.000164067
8100000 18112.6 -0.281718 3039.77 1.00916 0.000161716
8200000 17723.7 0.581357 2974.35 1.01082 0.000165464
8300000 18045.8 -0.0408396 3028.52 0.99983 0.000160769
8400000 18188.7 -0.213808 3052.53 1.01596 0.000162071
8500000 17871.3 -0.00814751 2999.22 0.997712 0.000162013
8600000 17805.2 -0.104332 2988.15 1.00239 0.000163407
8700000 17757 -0.105681 2980.06 0.994145 0.000162453
8800000 17864 -0.172686 2998.03 0.996667 0.000161909
8900000 17792.4 -0.0153023 2985.98 0.994739 0.000162255
9000000 17832.7 0.84364 2992.61 0.993773 0.000161625
9100000 17801.1 -0.169126 2987.47 0.997165 0.00016259
9200000 17837.1 -0.0500893 2993.5 1.00287 0.000163149
9300000 17710.7 -0.368972 2972.33 1.00116 0.000164103
9400000 17963.8 -0.280533 3014.79 1.00268 0.000162015
9500000 17781.1 -0.204299 2984.12 0.993821 0.000162219
9600000 17924.3 -0.262674 3008.16 1.01234 0.000163898
9700000 17734 -0.15572 2976.21 0.991942 0.000162326
9800000 17817.7 -0.469096 2990.31 0.992465 0.000161666
9900000 17884.2 -0.188118 3001.42 0.997469 0.000161858
10000000 17820.2 -0.109936 2990.66 0.998286 0.000162576
