# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 11917.1 -0.327961 2000.03 0.999515
200000 11917.1 -0.254379 2000.01 0.99941
300000 11917.1 0.207196 1999.94 0.99962
400000 11917.1 -0.287983 2000.02 0.999282
500000 11917.1 -0.295687 2000.02 0.999554
600000 11917.1 0.328816 1999.92 0.999899
700000 11917.1 -0.314481 2000.02 0.999361
800000 11917.1 -0.214747 2000.01 0.999522
900000 11917.1 -0.473853 2000.05 0.99934
1000000 11917.1 -0.299537 2000.02 0.999267
1100000 11917.1 -0.554933 2000.06 0.999338
1200000 11917.1 -0.167818 2000 0.999286
1300000 11917.1 -0.129515 1999.99 0.999473
1400000 11917.1 0.080523 1999.96 0.999734
1500000 11917.1 -0.254306 2000.01 0.999285
1600000 11917.1 -0.45923 2000.05 0.999275
1700000 11917.1 0.105879 1999.95 0.999743
1800000 11917.1 -0.386945 2000.04 0.999282
1900000 11917.1 0.224508 1999.93 0.999718
2000000 11917.1 0.136511 1999.95 0.999601
2100000 11917.1 -0.422634 2000.04 0.99926
2200000 11917.1 1.18357 1999.77 1.00033
2300000 11917.1 -0.148394 2000 0.999647
2400000 11917.1 -0.285932 2000.02 0.999535
2500000 11917.1 -0.419327 2000.04 0.999317
2600000 11917.1 -0.505936 2000.06 0.999312
2700000 11917.1 -0.457958 2000.05 0.99932
2800000 11917.1 -0.229732 2000.01 0.999531
2900000 11917.1 -0.459754 2000.05 0.999325
3000000 11917.1 -0.585672 2000.07 0.999271
3100000 11917.1 -0.143681 2000 0.999451
3200000 11917.1 -0.529104 2000.06 0.999335
3300000 11917.1 -0.543305 2000.06 0.999312
3400000 11917.1 -0.532911 2000.06 0.999259
3500000 11917.1 0.526517 1999.88 0.999929
3600000 11917.1 -0.441934 2000.04 0.999384
3700000 11917.1 -0.517747 2000.06 0.999309
3800000 11917.1 -0.365271 2000.03 0.999427
3900000 11917.1 -0.404385 2000.04 0.999315
4000000 11917.1 -0.427739 2000.04 0.999263
4100000 11917.1 -0.300833 2000.02 0.999524
4200000 11917.1 -0.200484 2000 0.999434
4300000 11917.1 -0.367926 2000.03 0.999274
4400000 11917.1 -0.254938 2000.01 0.999362
4500000 11917.1 -0.433562 2000.04 0.999301
4600000 11917.1 -0.446814 2000.05 0.999395
4700000 11917.1 -0.310489 2000.02 0.999505
4800000 11917.1 -0.29226 2000.02 0.999349
4900000 11917.1 0.148619 1999.95 0.999592
5000000 11917.1 -0.308814 2000.02 0.999365
5100000 11917.1 -0.432238 2000.04 0.999254
5200000 11917.1 -0.203185 2000 0.999486
5300000 11917.1 -0.11932 1999.99 0.999467
5400000 11917.1 -0.0745593 1999.98 0.999588
5500000 11917.1 -0.392094 2000.04 0.999324
5600000 11917.1 -0.113082 1999.99 0.999556
5700000 11917.1 -0.117341 1999.99 0.999455
5800000 11917.1 -0.0140945 1999.97 0.999678
5900000 11917.1 1.88847 1999.65 1.00045
6000000 11917.1 0.430036 1999.9 0.999882
6100000 11917.1 -0.508586 2000.06 0.999265
6200000 11917.1 -0.527521 2000.06 0.999335
6300000 11917.1 -0.629298 2000.08 0.999251
6400000 11917.1 0.559333 1999.88 1.0001
6500000 11917.1 -0.357175 2000.03 0.999302
6600000 11917.1 -0.381417 2000.03 0.999355
6700000 11917.1 0.935957 1999.81 1.00024
6800000 11917.1 -0.321984 2000.02 0.999395
6900000 11917.1 -0.468638 2000.05 0.999308
7000000 11917.1 -0.421748 2000.04 0.999467
7100000 11917.1 -0.0861067 1999.99 0.999473
7200000 11917.1 0.663574 1999.86 0.99984
7300000 11917.1 -0.198212 2000 0.999408
7400000 11917.1 -0.487575 2000.05 0.999311
7500000 11917.1 0.964988 1999.81 1.00001
7600000 11917.1 -0.5253 2000.06 0.999267
7700000 11917.1 0.437484 1999.9 0.999732
7800000 11917.1 -0.0515161 1999.98 0.999562
7900000 11917.1 -0.237015 2000.01 0.999336
8000000 11917.1 -0.222851 2000.01 0.999475
8100000 11917.1 0.242512 1999.93 0.999937
8200000 11917.1 -0.426198 2000.04 0.999266
8300000 11917.1 -0.549268 2000.06 0.999349
8400000 11917.1 -0.659133 2000.08 0.999354
8500000 11917.1 -0.290935 2000.02 0.999274
8600000 11917.1 -0.406119 2000.04 0.99932
8700000 11917.1 -0.473225 2000.05 0.999364
8800000 11917.1 0.506647 1999.89 0.999841
8900000 11917.1 -0.322405 2000.02 0.999313
9000000 11917.1 -0.0319416 1999.98 0.999487
9100000 11917.1 -0.483519 2000.05 0.999336
9200000 11917.1 -0.503801 2000.06 0.999255
9300000 11917.1 -0.343976 2000.03 0.999446
9400000 11917.1 -0.66458 2000.08 0.999374
9500000 11917.1 -0.273362 2000.02 0.999367
9600000 11917.1 -0.327029 2000.03 0.999294
9700000 11917.1 -0.580495 2000.07 0.999303
9800000 11917.1 -0.544954 2000.06 0.99925
9900000 11917.1 -0.0229804 1999.97 0.99962
10000000 11917.1 0.0572165 1999.96 0.999671
10100000 11917.1 0.247778 1999.93 0.999823
10200000 11917.1 -0.389431 2000.04 0.999336
10300000 11917.1 -0.281565 2000.02 0.999275
10400000 11917.1 -0.275843 2000.02 0.999377
10500000 11917.1 -0.242484 2000.01 0.999485
10600000 11917.1 0.923316 1999.82 1.00009
10700000 11917.1 -0.194762 2000 0.999528
10800000 11917.1 -0.547569 2000.06 0.999271
10900000 11917.1 -0.323835 2000.03 0.999471
11000000 11917.1 0.121176 1999.95 0.999688
11100000 11917.1 -0.369183 2000.03 0.999463
11200000 11917.1 -0.434327 2000.04 0.999304
11300000 11917.1 0.32843 1999.92 0.999755
11400000 11917.1 -0.269558 2000.02 0.999404
11500000 11917.1 -0.499151 2000.05 0.999303
11600000 11917.1 -0.211494 2000.01 0.999464
11700000 11917.1 -0.00360347 1999.97 0.999528
11800000 11917.1 -0.409925 2000.04 0.999263
11900000 11917.1 -0.24945 2000.01 0.999275
12000000 11917.1 -0.221681 2000.01 0.999283
12100000 11917.1 1.19539 1999.77 1.00013
12200000 11917.1 -0.242825 2000.01 0.999376
12300000 11917.1 0.266587 1999.93 0.999646
12400000 11917.1 -0.336735 2000.03 0.999266
12500000 11917.1 -0.450495 2000.05 0.999318
12600000 11917.1 -0.279448 2000.02 0.999423
12700000 11917.1 -0.385797 2000.04 0.999451
12800000 11917.1 0.301826 1999.92 0.999847
12900000 11917.1 0.554818 1999.88 0.999896
13000000 11917.1 -0.349061 2000.03 0.999344
13100000 11917.1 -0.324411 2000.03 0.99936
13200000 11917.1 -0.121705 1999.99 0.999535
13300000 11917.1 -0.26162 2000.01 0.999305
13400000 11917.1 0.849465 1999.83 0.999945
13500000 11917.1 -0.26477 2000.02 0.999645
13600000 11917.1 -0.356304 2000.03 0.999271
13700000 11917.1 0.0224252 1999.97 0.999609
13800000 11917.1 -0.435027 2000.04 0.999272
13900000 11917.1 0.0839798 1999.96 0.9997
14000000 11917.1 0.39117 1999.91 0.999732
14100000 11917.1 -0.141173 1999.99 0.999597
14200000 11917.1 -0.477777 2000.05 0.999306
14300000 11917.1 -0.261814 2000.01 0.999562
14400000 11917.1 -0.431857 2000.04 0.999264
14500000 11917.1 0.313729 1999.92 0.999721
14600000 11917.1 -0.077919 1999.98 0.99953
14700000 11917.1 -0.236655 2000.01 0.999414
14800000 11917.1 -0.404115 2000.04 0.999409
14900000 11917.1 -0.336365 2000.03 0.999431
15000000 11917.1 -0.393444 2000.04 0.999322
15100000 11917.1 -0.0183941 1999.97 0.999514
15200000 11917.1 -0.344852 2000.03 0.999402
15300000 11917.1 -0.628757 2000.08 0.999338
15400000 11917.1 1.03218 1999.8 1.00018
15500000 11917.1 -0.492423 2000.05 0.999258
15600000 11917.1 0.0377727 1999.96 0.999678
15700000 11917.1 -0.448394 2000.05 0.999387
15800000 11917.1 -0.399815 2000.04 0.999284
15900000 11917.1 -0.353018 2000.03 0.99927
16000000 11917.1 -0.0785716 1999.98 0.999431
16100000 11917.1 -0.386939 2000.04 0.999616
16200000 11917.1 -0.328906 2000.03 0.999435
16300000 11917.1 -0.529354 2000.06 0.999278
16400000 11917.1 -0.400903 2000.04 0.999388
16500000 11917.1 0.159107 1999.94 0.999721
16600000 11917.1 -0.588171 2000.07 0.999345
16700000 11917.1 -0.0916663 1999.99 0.999563
16800000 11917.1 0.941038 1999.81 1.00005
16900000 11917.1 -0.541784 2000.06 0.999273
17000000 11917.1 -0.444807 2000.05 0.999255
17100000 11917.1 -0.380358 2000.03 0.999288
17200000 11917.1 -0.426637 2000.04 0.999398
17300000 11917.1 0.576034 1999.87 1.00004
17400000 11917.1 -0.288517 2000.02 0.999274
17500000 11917.1 -0.428072 2000.04 0.999424
17600000 11917.1 1.01192 1999.8 0.999992
17700000 11917.1 -0.382621 2000.03 0.999606
17800000 11917.1 -0.521688 2000.06 0.999334
17900000 11917.1 -0.0583791 1999.98 0.999522
18000000 11917.1 -0.0509177 1999.98 0.999455
18100000 11917.1 0.737759 1999.85 0.999901
18200000 11917.1 -0.323407 2000.03 0.999445
18300000 11917.1 -0.0995882 1999.99 0.999669
18400000 11917.1 -0.000654281 1999.97 0.999785
18500000 11917.1 -0.589106 2000.07 0.999285
18600000 11917.1 -0.301824 2000.02 0.999271
18700000 11917.1 -0.340652 2000.03 0.999277
18800000 11917.1 0.440657 1999.9 0.999693
18900000 11917.1 -0.476087 2000.05 0.999256
19000000 11917.1 -0.54601 2000.06 0.999296
19100000 11917.1 -0.370021 2000.03 0.999275
19200000 11917.1 -0.234735 2000.01 0.999503
19300000 11917.1 -0.136723 1999.99 0.99955
19400000 11917.1 -0.331368 2000.03 0.999268
19500000 11917.1 -0.247757 2000.01 0.999404
19600000 11917.1 -0.398826 2000.04 0.99943
19700000 11917.1 0.0587029 1999.96 0.999547
19800000 11917.1 -0.432707 2000.04 0.999287
19900000 11917.1 0.387118 1999.91 0.999659
20000000 11917.1 0.515246 1999.88 0.999972
20100000 11917.1 -0.623331 2000.08 0.999386
20200000 11917.1 0.510143 1999.89 0.999909
20300000 11917.1 -0.0167903 1999.97 0.999547
20400000 11917.1 -0.601739 2000.07 0.999303
20500000 11917.1 -0.453362 2000.05 0.999271
20600000 11917.1 -0.0213076 1999.97 0.999621
20700000 11917.1 0.0726649 1999.96 0.999627
20800000 11917.1 -0.533515 2000.06 0.999272
20900000 11917.1 -0.325248 2000.03 0.999273
21000000 11917.1 0.138082 1999.95 0.999685
21100000 11917.1 0.274162 1999.92 0.999762
21200000 11917.1 -0.276405 2000.02 0.999571
21300000 11917.1 -0.635422 2000.08 0.999346
21400000 11917.1 -0.285718 2000.02 0.999405
21500000 11917.1 -0.558196 2000.06 0.999329
21600000 11917.1 -0.467166 2000.05 0.999266
21700000 11917.1 0.124247 1999.95 0.999599
21800000 11917.1 -0.539212 2000.06 0.999365
21900000 11917.1 -0.444163 2000.05 0.999332
22000000 11917.1 -0.389134 2000.04 0.99946
22100000 11917.1 -0.285646 2000.02 0.999282
22200000 11917.1 0.24118 1999.93 0.99991
22300000 11917.1 -0.225505 2000.01 0.999507
22400000 11917.1 -0.448643 2000.05 0.999403
22500000 11917.1 -0.305721 2000.02 0.999271
22600000 11917.1 -0.320203 2000.02 0.999337
22700000 11917.1 0.023846 1999.97 0.999536
22800000 11917.1 -0.441504 2000.04 0.999251
22900000 11917.1 1.78071 1999.67 1.00048
23000000 11917.1 -0.374605 2000.03 0.999607
23100000 11917.1 -0.245432 2000.01 0.999315
23200000 11917.1 -0.7628 2000.1 0.999373
23300000 11917.1 0.0825631 1999.96 0.999739
23400000 11917.1 -0.31378 2000.02 0.999426
23500000 11917.1 -0.473313 2000.05 0.999291
23600000 11917.1 -0.527513 2000.06 0.999384
23700000 11917.1 -0.0014083 1999.97 0.999661
23800000 11917.1 -0.551843 2000.06 0.99937
23900000 11917.1 -0.610719 2000.07 0.999379
24000000 11917.1 0.125863 1999.95 0.999628
24100000 11917.1 0.0574098 1999.96 0.999698
24200000 11917.1 -0.424302 2000.04 0.999459
24300000 11917.1 -0.335004 2000.03 0.999316
24400000 11917.1 0.785753 1999.84 0.999996
24500000 11917.1 -0.144289 1999.99 0.999597
24600000 11917.1 -0.560269 2000.06 0.999284
24700000 11917.1 -0.503863 2000.06 0.999255
24800000 11917.1 -0.352098 2000.03 0.999406
24900000 11917.1 -0.0149454 1999.97 0.99961
25000000 11917.1 -0.528918 2000.06 0.999278
25100000 11917.1 -0.54715 2000.06 0.999285
25200000 11917.1 -0.278496 2000.02 0.999393
25300000 11917.1 -0.37208 2000.03 0.999306
25400000 11917.1 -0.316836 2000.02 0.99937
25500000 11917.1 -0.483 2000.05 0.999319
25600000 11917.1 0.199452 1999.94 0.999882
25700000 11917.1 -0.388608 2000.04 0.99927
25800000 11917.1 -0.347314 2000.03 0.999261
25900000 11917.1 -0.0321004 1999.98 0.999735
26000000 11917.1 -0.393557 2000.04 0.999388
26100000 11917.1 0.405519 1999.9 0.999751
26200000 11917.1 -0.144873 2000 0.99953
26300000 11917.1 -0.304029 2000.02 0.999271
26400000 11917.1 -0.501476 2000.06 0.999361
26500000 11917.1 0.0653203 1999.96 0.999722
26600000 11917.1 -0.308205 2000.02 0.999384
26700000 11917.1 -0.400452 2000.04 0.999264
26800000 11917.1 -0.40142 2000.04 0.999316
26900000 11917.1 -0.230837 2000.01 0.999517
27000000 11917.1 0.569216 1999.88 1.00004
27100000 11917.1 -0.442627 2000.04 0.999304
27200000 11917.1 -0.508994 2000.06 0.99928
27300000 11917.1 0.910068 1999.82 1.00011
27400000 11917.1 -0.293618 2000.02 0.999618
27500000 11917.1 -0.341574 2000.03 0.999297
27600000 11917.1 -0.196902 2000 0.999405
27700000 11917.1 -0.582301 2000.07 0.999292
27800000 11917.1 -0.203698 2000 0.99947
27900000 11917.1 -0.494776 2000.05 0.999443
28000000 11917.1 -0.413069 2000.04 0.999434
28100000 11917.1 -0.120517 1999.99 0.99957
28200000 11917.1 -0.329262 2000.03 0.999411
28300000 11917.1 -0.390988 2000.04 0.999263
28400000 11917.1 -0.461646 2000.05 0.999334
28500000 11917.1 0.0423978 1999.96 0.999616
28600000 11917.1 -0.56618 2000.07 0.999345
28700000 11917.1 -0.546271 2000.06 0.99929
28800000 11917.1 -0.380245 2000.03 0.999286
28900000 11917.1 0.0837258 1999.96 0.999933
29000000 11917.1 -0.384293 2000.04 0.999274
29100000 11917.1 -0.458989 2000.05 0.999494
29200000 11917.1 2.5558 1999.54 1.00101
29300000 11917.1 -0.30498 2000.02 0.999378
29400000 11917.1 -0.389706 2000.04 0.999296
29500000 11917.1 -0.380544 2000.03 0.999424
29600000 11917.1 -0.51699 2000.06 0.999275
29700000 11917.1 -0.798863 2000.1 0.999359
29800000 11917.1 -0.52401 2000.06 0.999248
29900000 11917.1 -0.295733 2000.02 0.999489
30000000 11917.1 -0.295897 2000.02 0.999343
30100000 11917.1 -0.44804 2000.05 0.999522
30200000 11917.1 1.28377 1999.76 1.00035
30300000 11917.1 -0.254812 2000.01 0.999307
30400000 11917.1 0.232461 1999.93 0.999868
30500000 11917.1 -0.314394 2000.02 0.9993
30600000 11917.1 0.453455 1999.89 0.99988
30700000 11917.1 1.20216 1999.77 1.00017
30800000 11917.1 -0.458036 2000.05 0.999337
30900000 11917.1 -0.421074 2000.04 0.999413
31000000 11917.1 -0.367968 2000.03 0.999269
31100000 11917.1 -0.422659 2000.04 0.999538
31200000 11917.1 -0.345227 2000.03 0.999478
31300000 11917.1 -0.644823 2000.08 0.999266
31400000 11917.1 -0.350784 2000.03 0.999384
31500000 11917.1 -0.383919 2000.04 0.999352
31600000 11917.1 -0.623954 2000.08 0.999352
31700000 11917.1 -0.466241 2000.05 0.999257
31800000 11917.1 -0.406778 2000.04 0.999258
31900000 11917.1 -0.353355 2000.03 0.999449
32000000 11917.1 -0.340284 2000.03 0.999286
32100000 11917.1 -0.447777 2000.05 0.99937
32200000 11917.1 -0.383621 2000.04 0.999293
32300000 11917.1 -0.382974 2000.03 0.999505
32400000 11917.1 -0.329017 2000.03 0.999458
32500000 11917.1 -0.00558611 1999.97 0.999569
32600000 11917.1 -0.35228 2000.03 0.999328
32700000 11917.1 -0.417957 2000.04 0.999344
32800000 11917.1 -0.245234 2000.01 0.999282
32900000 11917.1 -0.273658 2000.02 0.999346
33000000 11917.1 -0.368137 2000.03 0.999281
33100000 11917.1 -0.2999 2000.02 0.999269
33200000 11917.1 -0.447855 2000.05 0.999265
33300000 11917.1 -0.743636 2000.1 0.999321
33400000 11917.1 -0.000464181 1999.97 0.999591
33500000 11917.1 -0.423352 2000.04 0.999328
33600000 11917.1 -0.313196 2000.02 0.999356
33700000 11917.1 -0.112491 1999.99 0.999566
33800000 11917.1 -0.527008 2000.06 0.999317
33900000 11917.1 0.395612 1999.9 0.999783
34000000 11917.1 -0.0134957 1999.97 0.999562
34100000 11917.1 0.98834 1999.8 1.00012
34200000 11917.1 -0.326613 2000.03 0.999414
34300000 11917.1 -0.722497 2000.09 0.999371
34400000 11917.1 -0.691292 2000.09 0.999257
34500000 11917.1 -0.205217 2000.01 0.999411
34600000 11917.1 -0.416794 2000.04 0.999256
34700000 11917.1 -0.0403865 1999.98 0.999606
34800000 11917.1 -0.32427 2000.03 0.999419
34900000 11917.1 -0.299039 2000.02 0.999363
35000000 11917.1 -0.161337 2000 0.9995
35100000 11917.1 0.192786 1999.94 0.999647
35200000 11917.1 -0.0355355 1999.98 0.999608
35300000 11917.1 -0.195824 2000 0.999458
35400000 11917.1 -0.490469 2000.05 0.999251
35500000 11917.1 -0.552661 2000.06 0.999362
35600000 11917.1 0.0139735 1999.97 0.999836
35700000 11917.1 0.139218 1999.95 0.999584
35800000 11917.1 -0.218556 2000.01 0.999482
35900000 11917.1 0.00584872 1999.97 0.999517
36000000 11917.1 0.352111 1999.91 0.999772
36100000 11917.1 -0.378446 2000.03 0.999256
36200000 11917.1 -0.597879 2000.07 0.999393
36300000 11917.1 -0.383742 2000.04 0.99929
36400000 11917.1 -0.080765 1999.98 0.999552
36500000 11917.1 0.337905 1999.91 0.99969
36600000 11917.1 -0.102223 1999.99 0.999473
36700000 11917.1 -0.752253 2000.1 0.999263
36800000 11917.1 -0.335695 2000.03 0.999266
36900000 11917.1 -0.354643 2000.03 0.99951
37000000 11917.1 -0.315307 2000.02 0.999387
37100000 11917.1 -0.450586 2000.05 0.999312
37200000 11917.1 -0.465697 2000.05 0.999383
37300000 11917.1 -0.382057 2000.03 0.999425
37400000 11917.1 -0.539438 2000.06 0.999555
37500000 11917.1 -0.26922 2000.02 0.999273
37600000 11917.1 -0.174175 2000 0.999357
