# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 11980.1 -0.410452 2010.62 1.00456
200000 11966.3 -0.055261 2008.24 1.00376
300000 11770.9 -0.0766686 1975.45 0.987359
400000 12081.4 -0.455627 2027.62 1.01305
500000 11793.8 -0.276532 1979.32 0.988936
600000 12007.1 -0.13917 2015.1 1.0071
700000 11867.5 0.277641 1991.6 0.995733
800000 11946.2 -0.378506 2004.92 1.00181
900000 11936.9 -0.14575 2003.32 1.00111
1000000 11995.9 -0.441209 2013.26 1.006
1100000 11882.6 0.902718 1994.02 0.997211
1200000 11891.5 -0.484814 1995.76 0.9973
1300000 11902.9 -0.176574 1997.62 0.998371
1400000 11885 -0.329038 1994.64 0.996758
1500000 12120.7 -0.324499 2034.19 1.01639
1600000 11910.4 1.69772 1998.55 0.999765
1700000 11843.2 -0.522325 1987.65 0.993078
1800000 11744.3 -0.248988 1971.02 0.984873
1900000 11985.2 -0.444873 2011.47 1.00503
2000000 11907.6 -0.392317 1998.45 0.998542
2100000 12070.1 -0.296061 2025.7 1.01237
2200000 11971.2 -0.455882 2009.13 1.00386
2300000 11968.2 -0.440912 2008.62 1.0036
2400000 12113.1 -0.384651 2032.93 1.01579
2500000 12087.6 -0.348916 2028.64 1.01357
2600000 11927.9 -0.571876 2001.89 1.00021
2700000 12050.4 0.000208313 2022.34 1.01091
2800000 12064.3 -0.391538 2024.75 1.01173
2900000 11897.7 -0.501351 1996.8 0.997729
3000000 11957.2 -0.477118 2006.78 1.00267
3100000 11800.7 -0.0686783 1980.45 0.990002
3200000 12007.7 -0.240394 2015.21 1.00712
3300000 11946.8 -0.52722 2005.04 1.00175
3400000 11823.5 -0.472074 1984.35 0.991533
3500000 11832 -0.333523 1985.74 0.992147
3600000 11877.9 -0.603394 1993.49 0.996022
3700000 11920.7 0.821695 2000.44 1.00034
3800000 11772.1 -0.35752 1975.7 0.987124
3900000 11637.9 -0.42555 1953.19 0.975929
4000000 11780.4 0.572137 1976.93 0.988536
4100000 11890.2 -0.517219 1995.55 0.99702
4200000 11729.5 -0.33674 1968.54 0.983556
4300000 11913.9 -0.533327 1999.51 0.999122
4400000 12077.4 0.0181803 2026.88 1.01311
4500000 11964.6 -0.347608 2008 1.00353
4600000 11956.9 -0.408783 2006.71 1.0027
4700000 11975.7 -0.363184 2009.87 1.00418
4800000 11992.5 -0.000207701 2012.63 1.0059
4900000 11888.6 -0.44967 1995.26 0.99694
5000000 11969.9 0.545698 2008.74 1.00436
5100000 11826.4 -0.231176 1984.78 0.991849
5200000 11767.5 -0.331213 1974.92 0.986859
5300000 11936.6 -0.291245 2003.29 1.00106
5400000 11759.7 -0.51215 1973.65 0.986087
5500000 11869.1 -0.0165991 1991.92 0.995709
5600000 11859.9 -0.548528 1990.47 0.9946
5700000 12054.2 -0.366701 2023.03 1.01084
5800000 11858.8 -0.413912 1990.26 0.994383
5900000 11842.5 -0.390658 1987.51 0.993066
6000000 11844 -0.553996 1987.79 0.993126
6100000 12028 -0.35334 2018.63 1.00862
6200000 11768.8 0.26609 1975.04 0.987408
6300000 11998.6 3.27725 2013.09 1.00795
6400000 11894.4 -0.0901674 1996.18 0.997709
6500000 11768.4 -0.523854 1975.11 0.986797
6600000 11951.3 -0.412972 2005.78 1.00228
6700000 12005.9 -0.392434 2014.95 1.00671
6800000 12026 0.632868 2018.13 1.00909
6900000 11875.6 -0.130006 1993.03 0.995911
7000000 11971 -0.403883 2009.09 1.00389
7100000 11976.9 -0.0233217 2010.01 1.00462
7200000 11946 -0.215535 2004.86 1.00186
7300000 11875.1 0.501923 1992.84 0.996478
7400000 11793.4 -0.429269 1979.28 0.988918
7500000 11960.3 -0.420425 2007.29 1.0029
7600000 11861.8 -0.405804 1990.76 0.994629
7700000 12134.3 -0.49614 2036.5 1.01747
7800000 11917.6 0.997481 1999.89 1.00005
7900000 11836.4 -0.237402 1986.47 0.992634
8000000 12060.7 -0.366604 2024.13 1.01133
8100000 11757 -0.502343 1973.18 0.985904
8200000 11872.6 1.95187 1992.17 0.996868
8300000 11966.4 -0.294012 2008.29 1.00351
8400000 11869.6 -0.0198975 1992 0.995605
8500000 11920.2 -0.420526 2000.56 0.999655
8600000 11837.3 0.774673 1986.45 0.993192
8700000 11941.7 -0.232898 2004.13 1.00155
8800000 11695.5 -0.465333 1962.86 0.980723
8900000 11925.1 -0.420682 2001.38 0.999939
9000000 12105.6 -0.56799 2031.7 1.01516
9100000 11970.4 -0.417642 2008.99 1.00394
9200000 11760.9 -0.44288 1973.84 0.986234
9300000 11883.6 1.20346 1994.14 0.99746
9400000 11916.5 -0.543365 1999.96 0.99922
9500000 11953.7 -0.416415 2006.18 1.00233
9600000 11857 -0.373606 1989.95 0.994251
9700000 12118.7 -0.451614 2033.88 1.01626
9800000 11946.1 -0.326799 2004.9 1.00173
9900000 11817.1 -0.45877 1983.26 0.990982
10000000 11916.9 0.784723 1999.8 0.999907
