Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 5.49777e-16
 100000 1.36029e-15
 150000 2.21474e-15
 200000 3.09207e-15
 250000 3.99374e-15
 300000 4.91481e-15
 350000 5.84561e-15
 400000 6.78479e-15
 450000 7.74007e-15
 500000 8.70511e-15
 550000 9.67443e-15
 600000 1.06535e-14
 650000 1.16439e-14
 700000 1.26561e-14
 750000 1.3695e-14
 800000 1.47536e-14
 850000 1.58318e-14
 900000 1.69339e-14
 950000 1.8052e-14
 1e+06 1.91788e-14
 1e+06 1.91599e-14
 2e+06 4.49325e-14
 3e+06 7.83764e-14
 4e+06 1.18719e-13
 5e+06 1.66049e-13
 6e+06 2.20121e-13
 7e+06 2.80324e-13
 8e+06 3.46574e-13
 9e+06 4.19292e-13
 1e+07 4.98952e-13
 1.1e+07 5.84011e-13
 1.2e+07 6.74048e-13
 1.3e+07 7.70657e-13
 1.4e+07 8.73192e-13
 1.5e+07 9.80894e-13
 1.6e+07 1.09506e-12
 1.7e+07 1.21634e-12
 1.8e+07 1.34263e-12
 1.9e+07 1.47405e-12
 2e+07 1.60945e-12
 2e+07 1.65209e-12
 4e+07 5.54997e-12
 6e+07 1.12842e-11
 8e+07 1.82159e-11
 1e+08 2.67667e-11
 1.2e+08 3.6623e-11
 1.4e+08 4.77873e-11
 1.6e+08 5.95289e-11
 1.8e+08 7.23672e-11
 2e+08 8.59007e-11
 2.2e+08 1.00073e-10
 2.4e+08 1.13587e-10
 2.6e+08 1.27261e-10
 2.8e+08 1.40954e-10
 3e+08 1.55113e-10
 3.2e+08 1.69272e-10
 3.4e+08 1.8392e-10
 3.6e+08 1.97823e-10
 3.8e+08 2.11079e-10
 4e+08 2.22756e-10
 4e+08 1.74108e-10
 8e+08 8.37116e-11
