Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 3.75285e+07 1.24416e+07
 100000 1.49626e+08 4.82601e+07
 150000 3.35569e+08 1.05351e+08
 200000 5.94639e+08 1.81821e+08
 250000 9.26126e+08 2.75963e+08
 300000 1.32933e+09 3.86234e+08
 350000 1.80355e+09 5.11238e+08
 400000 2.34809e+09 6.49719e+08
 450000 2.96229e+09 8.00538e+08
 500000 3.64545e+09 9.6266e+08
 550000 4.39691e+09 1.13514e+09
 600000 5.216e+09 1.31712e+09
 650000 6.10207e+09 1.50781e+09
 700000 7.05446e+09 1.70651e+09
 750000 8.07253e+09 1.91255e+09
 800000 9.15564e+09 2.12536e+09
 850000 1.03032e+10 2.34437e+09
 900000 1.15145e+10 2.56911e+09
 950000 1.27889e+10 2.79911e+09
 1e+06 1.41259e+10 3.03397e+09
 1e+06 1.41276e+10 3.03089e+09
 2e+06 5.31062e+10 8.35126e+09
 3e+06 1.12518e+11 1.41934e+10
 4e+06 1.88737e+11 2.02231e+10
 5e+06 2.78804e+11 2.63499e+10
 6e+06 3.80281e+11 3.2521e+10
 7e+06 4.91142e+11 3.87419e+10
 8e+06 6.09711e+11 4.50003e+10
 9e+06 7.3462e+11 5.12765e+10
 1e+07 8.64757e+11 5.75833e+10
 1.1e+07 9.99203e+11 6.39181e+10
 1.2e+07 1.13718e+12 7.0262e+10
 1.3e+07 1.27805e+12 7.66095e+10
 1.4e+07 1.42128e+12 8.29881e+10
 1.5e+07 1.56643e+12 8.93819e+10
 1.6e+07 1.71312e+12 9.57778e+10
 1.7e+07 1.86105e+12 1.02178e+11
 1.8e+07 2.00997e+12 1.08586e+11
 1.9e+07 2.15972e+12 1.14985e+11
 2e+07 2.31016e+12 1.21404e+11
 2e+07 2.32513e+12 1.20498e+11
 4e+07 5.40671e+12 2.50094e+11
 6e+07 8.59856e+12 3.79154e+11
 8e+07 1.18285e+13 5.10477e+11
 1e+08 1.50817e+13 6.48301e+11
 1.2e+08 1.8364e+13 7.85944e+11
 1.4e+08 2.16344e+13 9.20989e+11
 1.6e+08 2.49589e+13 1.05692e+12
 1.8e+08 2.8322e+13 1.19108e+12
 2e+08 3.16499e+13 1.32058e+12
 2.2e+08 3.5038e+13 1.4449e+12
 2.4e+08 3.85278e+13 1.56291e+12
 2.6e+08 4.20788e+13 1.6909e+12
 2.8e+08 4.56111e+13 1.81882e+12
 3e+08 4.91083e+13 1.94561e+12
 3.2e+08 5.25886e+13 2.0696e+12
 3.4e+08 5.60181e+13 2.2007e+12
 3.6e+08 5.94042e+13 2.33428e+12
 3.8e+08 6.27667e+13 2.46728e+12
 4e+08 6.61893e+13 2.60265e+12
 4e+08 6.35944e+13 2.59432e+12
 8e+08 1.32159e+14 4.71488e+12
