# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 6085.74 308.058 13008.7 0.998223
200000 6085.75 306.267 13012.7 0.998248
300000 6085.74 300.159 13026.5 0.998623
400000 6085.75 300.242 13026.3 0.998619
500000 6085.76 304.943 13015.7 0.998394
600000 6085.76 313.967 12995.4 0.997881
700000 6085.75 307.278 13010.5 0.998304
800000 6085.75 301.214 13024.1 0.998659
900000 6085.75 300.393 13026 0.998654
1000000 6085.75 302.653 13020.9 0.998553
1100000 6085.76 305.639 13014.2 0.998423
1200000 6085.74 291.911 13045 0.999206
1300000 6085.74 304.938 13015.7 0.998377
1400000 6085.75 302.937 13020.2 0.998529
1500000 6085.77 306.214 13012.9 0.998358
1600000 6085.76 309.491 13005.5 0.998114
1700000 6085.73 304.789 13016 0.998321
1800000 6085.74 299.007 13029.1 0.998686
1900000 6085.75 300.185 13026.4 0.99876
2000000 6085.75 298.337 13030.6 0.998733
2100000 6085.75 305.816 13013.8 0.99833
2200000 6085.74 305.799 13013.8 0.998326
2300000 6085.76 300.04 13026.8 0.998782
2400000 6085.75 304.187 13017.4 0.998445
2500000 6085.75 297.828 13031.7 0.998763
2600000 6085.77 308.798 13007.1 0.998204
2700000 6085.74 296.86 13033.9 0.9989
2800000 6085.77 322.271 12976.7 0.997349
2900000 6085.75 305.351 13014.8 0.998458
3000000 6085.76 304.029 13017.8 0.998469
3100000 6085.76 298.345 13030.6 0.998907
3200000 6085.78 308.714 13007.3 0.998209
3300000 6085.76 297.517 13032.5 0.99896
3400000 6085.77 307.943 13009 0.998312
3500000 6085.75 307.066 13010.9 0.998305
3600000 6085.76 312.003 12999.8 0.99787
3700000 6085.76 301.931 13022.5 0.998981
3800000 6085.76 309.689 13005.1 0.998234
3900000 6085.77 311.095 13001.9 0.998103
4000000 6085.73 305.379 13014.7 0.998378
4100000 6085.75 297.946 13031.5 0.998826
4200000 6085.76 293.008 13042.6 0.9992
4300000 6085.76 304.504 13016.7 0.998447
4400000 6085.74 304.338 13017.1 0.998407
4500000 6085.75 306.064 13013.2 0.998392
4600000 6085.77 307.062 13011 0.998252
4700000 6085.76 300.523 13025.7 0.998688
4800000 6085.75 301.581 13023.3 0.998568
4900000 6085.74 305.882 13013.6 0.99833
5000000 6085.75 313.524 12996.4 0.997938
5100000 6085.77 306.163 13013 0.998307
5200000 6085.75 298.203 13030.9 0.998768
5300000 6085.78 312.595 12998.5 0.998074
5400000 6085.76 304.058 13017.7 0.998551
5500000 6085.74 316.414 12989.9 0.997562
5600000 6085.76 301.675 13023.1 0.998685
5700000 6085.76 300.206 13026.4 0.998721
5800000 6085.75 306.415 13012.4 0.99836
5900000 6085.77 312.137 12999.6 0.997964
6000000 6085.76 297.146 13033.3 0.998932
6100000 6085.75 304.018 13017.8 0.998383
6200000 6085.75 298.81 13029.5 0.998673
6300000 6085.77 310.592 13003 0.998099
6400000 6085.73 306.233 13012.8 0.998215
6500000 6085.74 297.886 13031.6 0.998825
6600000 6085.75 298.733 13029.7 0.998758
6700000 6085.75 306.692 13011.8 0.998265
6800000 6085.79 316.169 12990.5 0.997804
6900000 6085.74 307.086 13010.9 0.998187
7000000 6085.75 306.164 13013 0.998459
7100000 6085.76 300.484 13025.8 0.998764
7200000 6085.76 300.932 13024.8 0.998725
7300000 6085.76 296.737 13034.2 0.998963
7400000 6085.76 303.702 13018.5 0.99853
7500000 6085.76 306.956 13011.2 0.998456
7600000 6085.78 305.083 13015.5 0.998491
7700000 6085.75 301.093 13024.4 0.99873
7800000 6085.75 301.696 13023 0.998645
7900000 6085.74 308.218 13008.3 0.998093
8000000 6085.77 306.286 13012.7 0.998531
8100000 6085.76 301.961 13022.4 0.998607
8200000 6085.75 318.049 12986.2 0.997499
8300000 6085.74 302.123 13022 0.998562
8400000 6085.74 304.724 13016.2 0.998361
8500000 6085.74 302.129 13022 0.998532
8600000 6085.74 306.979 13011.1 0.998279
8700000 6085.76 309.483 13005.5 0.998071
8800000 6085.75 303.818 13018.2 0.998505
8900000 6085.78 314.769 12993.7 0.998087
9000000 6085.76 299.447 13028.1 0.998745
9100000 6085.77 303.497 13019 0.998612
9200000 6085.77 312.402 12999 0.998041
9300000 6085.74 304.095 13017.6 0.998501
9400000 6085.77 300.638 13025.5 0.998793
9500000 6085.75 305.5 13014.5 0.998395
9600000 6085.76 314.662 12993.8 0.997602
9700000 6085.74 298.945 13029.2 0.998704
9800000 6085.75 304.66 13016.4 0.998436
9900000 6085.74 301.885 13022.6 0.998459
10000000 6085.74 297.311 13032.9 0.998812
10100000 6085.74 295.132 13037.8 0.998988
10200000 6085.74 300.153 13026.5 0.998586
10300000 6085.75 298.078 13031.2 0.99875
10400000 6085.75 296.951 13033.7 0.998877
10500000 6085.74 299.26 13028.5 0.998706
10600000 6085.77 319.797 12982.3 0.997475
10700000 6085.75 307.106 13010.8 0.998161
10800000 6085.79 311.951 13000 0.998368
10900000 6085.77 307.071 13011 0.998345
11000000 6085.76 309.227 13006.1 0.998113
11100000 6085.75 298.842 13029.4 0.998851
11200000 6085.77 304.868 13015.9 0.998483
