Ar
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 50000 1.55811e+13 1.33515e+13 1.50727e+13 1.50408e+13 1.63523e+13 1.40419e+13 1.5145e+13 1.49544e+13 7.59763e+08
 100000 6.14208e+13 5.25044e+13 5.93993e+13 5.92066e+13 6.44717e+13 5.52367e+13 5.96383e+13 5.88929e+13 1.1531e+11
 150000 1.364e+14 1.16347e+14 1.31882e+14 1.31308e+14 1.43166e+14 1.22437e+14 1.32303e+14 1.30666e+14 1.16071e+11
 200000 2.39521e+14 2.03889e+14 2.31553e+14 2.3028e+14 2.51357e+14 2.14596e+14 2.32077e+14 2.29242e+14 1.1699e+11
 250000 3.6989e+14 3.1422e+14 3.57529e+14 3.55176e+14 3.88065e+14 3.30768e+14 3.58003e+14 3.53687e+14 1.17836e+11
 300000 5.2668e+14 4.46484e+14 5.08991e+14 5.05161e+14 5.52397e+14 4.70081e+14 5.09213e+14 5.03149e+14 1.19082e+11
 350000 7.09116e+14 5.99889e+14 6.85176e+14 6.79505e+14 7.43546e+14 6.31728e+14 6.84926e+14 6.76846e+14 1.20013e+11
 400000 9.16464e+14 7.73685e+14 8.85358e+14 8.77573e+14 9.60787e+14 8.14978e+14 8.84446e+14 8.74068e+14 1.21175e+11
 450000 1.14803e+15 9.67181e+14 1.10889e+15 1.09881e+15 1.20345e+15 1.01915e+15 1.10713e+15 1.09416e+15 1.22068e+11
 500000 1.40321e+15 1.17975e+15 1.35519e+15 1.34272e+15 1.47092e+15 1.24361e+15 1.35241e+15 1.33653e+15 1.22974e+11
 550000 1.68139e+15 1.41081e+15 1.62372e+15 1.60883e+15 1.76263e+15 1.48777e+15 1.61974e+15 1.60064e+15 1.23721e+11
 600000 1.98202e+15 1.65983e+15 1.91396e+15 1.8967e+15 2.07805e+15 1.75111e+15 1.90862e+15 1.88595e+15 1.24607e+11
 650000 2.30453e+15 1.92629e+15 2.22539e+15 2.20586e+15 2.41672e+15 2.03311e+15 2.21856e+15 2.19197e+15 1.25372e+11
 700000 2.6484e+15 2.20973e+15 2.55755e+15 2.53588e+15 2.77819e+15 2.33328e+15 2.54912e+15 2.51823e+15 1.26154e+11
 750000 3.01313e+15 2.50969e+15 2.90997e+15 2.88638e+15 3.16203e+15 2.65116e+15 2.89986e+15 2.86428e+15 1.2708e+11
 800000 3.39823e+15 2.82574e+15 3.2822e+15 3.25697e+15 3.56786e+15 2.98632e+15 3.27038e+15 3.22972e+15 1.27913e+11
 850000 3.80328e+15 3.15751e+15 3.67386e+15 3.64732e+15 3.99528e+15 3.33834e+15 3.66031e+15 3.61414e+15 1.28897e+11
 900000 4.22786e+15 3.50461e+15 4.08457e+15 4.05712e+15 4.44391e+15 3.70685e+15 4.06929e+15 4.01718e+15 1.29999e+11
 950000 4.67153e+15 3.86665e+15 4.51394e+15 4.48603e+15 4.91341e+15 4.09151e+15 4.49698e+15 4.43847e+15 1.30809e+11
 1e+06 5.13391e+15 4.2433e+15 4.96162e+15 4.93375e+15 5.40342e+15 4.49201e+15 4.94306e+15 4.87768e+15 1.31765e+11
 1e+06 5.14683e+15 4.24833e+15 4.95212e+15 4.93274e+15 5.41204e+15 4.50749e+15 4.95076e+15 4.88343e+15 1.76697e+10
 2e+06 1.78672e+16 1.44341e+16 1.72952e+16 1.73771e+16 1.90681e+16 1.54305e+16 1.72919e+16 1.6988e+16 3.77446e+10
 3e+06 3.59374e+16 2.85922e+16 3.47634e+16 3.53175e+16 3.87675e+16 3.07054e+16 3.49302e+16 3.41972e+16 5.90855e+10
 4e+06 5.80077e+16 4.54623e+16 5.59274e+16 5.75339e+16 6.30904e+16 4.91474e+16 5.65905e+16 5.52073e+16 8.1212e+10
 5e+06 8.31025e+16 6.43548e+16 7.96386e+16 8.30672e+16 9.09646e+16 6.99283e+16 8.13201e+16 7.90715e+16 1.04932e+11
 6e+06 1.10663e+17 8.45407e+16 1.04994e+17 1.10995e+17 1.21423e+17 9.24785e+16 1.08299e+17 1.05006e+17 1.29188e+11
 7e+06 1.40421e+17 1.05426e+17 1.3124e+17 1.40645e+17 1.53498e+17 1.16152e+17 1.36765e+17 1.32337e+17 1.53032e+11
 8e+06 1.7202e+17 1.26671e+17 1.58023e+17 1.71248e+17 1.86732e+17 1.40543e+17 1.66174e+17 1.606e+17 1.77804e+11
 9e+06 2.05118e+17 1.48105e+17 1.85095e+17 2.02242e+17 2.20614e+17 1.65497e+17 1.96118e+17 1.89446e+17 2.03666e+11
 1e+07 2.39302e+17 1.69883e+17 2.12284e+17 2.33506e+17 2.546e+17 1.90981e+17 2.26362e+17 2.1868e+17 2.29323e+11
 1.1e+07 2.74388e+17 1.92189e+17 2.39388e+17 2.65166e+17 2.88199e+17 2.16811e+17 2.56725e+17 2.48164e+17 2.55151e+11
 1.2e+07 3.10023e+17 2.14892e+17 2.66364e+17 2.97396e+17 3.21312e+17 2.42662e+17 2.87124e+17 2.77778e+17 2.813e+11
 1.3e+07 3.46018e+17 2.37776e+17 2.92989e+17 3.30108e+17 3.53717e+17 2.68267e+17 3.17364e+17 3.07323e+17 3.0819e+11
 1.4e+07 3.82284e+17 2.61003e+17 3.19339e+17 3.63354e+17 3.85301e+17 2.93423e+17 3.47359e+17 3.36766e+17 3.36563e+11
 1.5e+07 4.18579e+17 2.8468e+17 3.45553e+17 3.97346e+17 4.16146e+17 3.17922e+17 3.77138e+17 3.66124e+17 3.63524e+11
 1.6e+07 4.55028e+17 3.08786e+17 3.72019e+17 4.31688e+17 4.4654e+17 3.41696e+17 4.06641e+17 3.95429e+17 3.90295e+11
 1.7e+07 4.91486e+17 3.33367e+17 3.98851e+17 4.66177e+17 4.76817e+17 3.64994e+17 4.35996e+17 4.24758e+17 4.16316e+11
 1.8e+07 5.27919e+17 3.58521e+17 4.25955e+17 5.00873e+17 5.07037e+17 3.88092e+17 4.65334e+17 4.54186e+17 4.41292e+11
 1.9e+07 5.64354e+17 3.84055e+17 4.53171e+17 5.35615e+17 5.37342e+17 4.1125e+17 4.94736e+17 4.83719e+17 4.63786e+11
 2e+07 6.00911e+17 4.10032e+17 4.80645e+17 5.699e+17 5.67623e+17 4.34333e+17 5.23952e+17 5.1325e+17 4.8499e+11
 2e+07 5.27441e+17 4.86547e+17 4.61385e+17 5.69509e+17 5.78003e+17 4.15136e+17 5.20883e+17 5.09246e+17 4.79599e+11
 4e+07 1.26207e+18 1.04677e+18 9.0682e+17 1.28004e+18 1.12963e+18 7.74426e+17 1.06137e+18 1.06557e+18 9.86308e+11
 6e+07 1.8854e+18 1.51487e+18 1.1149e+18 1.77522e+18 2.01228e+18 1.14481e+18 1.6441e+18 1.58848e+18 1.37747e+12
 8e+07 2.67499e+18 2.22664e+18 1.22784e+18 2.02316e+18 2.92116e+18 1.49466e+18 2.14633e+18 2.10506e+18 1.68659e+12
 1e+08 3.78036e+18 3.05734e+18 1.55596e+18 2.20905e+18 4.04192e+18 1.96902e+18 2.74e+18 2.76315e+18 1.91278e+12
 1.2e+08 5.11929e+18 3.87018e+18 1.92362e+18 2.71688e+18 5.21631e+18 2.43703e+18 3.45674e+18 3.52912e+18 2.06113e+12
 1.4e+08 6.41696e+18 4.70149e+18 2.03771e+18 3.21318e+18 6.02827e+18 2.62872e+18 3.95672e+18 4.12819e+18 2.26696e+12
 1.6e+08 8.08371e+18 5.83989e+18 2.16818e+18 3.65531e+18 6.88118e+18 2.97093e+18 4.50247e+18 4.84705e+18 2.5212e+12
 1.8e+08 9.95423e+18 7.32378e+18 2.13645e+18 3.94592e+18 7.83425e+18 3.16839e+18 4.98285e+18 5.57831e+18 2.91395e+12
 2e+08 1.17892e+19 8.70601e+18 2.21404e+18 4.12595e+18 8.95905e+18 3.41452e+18 5.49984e+18 6.32781e+18 3.18565e+12
 2.2e+08 1.3659e+19 1.02556e+19 2.34034e+18 4.57328e+18 9.99559e+18 3.56002e+18 6.04296e+18 7.12643e+18 3.4614e+12
 2.4e+08 1.59726e+19 1.21308e+19 2.66796e+18 5.12285e+18 1.11224e+19 3.63272e+18 6.62598e+18 8.07844e+18 3.77521e+12
 2.6e+08 1.84321e+19 1.3954e+19 2.99445e+18 5.9513e+18 1.24909e+19 3.84795e+18 7.43005e+18 9.17543e+18 4.24739e+12
 2.8e+08 2.06897e+19 1.57445e+19 3.33546e+18 6.71082e+18 1.42112e+19 4.12322e+18 8.3484e+18 1.03117e+19 4.49485e+12
 3e+08 2.32922e+19 1.78402e+19 3.65664e+18 7.21194e+18 1.5679e+19 4.60701e+18 9.16597e+18 1.14715e+19 4.75793e+12
 3.2e+08 2.61507e+19 2.00165e+19 4.01456e+18 7.51868e+18 1.68061e+19 4.97289e+18 9.76588e+18 1.25504e+19 4.82892e+12
 3.4e+08 2.88354e+19 2.20638e+19 4.41817e+18 7.55945e+18 1.76202e+19 5.37489e+18 1.01848e+19 1.34866e+19 4.64256e+12
 3.6e+08 3.11741e+19 2.43121e+19 4.49741e+18 7.63447e+18 1.8321e+19 5.73573e+18 1.05637e+19 1.4336e+19 4.76351e+12
 3.8e+08 3.3529e+19 2.67279e+19 4.32339e+18 7.37707e+18 1.86417e+19 6.14707e+18 1.0722e+19 1.50439e+19 4.77935e+12
 4e+08 3.61378e+19 2.9573e+19 4.13074e+18 7.31551e+18 1.79778e+19 6.49907e+18 1.05975e+19 1.56707e+19 4.82485e+12
 4e+08 8.62445e+18 2.29138e+19 1.26901e+19 2.19179e+19 1.80239e+19 1.4063e+19 1.80016e+19 1.66981e+19 5.80526e+12
 8e+08 3.32048e+19 2.42196e+19 7.07312e+17 3.9765e+19 2.52916e+17 4.50206e+18 1.484e+19 1.66549e+19 2.01014e+09
