Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 181109 137514 155197 157940
 100000 712230 538056 608904 619730
 150000 1.57833e+06 1.187e+06 1.34664e+06 1.37065e+06
 200000 2.76621e+06 2.07144e+06 2.35564e+06 2.39776e+06
 250000 4.26416e+06 3.17991e+06 3.62457e+06 3.68955e+06
 300000 6.06198e+06 4.50216e+06 5.14356e+06 5.2359e+06
 350000 8.15075e+06 6.0293e+06 6.9037e+06 7.02792e+06
 400000 1.05226e+07 7.75332e+06 8.89684e+06 9.05759e+06
 450000 1.31704e+07 9.66717e+06 1.11155e+07 1.13177e+07
 500000 1.60878e+07 1.17643e+07 1.3553e+07 1.38017e+07
 500000 1.61022e+07 1.1811e+07 1.35234e+07 1.38122e+07
 1e+06 5.90244e+07 4.16901e+07 4.8676e+07 4.97968e+07
 1.5e+06 1.2387e+08 8.51418e+07 1.00925e+08 1.03312e+08
 2e+06 2.07433e+08 1.40036e+08 1.67805e+08 1.71758e+08
 2.5e+06 3.07599e+08 2.04808e+08 2.47708e+08 2.53372e+08
 3e+06 4.23225e+08 2.78208e+08 3.39239e+08 3.46891e+08
 3.5e+06 5.53134e+08 3.59354e+08 4.4132e+08 4.51269e+08
 4e+06 6.96078e+08 4.47248e+08 5.52882e+08 5.65403e+08
 4.5e+06 8.50948e+08 5.40838e+08 6.73055e+08 6.8828e+08
 5e+06 1.01698e+09 6.38963e+08 8.01076e+08 8.19006e+08
 5e+06 1.03554e+09 6.39796e+08 8.34232e+08 8.36524e+08
 1e+07 3.20988e+09 1.74742e+09 2.34069e+09 2.43266e+09
 1.5e+07 5.99835e+09 2.73796e+09 4.08724e+09 4.27452e+09
 2e+07 9.117e+09 3.55431e+09 5.95099e+09 6.20743e+09
 2.5e+07 1.23898e+10 4.25446e+09 7.74538e+09 8.12987e+09
 3e+07 1.56354e+10 4.87529e+09 9.36436e+09 9.95835e+09
 3.5e+07 1.89725e+10 5.43331e+09 1.08684e+10 1.17581e+10
 4e+07 2.22697e+10 6.08131e+09 1.2416e+10 1.3589e+10
 4.5e+07 2.52055e+10 6.88888e+09 1.41022e+10 1.53988e+10
 5e+07 2.76759e+10 7.72445e+09 1.6014e+10 1.71381e+10
 5e+07 2.13895e+10 6.81229e+09 1.69027e+10 1.50348e+10
 1e+08 5.27068e+10 1.81226e+10 2.78484e+10 3.28926e+10
 1.5e+08 8.10273e+10 2.31765e+10 4.77946e+10 5.06661e+10
 2e+08 1.13948e+11 2.32456e+10 5.73586e+10 6.48507e+10
 2.5e+08 1.66205e+11 2.32599e+10 6.72257e+10 8.55635e+10
 3e+08 2.22859e+11 3.05061e+10 7.78957e+10 1.1042e+11
 3.5e+08 2.85902e+11 3.20721e+10 8.14729e+10 1.33149e+11
 4e+08 3.91379e+11 2.51095e+10 6.78552e+10 1.61448e+11
 4.5e+08 5.0331e+11 1.96221e+10 5.08115e+10 1.91248e+11
 5e+08 5.27471e+11 9.41101e+09 1.61651e+10 1.84349e+11
 5e+08 3.34111e+11 6.84533e+09 4.21042e+09 1.15055e+11
