Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 85923.8 87282.5 93781.6 88996
 100000 342129 347514 373502 354382
 150000 766493 778473 836983 793983
 200000 1.35692e+06 1.37792e+06 1.48206e+06 1.40563e+06
 250000 2.11134e+06 2.14363e+06 2.30659e+06 2.18719e+06
 300000 3.02773e+06 3.07339e+06 3.30854e+06 3.13655e+06
 350000 4.10406e+06 4.16501e+06 4.48594e+06 4.25167e+06
 400000 5.33834e+06 5.41636e+06 5.8369e+06 5.53053e+06
 450000 6.7286e+06 6.82527e+06 7.35963e+06 6.97117e+06
 500000 8.27291e+06 8.38964e+06 9.05237e+06 8.57164e+06
 500000 8.27369e+06 8.38071e+06 9.04624e+06 8.56688e+06
 1e+06 3.17969e+07 3.20962e+07 3.4945e+07 3.2946e+07
 1.5e+06 6.882e+07 6.91548e+07 7.60554e+07 7.13434e+07
 2e+06 1.17794e+08 1.17861e+08 1.30931e+08 1.22195e+08
 2.5e+06 1.77319e+08 1.76693e+08 1.98309e+08 1.84107e+08
 3e+06 2.46218e+08 2.44326e+08 2.77094e+08 2.55879e+08
 3.5e+06 3.23443e+08 3.19654e+08 3.66322e+08 3.36473e+08
 4e+06 4.08065e+08 4.01729e+08 4.6513e+08 4.24974e+08
 4.5e+06 4.99272e+08 4.89776e+08 5.7272e+08 5.20589e+08
 5e+06 5.96323e+08 5.83183e+08 6.8836e+08 6.22622e+08
 5e+06 5.95801e+08 5.73727e+08 6.78568e+08 6.16032e+08
 1e+07 1.77615e+09 1.69303e+09 2.16497e+09 1.87805e+09
 1.5e+07 3.13373e+09 2.98873e+09 4.08724e+09 3.40323e+09
 2e+07 4.46093e+09 4.31841e+09 6.25318e+09 5.01084e+09
 2.5e+07 5.76246e+09 5.60358e+09 8.51257e+09 6.6262e+09
 3e+07 6.96686e+09 6.75792e+09 1.07923e+10 8.17235e+09
 3.5e+07 8.09753e+09 7.74888e+09 1.29467e+10 9.59769e+09
 4e+07 9.13641e+09 8.56513e+09 1.50603e+10 1.09206e+10
 4.5e+07 1.01236e+10 9.2528e+09 1.72659e+10 1.22141e+10
 5e+07 1.11946e+10 9.92763e+09 1.95317e+10 1.35513e+10
 5e+07 8.13393e+09 1.05799e+10 1.62142e+10 1.16427e+10
 1e+08 1.81736e+10 2.00867e+10 3.89733e+10 2.57445e+10
 1.5e+08 2.69155e+10 2.63675e+10 7.13214e+10 4.15348e+10
 2e+08 3.62619e+10 3.26472e+10 1.03345e+11 5.74181e+10
 2.5e+08 4.19448e+10 2.94174e+10 1.33534e+11 6.82986e+10
 3e+08 5.04321e+10 2.72968e+10 1.5062e+11 7.61162e+10
 3.5e+08 6.3167e+10 2.68519e+10 1.86646e+11 9.22217e+10
 4e+08 7.29627e+10 2.73657e+10 2.20583e+11 1.0697e+11
 4.5e+08 8.05221e+10 2.6041e+10 2.78949e+11 1.28504e+11
 5e+08 9.90313e+10 3.16687e+10 3.45892e+11 1.58864e+11
 5e+08 1.28794e+11 5.34893e+09 4.46188e+11 1.93444e+11
 1e+09 5.12954e+11 1.78399e+10 1.7301e+12 7.53632e+11
