Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 2.31809e+07 3.35454e+07
 100000 9.24831e+07 1.28512e+08
 150000 2.07551e+08 2.77237e+08
 200000 3.68033e+08 4.7309e+08
 250000 5.73579e+08 7.10338e+08
 300000 8.2384e+08 9.83998e+08
 350000 1.11847e+09 1.28972e+09
 400000 1.45713e+09 1.62371e+09
 450000 1.83947e+09 1.98265e+09
 500000 2.26517e+09 2.36366e+09
 550000 2.73387e+09 2.76419e+09
 600000 3.24527e+09 3.18201e+09
 650000 3.79901e+09 3.61517e+09
 700000 4.39478e+09 4.06193e+09
 750000 5.03225e+09 4.52076e+09
 800000 5.71111e+09 4.99032e+09
 850000 6.43102e+09 5.46942e+09
 900000 7.19167e+09 5.95699e+09
 950000 7.99275e+09 6.45212e+09
 1e+06 8.83393e+09 6.95399e+09
 1e+06 8.84059e+09 6.95854e+09
 2e+06 3.3632e+10 1.77117e+10
 3e+06 7.20653e+10 2.90148e+10
 4e+06 1.22138e+11 4.05339e+10
 5e+06 1.82147e+11 5.21482e+10
 6e+06 2.50627e+11 6.38183e+10
 7e+06 3.26318e+11 7.55676e+10
 8e+06 4.08167e+11 8.7315e+10
 9e+06 4.95237e+11 9.90419e+10
 1e+07 5.86699e+11 1.10742e+11
 1.1e+07 6.81886e+11 1.22478e+11
 1.2e+07 7.80239e+11 1.34359e+11
 1.3e+07 8.81302e+11 1.46244e+11
 1.4e+07 9.84698e+11 1.58172e+11
 1.5e+07 1.0901e+12 1.70087e+11
 1.6e+07 1.19722e+12 1.81981e+11
 1.7e+07 1.30582e+12 1.93859e+11
 1.8e+07 1.41566e+12 2.05664e+11
 1.9e+07 1.52659e+12 2.17466e+11
 2e+07 1.63846e+12 2.29316e+11
 2e+07 1.66695e+12 2.33223e+11
 4e+07 3.99499e+12 4.63994e+11
 6e+07 6.41088e+12 6.99096e+11
 8e+07 8.85946e+12 9.26147e+11
 1e+08 1.12466e+13 1.14528e+12
 1.2e+08 1.35504e+13 1.34553e+12
 1.4e+08 1.56725e+13 1.54913e+12
 1.6e+08 1.77305e+13 1.75748e+12
 1.8e+08 1.97908e+13 1.97152e+12
 2e+08 2.17839e+13 2.17872e+12
 2.2e+08 2.38172e+13 2.37921e+12
 2.4e+08 2.60559e+13 2.58657e+12
 2.6e+08 2.83709e+13 2.80359e+12
 2.8e+08 3.09271e+13 3.02417e+12
 3e+08 3.35074e+13 3.26447e+12
 3.2e+08 3.58344e+13 3.52257e+12
 3.4e+08 3.80066e+13 3.76466e+12
 3.6e+08 4.04172e+13 4.05329e+12
 3.8e+08 4.26501e+13 4.29531e+12
 4e+08 4.51079e+13 4.49267e+12
 4e+08 4.44301e+13 4.74084e+12
