Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 180475 161083 176487 172682
 100000 702398 624944 687041 671461
 150000 1.5416e+06 1.36776e+06 1.50843e+06 1.4726e+06
 200000 2.67689e+06 2.36897e+06 2.62002e+06 2.55529e+06
 250000 4.09047e+06 3.61099e+06 4.00434e+06 3.90193e+06
 300000 5.76604e+06 5.07829e+06 5.64607e+06 5.4968e+06
 350000 7.68908e+06 6.7571e+06 7.5318e+06 7.32599e+06
 400000 9.84677e+06 8.63572e+06 9.64966e+06 9.37738e+06
 450000 1.2228e+07 1.07033e+07 1.19889e+07 1.16401e+07
 500000 1.48226e+07 1.29503e+07 1.45403e+07 1.41044e+07
 500000 1.47826e+07 1.29094e+07 1.45713e+07 1.40878e+07
 1e+06 5.08834e+07 4.3668e+07 5.01466e+07 4.82327e+07
 1.5e+06 1.02544e+08 8.68092e+07 1.00487e+08 9.66135e+07
 2e+06 1.66825e+08 1.40517e+08 1.63107e+08 1.56817e+08
 2.5e+06 2.41354e+08 2.03834e+08 2.37082e+08 2.27423e+08
 3e+06 3.24429e+08 2.75026e+08 3.22576e+08 3.07344e+08
 3.5e+06 4.14951e+08 3.53436e+08 4.18651e+08 3.95679e+08
 4e+06 5.11538e+08 4.38096e+08 5.23335e+08 4.9099e+08
 4.5e+06 6.12689e+08 5.27609e+08 6.3502e+08 5.91772e+08
 5e+06 7.18013e+08 6.21371e+08 7.52858e+08 6.97414e+08
 5e+06 7.65383e+08 6.32579e+08 7.28499e+08 7.0882e+08
 1e+07 1.93912e+09 1.75178e+09 2.10793e+09 1.93294e+09
 1.5e+07 3.18535e+09 2.88421e+09 3.71492e+09 3.26149e+09
 2e+07 4.33768e+09 3.85261e+09 5.69708e+09 4.62912e+09
 2.5e+07 5.80704e+09 4.70819e+09 7.85671e+09 6.12398e+09
 3e+07 7.69258e+09 5.56624e+09 1.00798e+10 7.77953e+09
 3.5e+07 9.71625e+09 6.44495e+09 1.24418e+10 9.53434e+09
 4e+07 1.17993e+10 7.41853e+09 1.49132e+10 1.1377e+10
 4.5e+07 1.38766e+10 8.45533e+09 1.74307e+10 1.32542e+10
 5e+07 1.59905e+10 9.41144e+09 2.00869e+10 1.5163e+10
 5e+07 1.57157e+10 7.10131e+09 2.04239e+10 1.44136e+10
 1e+08 3.45526e+10 1.01636e+10 4.8939e+10 3.12184e+10
 1.5e+08 4.96979e+10 6.49799e+09 5.53501e+10 3.7182e+10
 2e+08 4.40138e+10 5.29213e+09 5.10096e+10 3.34385e+10
 2.5e+08 2.42873e+10 1.18471e+10 8.56178e+10 4.05841e+10
 3e+08 1.6374e+10 9.34142e+09 1.50685e+11 5.88e+10
 3.5e+08 3.99209e+09 4.34024e+09 1.46078e+11 5.14703e+10
 4e+08 3.58708e+09 9.53124e+09 1.23904e+11 4.56741e+10
 4.5e+08 1.89604e+10 5.48001e+10 1.16092e+11 6.32842e+10
