Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 824820 -824820 824820
 100000 3.28675e+06 -3.28675e+06 3.28675e+06
 150000 7.36711e+06 -7.36711e+06 7.36711e+06
 200000 1.30473e+07 -1.30473e+07 1.30473e+07
 250000 2.0309e+07 -2.0309e+07 2.0309e+07
 300000 2.91343e+07 -2.91343e+07 2.91343e+07
 350000 3.95054e+07 -3.95054e+07 3.95054e+07
 400000 5.14047e+07 -5.14047e+07 5.14047e+07
 450000 6.48149e+07 -6.48149e+07 6.48149e+07
 500000 7.97193e+07 -7.97193e+07 7.97193e+07
 550000 9.6101e+07 -9.6101e+07 9.6101e+07
 600000 1.13944e+08 -1.13944e+08 1.13944e+08
 650000 1.33232e+08 -1.33232e+08 1.33232e+08
 700000 1.53949e+08 -1.53949e+08 1.53949e+08
 750000 1.7608e+08 -1.7608e+08 1.7608e+08
 800000 1.99609e+08 -1.99609e+08 1.99609e+08
 850000 2.24521e+08 -2.24521e+08 2.24521e+08
 900000 2.508e+08 -2.508e+08 2.508e+08
 950000 2.78433e+08 -2.78433e+08 2.78433e+08
 1e+06 3.07403e+08 -3.07403e+08 3.07403e+08
 1e+06 3.07475e+08 -3.07475e+08 3.07475e+08
 2e+06 1.14607e+09 -1.14607e+09 1.14607e+09
 3e+06 2.41237e+09 -2.41237e+09 2.41237e+09
 4e+06 4.02275e+09 -4.02275e+09 4.02275e+09
 5e+06 5.906e+09 -5.906e+09 5.906e+09
 6e+06 7.99615e+09 -7.99615e+09 7.99615e+09
 7e+06 1.02405e+10 -1.02405e+10 1.02405e+10
 8e+06 1.25977e+10 -1.25977e+10 1.25977e+10
 9e+06 1.50338e+10 -1.50338e+10 1.50338e+10
 1e+07 1.7526e+10 -1.7526e+10 1.7526e+10
 1.1e+07 2.00583e+10 -2.00583e+10 2.00583e+10
 1.2e+07 2.26223e+10 -2.26223e+10 2.26223e+10
 1.3e+07 2.52069e+10 -2.52069e+10 2.52069e+10
 1.4e+07 2.78035e+10 -2.78035e+10 2.78035e+10
 1.5e+07 3.04081e+10 -3.04081e+10 3.04081e+10
 1.6e+07 3.30207e+10 -3.30207e+10 3.30207e+10
 1.7e+07 3.56448e+10 -3.56448e+10 3.56448e+10
 1.8e+07 3.82829e+10 -3.82829e+10 3.82829e+10
 1.9e+07 4.09382e+10 -4.09382e+10 4.09382e+10
 2e+07 4.36084e+10 -4.36084e+10 4.36084e+10
 2e+07 4.43548e+10 -4.43548e+10 4.43548e+10
 4e+07 9.25973e+10 -9.25973e+10 9.25973e+10
 6e+07 1.53362e+11 -1.53362e+11 1.53362e+11
 8e+07 2.21518e+11 -2.21518e+11 2.21518e+11
 1e+08 2.89704e+11 -2.89704e+11 2.89704e+11
 1.2e+08 3.68085e+11 -3.68085e+11 3.68085e+11
 1.4e+08 4.33569e+11 -4.33569e+11 4.33569e+11
 1.6e+08 4.83436e+11 -4.83436e+11 4.83436e+11
 1.8e+08 5.39226e+11 -5.39226e+11 5.39226e+11
 2e+08 6.00131e+11 -6.00131e+11 6.00131e+11
 2.2e+08 6.52383e+11 -6.52383e+11 6.52383e+11
 2.4e+08 6.98008e+11 -6.98008e+11 6.98008e+11
 2.6e+08 7.48708e+11 -7.48708e+11 7.48708e+11
 2.8e+08 8.16032e+11 -8.16032e+11 8.16032e+11
 3e+08 8.84144e+11 -8.84144e+11 8.84144e+11
 3.2e+08 9.52817e+11 -9.52817e+11 9.52817e+11
 3.4e+08 1.00984e+12 -1.00984e+12 1.00984e+12
 3.6e+08 1.06118e+12 -1.06118e+12 1.06118e+12
 3.8e+08 1.12689e+12 -1.12689e+12 1.12689e+12
 4e+08 1.1941e+12 -1.1941e+12 1.1941e+12
 4e+08 1.91888e+12 -1.91888e+12 1.91888e+12
 8e+08 5.09703e+12 -5.09703e+12 5.09703e+12
