Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 2.68118e+07 2.81171e+07
 100000 1.0696e+08 1.07958e+08
 150000 2.40015e+08 2.33386e+08
 200000 4.25553e+08 3.99052e+08
 250000 6.63151e+08 6.00279e+08
 300000 9.52394e+08 8.32975e+08
 350000 1.29287e+09 1.09354e+09
 400000 1.68416e+09 1.37882e+09
 450000 2.12586e+09 1.68602e+09
 500000 2.61756e+09 2.0127e+09
 550000 3.15887e+09 2.35669e+09
 600000 3.74938e+09 2.71612e+09
 650000 4.3887e+09 3.08929e+09
 700000 5.07644e+09 3.47473e+09
 750000 5.81221e+09 3.87112e+09
 800000 6.59562e+09 4.2773e+09
 850000 7.42628e+09 4.69224e+09
 900000 8.30383e+09 5.11504e+09
 950000 9.22788e+09 5.5449e+09
 1e+06 1.01981e+10 5.98109e+09
 1e+06 1.02008e+10 5.99153e+09
 2e+06 3.87469e+10 1.54053e+10
 3e+06 8.29219e+10 2.52582e+10
 4e+06 1.40417e+11 3.52255e+10
 5e+06 2.09259e+11 4.52836e+10
 6e+06 2.87773e+11 5.53576e+10
 7e+06 3.74518e+11 6.54031e+10
 8e+06 4.68264e+11 7.54522e+10
 9e+06 5.67923e+11 8.55503e+10
 1e+07 6.7262e+11 9.56764e+10
 1.1e+07 7.81613e+11 1.05827e+11
 1.2e+07 8.94251e+11 1.15986e+11
 1.3e+07 1.00998e+12 1.2614e+11
 1.4e+07 1.12841e+12 1.36236e+11
 1.5e+07 1.24914e+12 1.46347e+11
 1.6e+07 1.37183e+12 1.56478e+11
 1.7e+07 1.49617e+12 1.66611e+11
 1.8e+07 1.6219e+12 1.76818e+11
 1.9e+07 1.74884e+12 1.87077e+11
 2e+07 1.87681e+12 1.97382e+11
 2e+07 1.88956e+12 1.95913e+11
 4e+07 4.52048e+12 4.06996e+11
 6e+07 7.17164e+12 6.16737e+11
 8e+07 9.86367e+12 8.17635e+11
 1e+08 1.2617e+13 1.01014e+12
 1.2e+08 1.54335e+13 1.20621e+12
 1.4e+08 1.83574e+13 1.39738e+12
 1.6e+08 2.14471e+13 1.58609e+12
 1.8e+08 2.45605e+13 1.7651e+12
 2e+08 2.78836e+13 1.94456e+12
 2.2e+08 3.09625e+13 2.12884e+12
 2.4e+08 3.39958e+13 2.31002e+12
 2.6e+08 3.71573e+13 2.48853e+12
 2.8e+08 4.03737e+13 2.65999e+12
 3e+08 4.36401e+13 2.83583e+12
 3.2e+08 4.68613e+13 3.01344e+12
 3.4e+08 5.00069e+13 3.19492e+12
 3.6e+08 5.30497e+13 3.38503e+12
 3.8e+08 5.61485e+13 3.56838e+12
 4e+08 5.92706e+13 3.77388e+12
 4e+08 5.44664e+13 3.55693e+12
