Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 4.65927e+08
 100000 1.85514e+09
 150000 4.1549e+09
 200000 7.35268e+09
 250000 1.14361e+10
 300000 1.63929e+10
 350000 2.22112e+10
 400000 2.88789e+10
 450000 3.63845e+10
 500000 4.47163e+10
 550000 5.38631e+10
 600000 6.38135e+10
 650000 7.45565e+10
 700000 8.60812e+10
 750000 9.83768e+10
 800000 1.11433e+11
 850000 1.25238e+11
 900000 1.39784e+11
 950000 1.55058e+11
 1e+06 1.71052e+11
 1e+06 1.71049e+11
 2e+06 6.27672e+11
 3e+06 1.30077e+12
 4e+06 2.13809e+12
 5e+06 3.10005e+12
 6e+06 4.15664e+12
 7e+06 5.28508e+12
 8e+06 6.46809e+12
 9e+06 7.69259e+12
 1e+07 8.94869e+12
 1.1e+07 1.02288e+13
 1.2e+07 1.15272e+13
 1.3e+07 1.28395e+13
 1.4e+07 1.41623e+13
 1.5e+07 1.54932e+13
 1.6e+07 1.683e+13
 1.7e+07 1.81712e+13
 1.8e+07 1.95158e+13
 1.9e+07 2.08627e+13
 2e+07 2.22114e+13
 2e+07 2.22449e+13
 4e+07 4.92728e+13
 6e+07 7.63313e+13
 8e+07 1.03439e+14
 1e+08 1.30484e+14
 1.2e+08 1.57438e+14
 1.4e+08 1.84492e+14
 1.6e+08 2.1162e+14
 1.8e+08 2.38752e+14
 2e+08 2.65969e+14
 2.2e+08 2.9318e+14
 2.4e+08 3.204e+14
 2.6e+08 3.47506e+14
 2.8e+08 3.74543e+14
 3e+08 4.0148e+14
 3.2e+08 4.28483e+14
 3.4e+08 4.55547e+14
 3.6e+08 4.82515e+14
 3.8e+08 5.09506e+14
 4e+08 5.36474e+14
 4e+08 5.40296e+14
 8e+08 1.08329e+15
 1.2e+09 1.63924e+15
 1.6e+09 2.20006e+15
 2e+09 2.77767e+15
