Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 142653 149855 124589 139032
 100000 564588 593459 492321 550122
 150000 1.25812e+06 1.3231e+06 1.09542e+06 1.22555e+06
 200000 2.2161e+06 2.33166e+06 1.92673e+06 2.15816e+06
 250000 3.43176e+06 3.61271e+06 2.97963e+06 3.34137e+06
 300000 4.8987e+06 5.16025e+06 4.24797e+06 4.76897e+06
 350000 6.61081e+06 6.96859e+06 5.72599e+06 6.43513e+06
 400000 8.56232e+06 9.03234e+06 7.40828e+06 8.33431e+06
 450000 1.07478e+07 1.13464e+07 9.2897e+06 1.04613e+07
 500000 1.31622e+07 1.3906e+07 1.13655e+07 1.28112e+07
 500000 1.31683e+07 1.38824e+07 1.13724e+07 1.28077e+07
 1e+06 4.8959e+07 5.20922e+07 4.19332e+07 4.76615e+07
 1.5e+06 1.03824e+08 1.11042e+08 8.81397e+07 1.01002e+08
 2e+06 1.75413e+08 1.88419e+08 1.47783e+08 1.70538e+08
 2.5e+06 2.61883e+08 2.82359e+08 2.19217e+08 2.54486e+08
 3e+06 3.6154e+08 3.91397e+08 3.01435e+08 3.51458e+08
 3.5e+06 4.72966e+08 5.1415e+08 3.93266e+08 4.60127e+08
 4e+06 5.95164e+08 6.49303e+08 4.93401e+08 5.79289e+08
 4.5e+06 7.27241e+08 7.95613e+08 6.00546e+08 7.078e+08
 5e+06 8.6839e+08 9.5192e+08 7.13611e+08 8.4464e+08
 5e+06 8.58672e+08 9.62291e+08 7.01743e+08 8.40902e+08
 1e+07 2.58201e+09 2.92182e+09 2.00489e+09 2.5029e+09
 1.5e+07 4.53581e+09 5.445e+09 3.30196e+09 4.42759e+09
 2e+07 6.57143e+09 8.26955e+09 4.37908e+09 6.40669e+09
 2.5e+07 8.4964e+09 1.1245e+10 5.31112e+09 8.35083e+09
 3e+07 1.00909e+10 1.43896e+10 6.26478e+09 1.02485e+10
 3.5e+07 1.14585e+10 1.77932e+10 7.2378e+09 1.21632e+10
 4e+07 1.28311e+10 2.13561e+10 8.35255e+09 1.41799e+10
 4.5e+07 1.43455e+10 2.4922e+10 9.62418e+09 1.62972e+10
 5e+07 1.58827e+10 2.85662e+10 1.09324e+10 1.84604e+10
 5e+07 1.48594e+10 2.54966e+10 1.09275e+10 1.70945e+10
 1e+08 2.93675e+10 7.02844e+10 2.34722e+10 4.10414e+10
 1.5e+08 3.38084e+10 1.3202e+11 2.96088e+10 6.51456e+10
 2e+08 3.91836e+10 2.00625e+11 4.05892e+10 9.34658e+10
 2.5e+08 3.8029e+10 2.80112e+11 4.10031e+10 1.19715e+11
 3e+08 3.40212e+10 3.94238e+11 2.73822e+10 1.5188e+11
 3.5e+08 4.46945e+10 5.42678e+11 1.99378e+10 2.02437e+11
 4e+08 5.73193e+10 7.15797e+11 1.60795e+10 2.63065e+11
 4.5e+08 6.48431e+10 8.94316e+11 2.09557e+10 3.26705e+11
 5e+08 5.89848e+10 1.06549e+12 3.61773e+10 3.86883e+11
 5e+08 1.62135e+11 7.4621e+11 3.79991e+10 3.15448e+11
 1e+09 1.65126e+11 1.97275e+12 1.38861e+11 7.58913e+11
