# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 29573 -0.0340685 4963.05 0.981792 9.63454e-05
200000 29438.8 -0.0717987 4940.54 0.990955 9.76945e-05
300000 29596.6 -0.023452 4967.01 0.993701 9.74345e-05
400000 29749.8 -0.0921421 4992.73 1.00706 9.8231e-05
500000 30231.4 -0.234789 5073.57 1.0141 9.73751e-05
600000 29390.8 -0.0263072 4932.47 0.988319 9.75904e-05
700000 29779.4 -0.00865355 4997.69 0.995805 9.70379e-05
800000 30127.1 -0.147802 5056.07 1.00107 9.64388e-05
900000 29991.3 0.179013 5033.21 1.01589 9.82987e-05
1000000 29950.6 0.907653 5026.26 1.00003 9.68908e-05
1100000 29607.7 -0.105735 4968.89 1.01139 9.91344e-05
1200000 29892.3 -0.107117 5016.65 1.00721 9.77629e-05
1300000 29517.2 -0.0290672 4953.69 0.992751 9.75947e-05
1400000 29800.3 -0.21488 5001.23 0.988522 9.62596e-05
1500000 30197 0.151777 5067.74 1.01314 9.73953e-05
1600000 30176.3 -0.0834929 5064.32 1.02889 9.89547e-05
1700000 29969.1 -0.120651 5029.54 0.999203 9.67484e-05
1800000 29255.5 -0.259433 4909.8 0.977135 9.69257e-05
1900000 29856.2 0.214112 5010.54 0.995093 9.67424e-05
2000000 29575.3 0.0888481 4963.42 1.00244 9.83531e-05
2100000 29780.3 -0.0405538 4997.84 0.999087 9.73706e-05
2200000 29676.2 0.626107 4980.25 0.979785 9.58204e-05
2300000 29820.3 0.230548 5004.5 1.01546 9.881e-05
2400000 29966.7 -0.225994 5029.16 1.01486 9.82922e-05
2500000 29996.6 -0.0680047 5034.14 1.00328 9.70499e-05
2600000 29332.6 0.625966 4922.6 0.99549 9.85076e-05
2700000 29495.1 -0.0221074 4949.98 0.999306 9.83513e-05
2800000 29713.7 -0.0601304 4986.67 0.98654 9.6382e-05
2900000 29982.7 2.98864 5031.31 1.01108 9.78294e-05
3000000 29970.4 -0.0451448 5029.75 1.01006 9.78185e-05
3100000 29564 -0.0181316 4961.53 0.991566 9.73135e-05
3200000 30154.2 -0.0767104 5060.6 1.01317 9.75222e-05
3300000 29550.7 -0.103543 4959.32 0.985111 9.67732e-05
3400000 29913.5 -0.0419347 5020.2 1.0014 9.71376e-05
3500000 29874.7 -0.112389 5013.7 1.02023 9.91162e-05
3600000 29637.8 -0.046509 4973.93 0.997477 9.76954e-05
3700000 29578.5 -0.106687 4963.99 0.984832 9.66332e-05
3800000 29648.3 -0.0958355 4975.7 1.01151 9.90124e-05
3900000 29808.7 -0.147927 5002.62 0.999854 9.73461e-05
4000000 29419.5 0.381981 4937.23 0.989593 9.76032e-05
4100000 29550.7 -0.108811 4959.32 0.972852 9.55393e-05
4200000 29638.7 -0.091399 4974.09 0.994668 9.7397e-05
4300000 29359.3 0.728231 4927.06 0.98452 9.73129e-05
4400000 30680.1 -0.180203 5148.87 1.03417 9.7785e-05
4500000 29517.1 2.82789 4953.19 0.991525 9.74473e-05
4600000 29737.2 -0.151198 4990.62 0.9945 9.70698e-05
4700000 29972 0.924321 5029.84 1.01498 9.82702e-05
4800000 30000.8 -0.137111 5034.87 1.01055 9.77634e-05
4900000 29969.1 -0.160099 5029.55 0.99661 9.65058e-05
5000000 30337 0.332049 5091.21 0.998312 9.55009e-05
5100000 29863.8 -0.0681519 5011.86 0.996432 9.68366e-05
5200000 29744.4 0.0590648 4991.8 1.01824 9.93603e-05
5300000 29250.1 -0.134717 4908.88 0.989422 9.8174e-05
5400000 30154.2 1.29042 5060.38 1.01401 9.75942e-05
5500000 29783.9 -0.165326 4998.46 1.00156 9.75889e-05
5600000 29851.5 1.55858 5009.52 0.990953 9.63163e-05
5700000 30259.5 0.910234 5078.11 1.02361 9.81725e-05
5800000 30088.1 -0.0283579 5049.5 1.02368 9.87419e-05
5900000 29946.5 -0.061823 5025.73 1.00232 9.71749e-05
6000000 30042.6 -0.0554092 5041.86 1.03429 9.99278e-05
6100000 29995.3 -0.25067 5033.96 1.01038 9.77552e-05
6200000 30131.9 -0.0565599 5056.86 1.01224 9.75188e-05
6300000 29658.1 -0.106083 4977.35 0.985095 9.63951e-05
6400000 30050.4 -0.211178 5043.2 1.01638 9.81724e-05
6500000 29851.8 -0.112081 5009.85 1.00902 9.80863e-05
6600000 29412.8 -0.0565479 4936.17 0.979166 9.66178e-05
6700000 30290.9 -0.182591 5083.56 1.02054 9.77905e-05
6800000 29986.3 -0.189506 5032.44 1.01259 9.79927e-05
6900000 29881.4 -0.236574 5014.84 1.01624 9.87048e-05
7000000 29582.1 1.00746 4964.4 1.00045 9.81259e-05
7100000 29818.3 -0.0923762 5004.23 0.998339 9.7171e-05
7200000 29605.5 3.78915 4967.86 0.989255 9.69351e-05
7300000 29855.1 -0.0782755 5010.41 1.0091 9.80895e-05
7400000 29630.7 -0.0899626 4972.74 1.0014 9.80914e-05
7500000 29356.5 -0.133426 4926.74 0.97668 9.65499e-05
7600000 30076.7 -0.017862 5047.58 0.993757 9.589e-05
7700000 29597.8 0.233768 4967.17 0.986457 9.67126e-05
7800000 29886.7 -0.160892 5015.72 1.00186 9.73085e-05
7900000 29576.5 -0.174913 4963.67 0.992599 9.74158e-05
8000000 29881.3 -0.0574101 5014.79 1.00356 9.74735e-05
8100000 29133.8 1.16104 4889.15 0.975036 9.70953e-05
8200000 29752.6 0.411761 4993.12 1.0006 9.75888e-05
8300000 29223.1 0.204301 4904.29 0.989902 9.83012e-05
8400000 29749.2 0.124187 4992.6 0.993696 9.69376e-05
8500000 29946.6 -0.152568 5025.78 1.00599 9.75537e-05
8600000 29716.6 0.497536 4987.06 0.999657 9.76433e-05
8700000 30107.2 -0.0808449 5052.71 1.01886 9.81896e-05
