Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 2.58194e+08
 100000 1.0255e+09
 150000 2.29116e+09
 200000 4.04466e+09
 250000 6.2757e+09
 300000 8.97419e+09
 350000 1.21303e+10
 400000 1.57343e+10
 450000 1.97768e+10
 500000 2.42486e+10
 550000 2.91406e+10
 600000 3.44439e+10
 650000 4.01499e+10
 700000 4.62501e+10
 750000 5.27362e+10
 800000 5.96001e+10
 850000 6.68338e+10
 900000 7.44295e+10
 950000 8.23797e+10
 1e+06 9.06768e+10
 1e+06 9.06753e+10
 2e+06 3.19281e+11
 3e+06 6.38088e+11
 4e+06 1.016e+12
 5e+06 1.43271e+12
 6e+06 1.87493e+12
 7e+06 2.33397e+12
 8e+06 2.8041e+12
 9e+06 3.28153e+12
 1e+07 3.76378e+12
 1.1e+07 4.24916e+12
 1.2e+07 4.73657e+12
 1.3e+07 5.22528e+12
 1.4e+07 5.71478e+12
 1.5e+07 6.20473e+12
 1.6e+07 6.6949e+12
 1.7e+07 7.18512e+12
 1.8e+07 7.67526e+12
 1.9e+07 8.16527e+12
 2e+07 8.65515e+12
 2e+07 8.64657e+12
 4e+07 1.84472e+13
 6e+07 2.82219e+13
 8e+07 3.79837e+13
 1e+08 4.77361e+13
 1.2e+08 5.74646e+13
 1.4e+08 6.72322e+13
 1.6e+08 7.70106e+13
 1.8e+08 8.6791e+13
 2e+08 9.65969e+13
 2.2e+08 1.06389e+14
 2.4e+08 1.1622e+14
 2.6e+08 1.26066e+14
 2.8e+08 1.35901e+14
 3e+08 1.45673e+14
 3.2e+08 1.55471e+14
 3.4e+08 1.65259e+14
 3.6e+08 1.74997e+14
 3.8e+08 1.8474e+14
 4e+08 1.94465e+14
 4e+08 1.95848e+14
 8e+08 3.9143e+14
 1.2e+09 5.92342e+14
 1.6e+09 7.93016e+14
 2e+09 9.83806e+14
