Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 4.01613e+07 2.24774e+06
 100000 1.6001e+08 8.87792e+06
 150000 3.58606e+08 1.97253e+07
 200000 6.35017e+08 3.4633e+07
 250000 9.88323e+08 5.34526e+07
 300000 1.41761e+09 7.60428e+07
 350000 1.92199e+09 1.02269e+08
 400000 2.50057e+09 1.32002e+08
 450000 3.15247e+09 1.65118e+08
 500000 3.87682e+09 2.015e+08
 550000 4.67277e+09 2.41036e+08
 600000 5.53946e+09 2.83616e+08
 650000 6.47607e+09 3.29136e+08
 700000 7.48176e+09 3.77496e+08
 750000 8.55571e+09 4.286e+08
 800000 9.69713e+09 4.82354e+08
 850000 1.09052e+10 5.38671e+08
 900000 1.21792e+10 5.97465e+08
 950000 1.35182e+10 6.58654e+08
 1e+06 1.49216e+10 7.22159e+08
 1e+06 1.49213e+10 7.22345e+08
 2e+06 5.53888e+10 2.38082e+09
 3e+06 1.16e+11 4.53648e+09
 4e+06 1.92498e+11 6.97349e+09
 5e+06 2.81529e+11 9.57692e+09
 6e+06 3.8046e+11 1.22833e+10
 7e+06 4.87224e+11 1.50584e+10
 8e+06 6.00179e+11 1.78824e+10
 9e+06 7.18004e+11 2.07459e+10
 1e+07 8.39655e+11 2.36433e+10
 1.1e+07 9.64306e+11 2.65643e+10
 1.2e+07 1.09129e+12 2.94975e+10
 1.3e+07 1.22009e+12 3.24327e+10
 1.4e+07 1.35028e+12 3.53647e+10
 1.5e+07 1.48155e+12 3.82978e+10
 1.6e+07 1.61365e+12 4.12299e+10
 1.7e+07 1.74637e+12 4.4161e+10
 1.8e+07 1.87958e+12 4.70939e+10
 1.9e+07 2.01316e+12 5.00277e+10
 2e+07 2.14702e+12 5.29614e+10
 2e+07 2.14037e+12 5.37472e+10
 4e+07 4.84126e+12 1.14295e+11
 6e+07 7.54125e+12 1.76097e+11
 8e+07 1.026e+13 2.36337e+11
 1e+08 1.29991e+13 2.98203e+11
 1.2e+08 1.57318e+13 3.57796e+11
 1.4e+08 1.84347e+13 4.13698e+11
 1.6e+08 2.10991e+13 4.6837e+11
 1.8e+08 2.37559e+13 5.21058e+11
 2e+08 2.63857e+13 5.7433e+11
 2.2e+08 2.90355e+13 6.29352e+11
 2.4e+08 3.1697e+13 6.89769e+11
 2.6e+08 3.43846e+13 7.48195e+11
 2.8e+08 3.7063e+13 8.07745e+11
 3e+08 3.96967e+13 8.71887e+11
 3.2e+08 4.23681e+13 9.35573e+11
 3.4e+08 4.50646e+13 9.9676e+11
 3.6e+08 4.78171e+13 1.05061e+12
 3.8e+08 5.05076e+13 1.11052e+12
 4e+08 5.32255e+13 1.17062e+12
 4e+08 5.15716e+13 1.07931e+12
 8e+08 1.05442e+14 2.52832e+12
 1.2e+09 1.60632e+14 3.94152e+12
 1.6e+09 2.21509e+14 5.31726e+12
 2e+09 2.84336e+14 6.58676e+12
