Ar
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 50000 6.04389e+11 6.5585e+11 6.37206e+11 5.92101e+11 5.97698e+11 6.11221e+11 6.0034e+11 6.13197e+11 1.9181e+09
 100000 2.29478e+12 2.49883e+12 2.42637e+12 2.24534e+12 2.26801e+12 2.32011e+12 2.27782e+12 2.32935e+12 6.61574e+10
 150000 4.92398e+12 5.37736e+12 5.21723e+12 4.8124e+12 4.86541e+12 4.97381e+12 4.88387e+12 4.99946e+12 6.82656e+10
 200000 8.36611e+12 9.16032e+12 8.87752e+12 8.1713e+12 8.26418e+12 8.44051e+12 8.29199e+12 8.49572e+12 7.04467e+10
 250000 1.25129e+13 1.37329e+13 1.32916e+13 1.22162e+13 1.23535e+13 1.26082e+13 1.23926e+13 1.27072e+13 7.25996e+10
 300000 1.72733e+13 1.89934e+13 1.83631e+13 1.6857e+13 1.70365e+13 1.73804e+13 1.70913e+13 1.75388e+13 7.47334e+10
 350000 2.25669e+13 2.48511e+13 2.40071e+13 2.20129e+13 2.22277e+13 2.26746e+13 2.23051e+13 2.29064e+13 7.63059e+10
 400000 2.83215e+13 3.12244e+13 3.01478e+13 2.76147e+13 2.78556e+13 2.84189e+13 2.79631e+13 2.8737e+13 7.80605e+10
 450000 3.44726e+13 3.80429e+13 3.67224e+13 3.36039e+13 3.3859e+13 3.45521e+13 3.4005e+13 3.4968e+13 8.0254e+10
 500000 4.0965e+13 4.52459e+13 4.36807e+13 3.99266e+13 4.01837e+13 4.10228e+13 4.03777e+13 4.15455e+13 8.2427e+10
 550000 4.7752e+13 5.2778e+13 5.09802e+13 4.65346e+13 4.67807e+13 4.77871e+13 4.70341e+13 4.84218e+13 8.45528e+10
 600000 5.47919e+13 6.05926e+13 5.85868e+13 5.33852e+13 5.36053e+13 5.4807e+13 5.39325e+13 5.55557e+13 8.6636e+10
 650000 6.205e+13 6.86499e+13 6.64723e+13 6.0441e+13 6.06217e+13 6.2049e+13 6.10372e+13 6.2912e+13 8.8706e+10
 700000 6.94968e+13 7.69186e+13 7.46146e+13 6.76709e+13 6.78027e+13 6.94849e+13 6.83195e+13 7.04624e+13 9.07715e+10
 750000 7.71075e+13 8.53713e+13 8.29927e+13 7.505e+13 7.51227e+13 7.70895e+13 7.57541e+13 7.8182e+13 9.28801e+10
 800000 8.48598e+13 9.3983e+13 9.15875e+13 8.25602e+13 8.2558e+13 8.48407e+13 8.33196e+13 8.60492e+13 9.50376e+10
 850000 9.27338e+13 1.02732e+14 1.00379e+14 9.01853e+13 9.00868e+13 9.27207e+13 9.09976e+13 9.40445e+13 9.67658e+10
 900000 1.0071e+14 1.11602e+14 1.0935e+14 9.79096e+13 9.76912e+13 1.00716e+14 9.87723e+13 1.02152e+14 9.89402e+10
 950000 1.08771e+14 1.20577e+14 1.18482e+14 1.05717e+14 1.05356e+14 1.0882e+14 1.06631e+14 1.10356e+14 1.00585e+11
 1e+06 1.16902e+14 1.29646e+14 1.27758e+14 1.13595e+14 1.13068e+14 1.17023e+14 1.14562e+14 1.18645e+14 1.0244e+11
 1e+06 1.14314e+14 1.27503e+14 1.27756e+14 1.14287e+14 1.1142e+14 1.1843e+14 1.14712e+14 1.18104e+14 4.19352e+10
 2e+06 2.83238e+14 3.22011e+14 3.29266e+14 2.82006e+14 2.66432e+14 2.89414e+14 2.79284e+14 2.92172e+14 8.50089e+10
 3e+06 4.40264e+14 5.23904e+14 5.16537e+14 4.64252e+14 4.22896e+14 4.61122e+14 4.49423e+14 4.67081e+14 1.2631e+11
 4e+06 5.92163e+14 7.37868e+14 7.014e+14 6.4531e+14 5.78048e+14 6.43991e+14 6.2245e+14 6.44327e+14 1.68377e+11
 5e+06 7.59622e+14 9.60992e+14 8.9352e+14 8.30404e+14 7.41317e+14 8.27612e+14 7.99777e+14 8.28418e+14 2.05852e+11
 6e+06 9.22749e+14 1.18991e+15 1.10847e+15 1.0146e+15 9.10783e+14 1.01843e+15 9.81269e+14 1.01825e+15 2.40777e+11
