Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 2.50409e+07
 100000 9.65495e+07
 150000 2.09546e+08
 200000 3.59589e+08
 250000 5.42711e+08
 300000 7.55373e+08
 350000 9.94419e+08
 400000 1.25703e+09
 450000 1.54068e+09
 500000 1.84314e+09
 550000 2.16238e+09
 600000 2.49663e+09
 650000 2.84429e+09
 700000 3.20391e+09
 750000 3.57423e+09
 800000 3.95411e+09
 850000 4.34252e+09
 900000 4.73855e+09
 950000 5.1414e+09
 1e+06 5.55035e+09
 1e+06 5.54932e+09
 2e+06 1.43631e+10
 3e+06 2.35201e+10
 4e+06 3.27113e+10
 5e+06 4.19081e+10
 6e+06 5.1111e+10
 7e+06 6.03193e+10
 8e+06 6.9527e+10
 9e+06 7.87272e+10
 1e+07 8.7917e+10
 1.1e+07 9.70982e+10
 1.2e+07 1.0628e+11
 1.3e+07 1.15464e+11
 1.4e+07 1.24652e+11
 1.5e+07 1.33837e+11
 1.6e+07 1.43012e+11
 1.7e+07 1.52186e+11
 1.8e+07 1.61365e+11
 1.9e+07 1.70551e+11
 2e+07 1.79735e+11
 2e+07 1.79646e+11
 4e+07 3.63802e+11
 6e+07 5.46652e+11
 8e+07 7.30799e+11
 1e+08 9.14609e+11
 1.2e+08 1.09899e+12
 1.4e+08 1.28292e+12
 1.6e+08 1.46813e+12
 1.8e+08 1.65239e+12
 2e+08 1.83741e+12
 2.2e+08 2.02529e+12
 2.4e+08 2.2132e+12
 2.6e+08 2.40194e+12
 2.8e+08 2.5909e+12
 3e+08 2.78013e+12
 3.2e+08 2.97047e+12
 3.4e+08 3.15963e+12
 3.6e+08 3.34729e+12
 3.8e+08 3.53432e+12
 4e+08 3.72077e+12
 4e+08 3.68567e+12
 8e+08 7.42352e+12
