Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 3.10122e+08
 100000 1.23283e+09
 150000 2.7568e+09
 200000 4.87092e+09
 250000 7.56427e+09
 300000 1.08262e+10
 350000 1.46461e+10
 400000 1.90137e+10
 450000 2.39189e+10
 500000 2.93517e+10
 550000 3.53025e+10
 600000 4.17616e+10
 650000 4.87197e+10
 700000 5.61675e+10
 750000 6.4096e+10
 800000 7.24964e+10
 850000 8.13599e+10
 900000 9.06779e+10
 950000 1.00442e+11
 1e+06 1.10644e+11
 1e+06 1.10646e+11
 2e+06 3.9524e+11
 3e+06 7.99736e+11
 4e+06 1.28688e+12
 5e+06 1.83102e+12
 6e+06 2.41447e+12
 7e+06 3.02506e+12
 8e+06 3.65432e+12
 9e+06 4.29641e+12
 1e+07 4.94731e+12
 1.1e+07 5.60426e+12
 1.2e+07 6.26529e+12
 1.3e+07 6.92905e+12
 1.4e+07 7.59461e+12
 1.5e+07 8.26137e+12
 1.6e+07 8.92892e+12
 1.7e+07 9.59701e+12
 1.8e+07 1.02654e+13
 1.9e+07 1.0934e+13
 2e+07 1.16027e+13
 2e+07 1.16198e+13
 4e+07 2.49959e+13
 6e+07 3.84298e+13
 8e+07 5.18789e+13
 1e+08 6.53523e+13
 1.2e+08 7.88846e+13
 1.4e+08 9.24464e+13
 1.6e+08 1.06035e+14
 1.8e+08 1.19616e+14
 2e+08 1.33184e+14
 2.2e+08 1.46727e+14
 2.4e+08 1.60227e+14
 2.6e+08 1.73761e+14
 2.8e+08 1.87331e+14
 3e+08 2.00935e+14
 3.2e+08 2.14537e+14
 3.4e+08 2.28153e+14
 3.6e+08 2.41739e+14
 3.8e+08 2.55243e+14
 4e+08 2.68694e+14
 4e+08 2.69985e+14
 8e+08 5.37637e+14
 1.2e+09 8.0549e+14
 1.6e+09 1.06322e+15
 2e+09 1.31909e+15
