Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.213e-15
 100000 3.20431e-15
 150000 5.56392e-15
 200000 8.21224e-15
 250000 1.11276e-14
 300000 1.42948e-14
 350000 1.77144e-14
 400000 2.13837e-14
 450000 2.5306e-14
 500000 2.94841e-14
 550000 3.39116e-14
 600000 3.85927e-14
 650000 4.35311e-14
 700000 4.87163e-14
 750000 5.41465e-14
 800000 5.98187e-14
 850000 6.57448e-14
 900000 7.19338e-14
 950000 7.83824e-14
 1e+06 8.50937e-14
 1e+06 8.47354e-14
 2e+06 2.71469e-13
 3e+06 5.58418e-13
 4e+06 9.44711e-13
 5e+06 1.43211e-12
 6e+06 2.01984e-12
 7e+06 2.7068e-12
 8e+06 3.49414e-12
 9e+06 4.38297e-12
 1e+07 5.37252e-12
 1.1e+07 6.46224e-12
 1.2e+07 7.652e-12
 1.3e+07 8.94184e-12
 1.4e+07 1.03314e-11
 1.5e+07 1.18216e-11
 1.6e+07 1.34102e-11
 1.7e+07 1.50989e-11
 1.8e+07 1.68873e-11
 1.9e+07 1.87751e-11
 2e+07 2.07618e-11
 2e+07 2.08335e-11
 4e+07 8.16236e-11
 6e+07 1.82009e-10
 8e+07 3.21422e-10
 1e+08 5.00208e-10
 1.2e+08 7.17743e-10
 1.4e+08 9.73652e-10
 1.6e+08 1.26807e-09
 1.8e+08 1.6005e-09
 2e+08 1.97122e-09
 2.2e+08 2.37864e-09
 2.4e+08 2.82295e-09
 2.6e+08 3.30268e-09
 2.8e+08 3.81699e-09
 3e+08 4.36475e-09
 3.2e+08 4.94478e-09
 3.4e+08 5.55409e-09
 3.6e+08 6.1953e-09
 3.8e+08 6.867e-09
 4e+08 7.5699e-09
 4e+08 7.88747e-09
 8e+08 2.88419e-08
 1.2e+09 6.04401e-08
 1.6e+09 1.0647e-07
 2e+09 1.67321e-07
