Ar
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 50000 1.27422e+12 1.32007e+12 1.24789e+12 1.23966e+12 1.18968e+12 1.21688e+12 1.21541e+12 1.24154e+12 1.21799e+09
 100000 4.94113e+12 5.12189e+12 4.83093e+12 4.80365e+12 4.59944e+12 4.71156e+12 4.70488e+12 4.80879e+12 1.27587e+11
 150000 1.08018e+13 1.12065e+13 1.05435e+13 1.04983e+13 1.00286e+13 1.02871e+13 1.02713e+13 1.0503e+13 1.29111e+11
 200000 1.86751e+13 1.9396e+13 1.81977e+13 1.8148e+13 1.72972e+13 1.77629e+13 1.7736e+13 1.81441e+13 1.30634e+11
 250000 2.83976e+13 2.95267e+13 2.76233e+13 2.75909e+13 2.6242e+13 2.697e+13 2.69343e+13 2.75669e+13 1.32159e+11
 300000 3.98177e+13 4.14488e+13 3.8663e+13 3.86743e+13 3.67145e+13 3.77513e+13 3.77133e+13 3.86186e+13 1.33714e+11
 350000 5.27963e+13 5.5026e+13 5.11747e+13 5.12583e+13 4.85825e+13 4.99606e+13 4.99338e+13 5.11599e+13 1.35199e+11
 400000 6.72042e+13 7.01301e+13 6.50298e+13 6.52171e+13 6.17264e+13 6.34636e+13 6.34691e+13 6.50633e+13 1.36404e+11
 450000 8.29218e+13 8.66412e+13 8.01077e+13 8.04329e+13 7.60399e+13 7.81338e+13 7.82022e+13 8.02107e+13 1.37932e+11
 500000 9.98381e+13 1.04454e+14 9.62981e+13 9.68034e+13 9.14296e+13 9.38526e+13 9.40285e+13 9.64958e+13 1.39486e+11
 550000 1.1785e+14 1.2347e+14 1.13503e+14 1.14235e+14 1.07811e+14 1.10511e+14 1.10852e+14 1.13821e+14 1.40968e+11
 600000 1.36861e+14 1.43598e+14 1.31633e+14 1.3264e+14 1.25105e+14 1.28013e+14 1.28586e+14 1.32097e+14 1.42384e+11
 650000 1.56786e+14 1.64753e+14 1.50607e+14 1.51945e+14 1.43238e+14 1.46269e+14 1.47151e+14 1.51244e+14 1.4392e+11
