# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 53367.8 -0.144159 8956.4 0.996589 5.42027e-05
200000 53687.7 -0.146801 9010.09 1.01417 5.48221e-05
300000 53409.1 -0.0527095 8963.31 0.986447 5.36392e-05
400000 52817.8 -0.00190331 8864.08 0.988546 5.43222e-05
500000 53176 -0.0162663 8924.18 0.979221 5.34518e-05
600000 53311 -0.0431906 8946.85 0.988381 5.38132e-05
700000 53106.2 -0.0208093 8912.47 0.994439 5.43483e-05
800000 53860.5 -0.0869369 9039.08 1.01472 5.46642e-05
900000 52720.2 0.925594 8847.54 0.974722 5.36643e-05
1000000 52952.9 0.366117 8886.69 0.980149 5.37209e-05
1100000 53474.1 -0.0659247 8974.23 0.999631 5.42535e-05
1200000 53918.8 -0.020699 9048.84 0.998076 5.37136e-05
1300000 53569 -0.0572342 8990.16 0.997629 5.40454e-05
1400000 53626 -0.0593315 8999.72 0.99856 5.40485e-05
1500000 53426.1 -0.028668 8966.17 0.991251 5.38498e-05
1600000 52515.3 -0.0374948 8813.31 0.98439 5.43914e-05
1700000 53802.7 -0.0770209 9029.38 1.00021 5.39689e-05
1800000 53815.1 6.31263 9030.39 0.998271 5.38235e-05
1900000 53009.5 -0.136813 8896.26 0.978626 5.3592e-05
2000000 53982.7 0.414921 9059.5 1.01196 5.4412e-05
2100000 53690.1 -0.0836387 9010.48 0.999189 5.40045e-05
2200000 53137.6 0.0578046 8917.74 0.994125 5.42868e-05
2300000 53151.6 0.427923 8920.01 0.982116 5.36293e-05
2400000 53436.4 0.000414871 8967.88 0.994996 5.40406e-05
2500000 53739.6 -0.0836792 9018.78 1.01327 5.47203e-05
2600000 53514.1 0.741274 8980.8 0.994749 5.39436e-05
2700000 53355.8 2.10374 8954.01 1.00058 5.4416e-05
2800000 52998.6 0.856344 8894.27 0.985701 5.39669e-05
2900000 53710.2 -0.0545091 9013.85 0.999152 5.39659e-05
3000000 54221.3 0.690216 9099.5 1.01483 5.43457e-05
3100000 52754.6 1.41044 8853.22 0.974533 5.3614e-05
3200000 53436.7 -0.106409 8967.95 0.981698 5.33073e-05
3300000 53561.9 -0.0225494 8988.96 0.99331 5.38054e-05
3400000 53322.4 -0.0270028 8948.76 0.999153 5.4398e-05
3500000 54140.5 -0.0568098 9086.06 0.997528 5.34846e-05
3600000 54128.5 1.3732 9083.81 1.00902 5.40924e-05
3700000 54203.4 -0.0739235 9096.62 1.01029 5.40759e-05
3800000 53989.7 -0.063949 9060.76 1.0185 5.47452e-05
3900000 53687.6 -0.131986 9010.07 0.992737 5.36702e-05
4000000 53271.7 -0.0429472 8940.26 1.00278 5.4616e-05
4100000 54163.1 -0.0250117 9089.85 1.01809 5.45409e-05
4200000 52434.1 -0.0773716 8799.69 0.977832 5.41304e-05
4300000 53068.2 -0.0760843 8906.11 1.00132 5.47553e-05
4400000 53976.6 -0.0491322 9058.55 1.01181 5.44092e-05
4500000 54068.6 0.0473808 9073.97 0.982268 5.27221e-05
4600000 53876.5 0.980241 9041.58 1.0099 5.44075e-05
4700000 53334.8 -0.0417776 8950.84 0.995148 5.41494e-05
4800000 53664.6 -0.00170777 9006.19 1.00929 5.45818e-05
4900000 53624.6 3.41865 8998.9 0.998618 5.40501e-05
5000000 54014.3 -0.0143011 9064.87 1.0012 5.37905e-05
5100000 53450.8 -0.0557028 8970.32 1.00661 5.46539e-05
5200000 53224.3 -0.0296718 8932.29 0.995815 5.43124e-05
5300000 53151.5 -0.0429788 8920.09 0.979364 5.34652e-05
5400000 54439.4 -0.190396 9136.24 1.00388 5.35158e-05
5500000 53419.6 0.313278 8965.02 0.996 5.4099e-05
5600000 53862.3 -0.0371059 9039.37 1.00624 5.42112e-05
5700000 53810.3 -0.0608122 9030.64 1.01562 5.47795e-05
5800000 54043.1 -0.140031 9069.72 1.01367 5.44423e-05
5900000 53001.5 -0.0844633 8894.91 0.992568 5.43537e-05
6000000 52781.6 -0.00590355 8857.99 0.983231 5.40684e-05
6100000 53244.4 -0.0613924 8935.67 0.999511 5.44802e-05
6200000 53977.8 -0.0440935 9058.75 1.0046 5.40059e-05
6300000 53211.5 0.268331 8930.1 0.996605 5.43362e-05
6400000 53587.6 -0.0687428 8993.28 1.00504 5.44343e-05
6500000 52902.5 0.98827 8878.12 0.979836 5.37443e-05
6600000 54207.7 -0.0323951 9097.33 1.00734 5.39231e-05
6700000 54788.9 -0.0833878 9194.88 1.02018 5.40496e-05
6800000 52733.7 -0.0175525 8849.96 0.990779 5.45169e-05
6900000 54032.5 2.631 9067.48 1.01748 5.46385e-05
7000000 54029.6 0.0275435 9067.43 1.00225 5.38349e-05
7100000 53748 -0.0763305 9020.19 1.00497 5.42682e-05
7200000 53049.2 -0.0476731 8902.91 0.993365 5.43491e-05
7300000 53599.4 -0.104323 8995.25 0.999164 5.41266e-05
7400000 53332.8 -0.167648 8950.53 0.996044 5.42057e-05
7500000 53268.9 -0.0693872 8939.78 1.01127 5.50871e-05
7600000 53383 -0.0274295 8958.92 0.993948 5.40323e-05
7700000 53099.1 -0.0355564 8911.28 1.00474 5.49545e-05
7800000 53161 0.0250435 8921.67 0.980636 5.35554e-05
7900000 53714.1 -0.0836215 9014.5 0.99583 5.3815e-05
8000000 53362.6 -0.104486 8955.52 0.982201 5.34087e-05
8100000 53292.8 -0.0167543 8943.79 0.986206 5.36987e-05
8200000 53727.7 -0.0883609 9016.79 1.00821 5.44695e-05
8300000 53250.7 0.0771401 8936.71 0.999723 5.44787e-05
8400000 53564 -0.179026 8989.34 0.991169 5.36913e-05
8500000 53500.1 -0.0330578 8978.58 0.995868 5.40291e-05
8600000 54150.9 -0.00911123 9087.79 1.00178 5.36856e-05
8700000 54268.5 -0.0481738 9107.54 1.02597 5.48672e-05
8800000 53131.9 -0.0288804 8916.8 0.98813 5.39895e-05
8900000 53099.4 0.0898269 8911.32 0.987042 5.39399e-05
9000000 52716.4 -0.0291664 8847.06 0.984937 5.4216e-05
9100000 53548.4 -0.0578899 8986.69 1.00242 5.43164e-05
9200000 53414.1 1.51633 8963.89 0.99457 5.40312e-05
9300000 54321.1 -0.0307494 9116.37 1.02038 5.45175e-05
9400000 54206.1 -0.109692 9097.08 0.992024 5.31036e-05
9500000 53816 -0.0406598 9031.59 1.00136 5.39995e-05
9600000 53057.9 -0.0316158 8904.37 0.988986 5.41045e-05
9700000 54116.9 -0.0262683 9082.1 1.00928 5.41313e-05
9800000 53280 -0.0735008 8941.65 0.984032 5.36048e-05
9900000 53249.2 -0.0145837 8936.47 0.994548 5.42115e-05
10000000 53250.7 -0.0432791 8936.73 0.991589 5.40488e-05
