Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.88596e-15
 100000 5.00112e-15
 150000 8.72031e-15
 200000 1.28935e-14
 250000 1.74614e-14
 300000 2.23653e-14
 350000 2.75913e-14
 400000 3.31224e-14
 450000 3.89721e-14
 500000 4.51596e-14
 550000 5.16805e-14
 600000 5.85246e-14
 650000 6.56861e-14
 700000 7.31717e-14
 750000 8.09862e-14
 800000 8.91206e-14
 850000 9.75783e-14
 900000 1.06359e-13
 950000 1.1547e-13
 1e+06 1.24911e-13
 1e+06 1.25437e-13
 2e+06 3.8283e-13
 3e+06 7.70489e-13
 4e+06 1.28809e-12
 5e+06 1.93523e-12
 6e+06 2.71419e-12
 7e+06 3.62284e-12
 8e+06 4.66367e-12
 9e+06 5.83384e-12
 1e+07 7.13599e-12
 1.1e+07 8.57111e-12
 1.2e+07 1.0141e-11
 1.3e+07 1.18401e-11
 1.4e+07 1.36724e-11
 1.5e+07 1.56354e-11
 1.6e+07 1.77273e-11
 1.7e+07 1.99494e-11
 1.8e+07 2.23089e-11
 1.9e+07 2.47987e-11
 2e+07 2.74198e-11
 2e+07 2.73107e-11
 4e+07 1.07302e-10
 6e+07 2.39744e-10
 8e+07 4.25325e-10
 1e+08 6.65108e-10
 1.2e+08 9.60326e-10
 1.4e+08 1.30952e-09
 1.6e+08 1.71397e-09
 1.8e+08 2.17287e-09
 2e+08 2.68556e-09
 2.2e+08 3.25153e-09
 2.4e+08 3.87321e-09
 2.6e+08 4.54938e-09
 2.8e+08 5.27905e-09
 3e+08 6.06185e-09
 3.2e+08 6.89734e-09
 3.4e+08 7.78548e-09
 3.6e+08 8.72527e-09
 3.8e+08 9.71514e-09
 4e+08 1.07596e-08
 4e+08 1.02453e-08
 8e+08 4.10946e-08
 1.2e+09 9.2699e-08
 1.6e+09 1.54362e-07
 2e+09 2.26413e-07
