Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 4.05083e+07 5.72313e+06
 100000 1.6145e+08 2.24086e+07
 150000 3.61956e+08 4.93637e+07
 200000 6.41166e+08 8.59452e+07
 250000 9.98233e+08 1.31557e+08
 300000 1.43232e+09 1.85644e+08
 350000 1.94258e+09 2.47692e+08
 400000 2.52821e+09 3.1722e+08
 450000 3.18838e+09 3.9378e+08
 500000 3.9223e+09 4.76957e+08
 550000 4.72915e+09 5.6636e+08
 600000 5.60816e+09 6.61626e+08
 650000 6.55854e+09 7.62415e+08
 700000 7.57953e+09 8.68409e+08
 750000 8.67035e+09 9.79308e+08
 800000 9.83026e+09 1.09483e+09
 850000 1.10585e+10 1.21471e+09
 900000 1.23544e+10 1.33871e+09
 950000 1.37171e+10 1.46659e+09
 1e+06 1.5146e+10 1.59813e+09
 1e+06 1.51451e+10 1.60038e+09
 2e+06 5.65751e+10 4.76088e+09
 3e+06 1.19191e+11 8.4497e+09
 4e+06 1.98889e+11 1.23622e+10
 5e+06 2.92368e+11 1.63989e+10
 6e+06 3.96976e+11 2.05178e+10
 7e+06 5.10563e+11 2.46978e+10
 8e+06 6.3141e+11 2.893e+10
 9e+06 7.58122e+11 3.32125e+10
 1e+07 8.89571e+11 3.75311e+10
 1.1e+07 1.02484e+12 4.18777e+10
 1.2e+07 1.16319e+12 4.62506e+10
 1.3e+07 1.30405e+12 5.06542e+10
 1.4e+07 1.44693e+12 5.5097e+10
 1.5e+07 1.59145e+12 5.95643e+10
 1.6e+07 1.73731e+12 6.40593e+10
 1.7e+07 1.88425e+12 6.8566e+10
 1.8e+07 2.03207e+12 7.30825e+10
 1.9e+07 2.18059e+12 7.76019e+10
 2e+07 2.32972e+12 8.21221e+10
 2e+07 2.33233e+12 8.19359e+10
 4e+07 5.38437e+12 1.7144e+11
 6e+07 8.45258e+12 2.59383e+11
 8e+07 1.1523e+13 3.50314e+11
 1e+08 1.45817e+13 4.46049e+11
 1.2e+08 1.76036e+13 5.43469e+11
 1.4e+08 2.06663e+13 6.41357e+11
 1.6e+08 2.37021e+13 7.4215e+11
 1.8e+08 2.6721e+13 8.47354e+11
 2e+08 2.97049e+13 9.50428e+11
 2.2e+08 3.27099e+13 1.05681e+12
 2.4e+08 3.57336e+13 1.16639e+12
 2.6e+08 3.87776e+13 1.27524e+12
 2.8e+08 4.17966e+13 1.3847e+12
 3e+08 4.4826e+13 1.50055e+12
 3.2e+08 4.78454e+13 1.61771e+12
 3.4e+08 5.08969e+13 1.72755e+12
 3.6e+08 5.39667e+13 1.83539e+12
 3.8e+08 5.70896e+13 1.94352e+12
 4e+08 6.02348e+13 2.04948e+12
 4e+08 6.11493e+13 2.0508e+12
 8e+08 1.23902e+14 4.33609e+12
 1.2e+09 1.84665e+14 5.92102e+12
 1.6e+09 2.52684e+14 7.25056e+12
 2e+09 3.21067e+14 9.01861e+12
