Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 3.44905e-16
 100000 8.96456e-16
 150000 1.56654e-15
 200000 2.35589e-15
 250000 3.25872e-15
 300000 4.27587e-15
 350000 5.40652e-15
 400000 6.65104e-15
 450000 8.01022e-15
 500000 9.48467e-15
 550000 1.10729e-14
 600000 1.27739e-14
 650000 1.45851e-14
 700000 1.65067e-14
 750000 1.85418e-14
 800000 2.06937e-14
 850000 2.29601e-14
 900000 2.53422e-14
 950000 2.78406e-14
 1e+06 3.04486e-14
 1e+06 3.06035e-14
 2e+06 1.06545e-13
 3e+06 2.28225e-13
 4e+06 3.95176e-13
 5e+06 6.06942e-13
 6e+06 8.63629e-13
 7e+06 1.16568e-12
 8e+06 1.51285e-12
 9e+06 1.90567e-12
 1e+07 2.34356e-12
 1.1e+07 2.82649e-12
 1.2e+07 3.35421e-12
 1.3e+07 3.92736e-12
 1.4e+07 4.54493e-12
 1.5e+07 5.20673e-12
 1.6e+07 5.91294e-12
 1.7e+07 6.66342e-12
 1.8e+07 7.45783e-12
 1.9e+07 8.2976e-12
 2e+07 9.18108e-12
 2e+07 9.25112e-12
 4e+07 3.63502e-11
 6e+07 8.08383e-11
 8e+07 1.42099e-10
 1e+08 2.1971e-10
 1.2e+08 3.13173e-10
 1.4e+08 4.22309e-10
 1.6e+08 5.47194e-10
 1.8e+08 6.87219e-10
 2e+08 8.42359e-10
 2.2e+08 1.01248e-09
 2.4e+08 1.19769e-09
 2.6e+08 1.39774e-09
 2.8e+08 1.61075e-09
 3e+08 1.8364e-09
 3.2e+08 2.0753e-09
 3.4e+08 2.32804e-09
 3.6e+08 2.59551e-09
 3.8e+08 2.87876e-09
 4e+08 3.1776e-09
 4e+08 2.68149e-09
 8e+08 1.04104e-08
