Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 4.025e+07 2.20183e+06
 100000 1.60374e+08 8.69408e+06
 150000 3.5944e+08 1.93118e+07
 200000 6.36527e+08 3.38983e+07
 250000 9.90724e+08 5.23053e+07
 300000 1.42113e+09 7.43928e+07
 350000 1.92686e+09 1.00028e+08
 400000 2.50703e+09 1.29083e+08
 450000 3.16077e+09 1.61436e+08
 500000 3.88723e+09 1.96973e+08
 550000 4.68556e+09 2.35581e+08
 600000 5.55492e+09 2.77156e+08
 650000 6.49447e+09 3.21595e+08
 700000 7.5034e+09 3.68802e+08
 750000 8.5809e+09 4.18683e+08
 800000 9.72617e+09 4.71148e+08
 850000 1.09384e+10 5.2611e+08
 900000 1.22168e+10 5.83487e+08
 950000 1.35607e+10 6.43199e+08
 1e+06 1.49692e+10 7.05169e+08
 1e+06 1.49619e+10 7.04729e+08
 2e+06 5.56037e+10 2.32303e+09
 3e+06 1.16551e+11 4.43067e+09
 4e+06 1.93569e+11 6.82388e+09
 5e+06 2.83334e+11 9.3951e+09
 6e+06 3.83232e+11 1.20866e+10
 7e+06 4.91208e+11 1.48577e+10
 8e+06 6.05629e+11 1.76777e+10
 9e+06 7.25205e+11 2.05337e+10
 1e+07 8.48907e+11 2.34253e+10
 1.1e+07 9.75924e+11 2.63489e+10
 1.2e+07 1.10559e+12 2.92938e+10
 1.3e+07 1.23736e+12 3.22498e+10
 1.4e+07 1.37078e+12 3.52184e+10
 1.5e+07 1.50553e+12 3.81997e+10
 1.6e+07 1.64135e+12 4.11906e+10
 1.7e+07 1.77804e+12 4.41931e+10
 1.8e+07 1.91544e+12 4.72025e+10
 1.9e+07 2.05342e+12 5.02108e+10
 2e+07 2.19187e+12 5.32209e+10
 2e+07 2.18254e+12 5.22254e+10
 4e+07 4.99819e+12 1.12895e+11
 6e+07 7.84277e+12 1.7244e+11
 8e+07 1.0689e+13 2.30826e+11
 1e+08 1.35365e+13 2.90915e+11
 1.2e+08 1.63742e+13 3.53316e+11
 1.4e+08 1.92243e+13 4.162e+11
 1.6e+08 2.21115e+13 4.77237e+11
 1.8e+08 2.49923e+13 5.3573e+11
 2e+08 2.78654e+13 5.90167e+11
 2.2e+08 3.07655e+13 6.46633e+11
 2.4e+08 3.3669e+13 7.02584e+11
 2.6e+08 3.65743e+13 7.61873e+11
 2.8e+08 3.94644e+13 8.23408e+11
 3e+08 4.23484e+13 8.87122e+11
 3.2e+08 4.52566e+13 9.5413e+11
 3.4e+08 4.81739e+13 1.01658e+12
 3.6e+08 5.11037e+13 1.07788e+12
 3.8e+08 5.40456e+13 1.14331e+12
 4e+08 5.698e+13 1.20942e+12
 4e+08 5.79925e+13 1.27066e+12
 8e+08 1.17934e+14 3.07639e+12
 1.2e+09 1.81314e+14 5.07533e+12
 1.6e+09 2.39131e+14 6.90518e+12
 2e+09 2.89497e+14 6.77196e+12
