Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 2.21362e+06 -2.21362e+06 2.21362e+06
 100000 8.8219e+06 -8.8219e+06 8.8219e+06
 150000 1.97764e+07 -1.97764e+07 1.97764e+07
 200000 3.50294e+07 -3.50294e+07 3.50294e+07
 250000 5.45336e+07 -5.45336e+07 5.45336e+07
 300000 7.8242e+07 -7.8242e+07 7.8242e+07
 350000 1.06108e+08 -1.06108e+08 1.06108e+08
 400000 1.38087e+08 -1.38087e+08 1.38087e+08
 450000 1.74132e+08 -1.74132e+08 1.74132e+08
 500000 2.14199e+08 -2.14199e+08 2.14199e+08
 550000 2.58243e+08 -2.58243e+08 2.58243e+08
 600000 3.06221e+08 -3.06221e+08 3.06221e+08
 650000 3.5809e+08 -3.5809e+08 3.5809e+08
 700000 4.13806e+08 -4.13806e+08 4.13806e+08
 750000 4.73329e+08 -4.73329e+08 4.73329e+08
 800000 5.36615e+08 -5.36615e+08 5.36615e+08
 850000 6.03625e+08 -6.03625e+08 6.03625e+08
 900000 6.74316e+08 -6.74316e+08 6.74316e+08
 950000 7.48649e+08 -7.48649e+08 7.48649e+08
 1e+06 8.26585e+08 -8.26585e+08 8.26585e+08
 1e+06 8.26372e+08 -8.26372e+08 8.26372e+08
 2e+06 3.08413e+09 -3.08413e+09 3.08413e+09
 3e+06 6.49413e+09 -6.49413e+09 6.49413e+09
 4e+06 1.08398e+10 -1.08398e+10 1.08398e+10
 5e+06 1.59549e+10 -1.59549e+10 1.59549e+10
 6e+06 2.16996e+10 -2.16996e+10 2.16996e+10
 7e+06 2.79608e+10 -2.79608e+10 2.79608e+10
 8e+06 3.4655e+10 -3.4655e+10 3.4655e+10
 9e+06 4.17188e+10 -4.17188e+10 4.17188e+10
 1e+07 4.90998e+10 -4.90998e+10 4.90998e+10
 1.1e+07 5.67423e+10 -5.67423e+10 5.67423e+10
 1.2e+07 6.45918e+10 -6.45918e+10 6.45918e+10
 1.3e+07 7.2602e+10 -7.2602e+10 7.2602e+10
 1.4e+07 8.07394e+10 -8.07394e+10 8.07394e+10
 1.5e+07 8.89788e+10 -8.89788e+10 8.89788e+10
 1.6e+07 9.7296e+10 -9.7296e+10 9.7296e+10
 1.7e+07 1.05672e+11 -1.05672e+11 1.05672e+11
 1.8e+07 1.14093e+11 -1.14093e+11 1.14093e+11
 1.9e+07 1.22548e+11 -1.22548e+11 1.22548e+11
 2e+07 1.31036e+11 -1.31036e+11 1.31036e+11
 2e+07 1.24706e+11 -1.24706e+11 1.24706e+11
 4e+07 2.91041e+11 -2.91041e+11 2.91041e+11
 6e+07 4.52187e+11 -4.52187e+11 4.52187e+11
 8e+07 6.13057e+11 -6.13057e+11 6.13057e+11
 1e+08 7.78522e+11 -7.78522e+11 7.78522e+11
 1.2e+08 9.63507e+11 -9.63507e+11 9.63507e+11
 1.4e+08 1.12381e+12 -1.12381e+12 1.12381e+12
 1.6e+08 1.2771e+12 -1.2771e+12 1.2771e+12
 1.8e+08 1.41784e+12 -1.41784e+12 1.41784e+12
 2e+08 1.53636e+12 -1.53636e+12 1.53636e+12
 2.2e+08 1.64642e+12 -1.64642e+12 1.64642e+12
 2.4e+08 1.7354e+12 -1.7354e+12 1.7354e+12
 2.6e+08 1.84327e+12 -1.84327e+12 1.84327e+12
 2.8e+08 1.97457e+12 -1.97457e+12 1.97457e+12
 3e+08 2.12226e+12 -2.12226e+12 2.12226e+12
 3.2e+08 2.29559e+12 -2.29559e+12 2.29559e+12
 3.4e+08 2.45391e+12 -2.45391e+12 2.45391e+12
 3.6e+08 2.6061e+12 -2.6061e+12 2.6061e+12
 3.8e+08 2.77047e+12 -2.77047e+12 2.77047e+12
 4e+08 2.92651e+12 -2.92651e+12 2.92651e+12
 4e+08 3.79094e+12 -3.79094e+12 3.79094e+12
 8e+08 8.96422e+12 -8.96422e+12 8.96422e+12
 1.2e+09 1.60578e+13 -1.60578e+13 1.60578e+13
 1.6e+09 2.02612e+13 -2.02612e+13 2.02612e+13
 2e+09 1.04207e+13 -1.04207e+13 1.04207e+13
