# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 29941 0.541987 5024.72 1.00318 9.72379e-05
200000 29685.9 0.151689 4981.98 0.997665 9.75213e-05
300000 30174.8 -0.0417891 5064.04 1.00562 9.67445e-05
400000 30047.8 -0.121403 5042.75 1.00025 9.66262e-05
500000 29515.8 -0.0745754 4953.45 0.991519 9.75141e-05
600000 29477.6 0.195225 4947 1.01175 9.96344e-05
700000 29346.1 -0.203531 4925 0.988138 9.77472e-05
800000 29722.7 1.20552 4987.96 1.00407 9.80209e-05
900000 29938.2 1.50497 5024.08 0.998639 9.67967e-05
1000000 30025.8 -0.145076 5039.06 1.00015 9.66887e-05
1100000 29859.6 -0.10823 5011.17 1.00369 9.75468e-05
1200000 30025.3 1.94214 5038.63 1.01392 9.79932e-05
1300000 29533.1 0.171507 4956.32 0.996816 9.79725e-05
1400000 29831.3 -0.0452144 5006.41 1.01762 9.89933e-05
1500000 29919 -0.148893 5021.14 1.00641 9.76147e-05
1600000 29631.3 -0.171112 4972.86 0.990426 9.70023e-05
1700000 30176.8 -0.125696 5064.4 1.02574 9.86355e-05
1800000 30099.9 -0.125327 5051.49 1.0019 9.66112e-05
1900000 29730.4 1.75308 4989.16 0.99519 9.7137e-05
2000000 29773.4 -0.0869295 4996.69 0.984527 9.59684e-05
2100000 29834.2 1.27216 5006.66 1.00653 9.79201e-05
2200000 29691.4 0.0818405 4982.9 0.99539 9.7294e-05
2300000 29814.6 -0.0866409 5003.61 1.00183 9.75318e-05
2400000 29586.6 -0.0323081 4965.34 0.990938 9.72069e-05
2500000 29836.5 -0.126368 5007.29 1.00941 9.81915e-05
2600000 29809.7 -0.214151 5002.8 0.996536 9.703e-05
2700000 29453.3 -0.133432 4942.98 0.998699 9.84136e-05
2800000 30049.8 0.845662 5042.92 1.00411 9.69632e-05
2900000 29622.7 -0.0389382 4971.4 0.992786 9.72824e-05
3000000 29612 -0.109634 4969.62 1.00604 9.86085e-05
3100000 29734.4 -0.139682 4990.15 1.00036 9.76375e-05
3200000 29785.2 -0.0791402 4998.68 1.00226 9.76688e-05
3300000 29728.2 -0.128973 4989.11 0.991229 9.67841e-05
3400000 30235.4 -0.0974916 5074.22 1.03816 9.96606e-05
3500000 30548.2 -0.0439652 5126.72 1.02714 9.75807e-05
3600000 29977.9 0.674444 5030.89 1.01266 9.80209e-05
3700000 29650.9 -0.111908 4976.14 0.995687 9.74598e-05
3800000 29713.4 -0.0442808 4986.62 0.997658 9.74553e-05
3900000 29665.6 0.0696587 4978.57 0.988437 9.66846e-05
4000000 29742.6 -0.101888 4991.52 0.996409 9.72083e-05
4100000 30232.7 -0.150273 5073.79 1.02744 9.86267e-05
4200000 29368.2 5.89568 4927.69 0.978173 9.65758e-05
4300000 29788.7 -0.0735939 4999.26 1.00816 9.82384e-05
4400000 29959.6 2.0159 5027.59 0.996059 9.64657e-05
4500000 29501.3 0.0661364 4951 0.982735 9.66802e-05
4600000 30096.2 0.551666 5050.76 1.00606 9.7012e-05
4700000 29857.8 -0.0328125 5010.85 0.999798 9.7178e-05
4800000 29556.5 0.166383 4960.24 0.984904 9.67042e-05
4900000 29633.9 -0.208388 4973.31 0.993316 9.72587e-05
5000000 29955.1 -0.0920245 5027.19 1.00035 9.69343e-05
5100000 29820 -0.13063 5004.51 0.999854 9.73211e-05
5200000 30433.5 -0.12264 5107.48 1.02845 9.80978e-05
5300000 29659 0.808753 4977.34 1.01655 9.94763e-05
5400000 29996 1.69361 5033.75 1.0047 9.71741e-05
5500000 29717.9 -0.133829 4987.38 1.00937 9.85621e-05
5600000 29870.5 -0.0899018 5012.99 1.00264 9.74002e-05
5700000 29915.5 1.09806 5020.35 1.00386 9.73823e-05
5800000 29813.6 0.432768 5003.35 1.00261 9.75845e-05
5900000 29713.2 -0.138343 4986.61 1.0058 9.82036e-05
6000000 30047 0.0114317 5042.59 1.00354 9.69099e-05
6100000 30010.9 -0.0768786 5036.56 1.01107 9.77715e-05
6200000 29788.9 0.0047627 4999.28 1.00363 9.77685e-05
6300000 30120.4 -0.164592 5054.94 1.02341 9.86237e-05
6400000 29706.8 0.0535558 4985.49 0.997495 9.74538e-05
6500000 29638.8 0.0128384 4974.08 1.00049 9.79623e-05
6600000 29745.2 0.0196131 4991.94 0.978786 9.54917e-05
6700000 29901.9 -0.134233 5018.27 1.01404 9.8417e-05
6800000 29987.9 -0.143141 5032.69 1.00924 9.76712e-05
6900000 29386.2 3.5496 4931.1 0.976747 9.64027e-05
7000000 29529.4 -0.00588376 4955.72 1.00315 9.85934e-05
7100000 29569.3 -0.0357517 4962.44 0.998628 9.8014e-05
7200000 29541.8 0.469438 4957.73 0.985639 9.6826e-05
7300000 29695.6 -0.0458538 4983.62 0.993729 9.71231e-05
7400000 29539.8 0.455813 4957.4 1.00048 9.82732e-05
7500000 29676.2 -0.0870978 4980.39 0.998455 9.76318e-05
7600000 30031.1 -0.0698639 5039.93 1.00252 9.69007e-05
7700000 29625.9 -0.0517898 4971.93 1.00124 9.80866e-05
7800000 29853.5 0.466701 5010.04 0.996937 9.69247e-05
7900000 30029.9 -0.0766971 5039.75 0.999442 9.65889e-05
8000000 30104.9 -0.23642 5052.35 1.00362 9.6769e-05
8100000 29986.2 -0.0148271 5032.39 0.995704 9.63395e-05
8200000 30093.2 -0.0917955 5050.36 1.01541 9.7942e-05
8300000 29951.8 -0.136749 5026.64 0.99612 9.65408e-05
8400000 30155.9 -0.126208 5060.88 1.01515 9.77054e-05
8500000 30001 -0.138686 5034.89 1.01007 9.77013e-05
8600000 29752.7 -0.235765 4993.25 0.992588 9.68346e-05
8700000 29834.6 -0.185269 5006.98 1.0044 9.77112e-05
8800000 29576.4 0.0330164 4963.61 0.989621 9.71023e-05
8900000 29770.8 -0.050626 4996.24 1.01717 9.91465e-05
9000000 30020.3 1.16859 5037.92 1.02793 9.93457e-05
9100000 29643 -0.0425533 4974.8 0.985007 9.64385e-05
9200000 29790.5 0.820582 4999.42 1.00018 9.74192e-05
9300000 29750.7 -0.145865 4992.89 0.987683 9.63463e-05
9400000 30334.3 -0.084241 5090.82 1.01277 9.68921e-05
9500000 29690.7 -0.0593621 4982.81 0.998696 9.76216e-05
9600000 29798.5 1.30127 5000.68 0.996957 9.70802e-05
9700000 30212.8 -0.127071 5070.44 0.999146 9.59666e-05
9800000 29981.3 1.92975 5031.25 1.00897 9.76454e-05
9900000 29059.4 -0.0623956 4876.86 0.988655 9.8732e-05
10000000 29588.5 -0.284142 4965.69 0.979823 9.60992e-05
