Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 9.6975e-16
 100000 2.53821e-15
 150000 4.33451e-15
 200000 6.29432e-15
 250000 8.39519e-15
 300000 1.06225e-14
 350000 1.2968e-14
 400000 1.54344e-14
 450000 1.80294e-14
 500000 2.07506e-14
 550000 2.35979e-14
 600000 2.65725e-14
 650000 2.96717e-14
 700000 3.29021e-14
 750000 3.62697e-14
 800000 3.97782e-14
 850000 4.34192e-14
 900000 4.71921e-14
 950000 5.10956e-14
 1e+06 5.51279e-14
 1e+06 5.56771e-14
 2e+06 1.63396e-13
 3e+06 3.21873e-13
 4e+06 5.32568e-13
 5e+06 7.95431e-13
 6e+06 1.10948e-12
 7e+06 1.47464e-12
 8e+06 1.8899e-12
 9e+06 2.35579e-12
 1e+07 2.87025e-12
 1.1e+07 3.43435e-12
 1.2e+07 4.04909e-12
 1.3e+07 4.71565e-12
 1.4e+07 5.43314e-12
 1.5e+07 6.20024e-12
 1.6e+07 7.01687e-12
 1.7e+07 7.88315e-12
 1.8e+07 8.80155e-12
 1.9e+07 9.76891e-12
 2e+07 1.07875e-11
 2e+07 1.0914e-11
 4e+07 4.1963e-11
 6e+07 9.2593e-11
 8e+07 1.62164e-10
 1e+08 2.50222e-10
 1.2e+08 3.55922e-10
 1.4e+08 4.79512e-10
 1.6e+08 6.2148e-10
 1.8e+08 7.81209e-10
 2e+08 9.58419e-10
 2.2e+08 1.15334e-09
 2.4e+08 1.36652e-09
 2.6e+08 1.59763e-09
 2.8e+08 1.84552e-09
 3e+08 2.10914e-09
 3.2e+08 2.38815e-09
 3.4e+08 2.68172e-09
 3.6e+08 2.9913e-09
 3.8e+08 3.31711e-09
 4e+08 3.65875e-09
 4e+08 3.9093e-09
 8e+08 1.43303e-08
 1.2e+09 3.03501e-08
 1.6e+09 5.35977e-08
 2e+09 8.41395e-08
