Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 9.06284e+06 -9.06284e+06 9.06284e+06
 100000 3.61274e+07 -3.61274e+07 3.61274e+07
 150000 8.10102e+07 -8.10102e+07 8.10102e+07
 200000 1.4353e+08 -1.4353e+08 1.4353e+08
 250000 2.23504e+08 -2.23504e+08 2.23504e+08
 300000 3.20755e+08 -3.20755e+08 3.20755e+08
 350000 4.35106e+08 -4.35106e+08 4.35106e+08
 400000 5.66382e+08 -5.66382e+08 5.66382e+08
 450000 7.1441e+08 -7.1441e+08 7.1441e+08
 500000 8.79017e+08 -8.79017e+08 8.79017e+08
 550000 1.06004e+09 -1.06004e+09 1.06004e+09
 600000 1.2573e+09 -1.2573e+09 1.2573e+09
 650000 1.47065e+09 -1.47065e+09 1.47065e+09
 700000 1.69992e+09 -1.69992e+09 1.69992e+09
 750000 1.94494e+09 -1.94494e+09 1.94494e+09
 800000 2.20556e+09 -2.20556e+09 2.20556e+09
 850000 2.48162e+09 -2.48162e+09 2.48162e+09
 900000 2.77294e+09 -2.77294e+09 2.77294e+09
 950000 3.07938e+09 -3.07938e+09 3.07938e+09
 1e+06 3.40078e+09 -3.40078e+09 3.40078e+09
 1e+06 3.4045e+09 -3.4045e+09 3.4045e+09
 2e+06 1.27369e+10 -1.27369e+10 1.27369e+10
 3e+06 2.68634e+10 -2.68634e+10 2.68634e+10
 4e+06 4.47923e+10 -4.47923e+10 4.47923e+10
 5e+06 6.57342e+10 -6.57342e+10 6.57342e+10
 6e+06 8.90668e+10 -8.90668e+10 8.90668e+10
 7e+06 1.14278e+11 -1.14278e+11 1.14278e+11
 8e+06 1.40995e+11 -1.40995e+11 1.40995e+11
 9e+06 1.68914e+11 -1.68914e+11 1.68914e+11
 1e+07 1.97819e+11 -1.97819e+11 1.97819e+11
 1.1e+07 2.27472e+11 -2.27472e+11 2.27472e+11
 1.2e+07 2.5771e+11 -2.5771e+11 2.5771e+11
 1.3e+07 2.88374e+11 -2.88374e+11 2.88374e+11
 1.4e+07 3.19366e+11 -3.19366e+11 3.19366e+11
 1.5e+07 3.50681e+11 -3.50681e+11 3.50681e+11
 1.6e+07 3.82394e+11 -3.82394e+11 3.82394e+11
 1.7e+07 4.14573e+11 -4.14573e+11 4.14573e+11
 1.8e+07 4.47199e+11 -4.47199e+11 4.47199e+11
 1.9e+07 4.8024e+11 -4.8024e+11 4.8024e+11
 2e+07 5.13694e+11 -5.13694e+11 5.13694e+11
 2e+07 5.07607e+11 -5.07607e+11 5.07607e+11
 4e+07 1.17399e+12 -1.17399e+12 1.17399e+12
 6e+07 1.734e+12 -1.734e+12 1.734e+12
 8e+07 2.32753e+12 -2.32753e+12 2.32753e+12
 1e+08 3.12779e+12 -3.12779e+12 3.12779e+12
 1.2e+08 3.86577e+12 -3.86577e+12 3.86577e+12
 1.4e+08 4.56916e+12 -4.56916e+12 4.56916e+12
 1.6e+08 5.43117e+12 -5.43117e+12 5.43117e+12
 1.8e+08 6.32118e+12 -6.32118e+12 6.32118e+12
 2e+08 7.13418e+12 -7.13418e+12 7.13418e+12
 2.2e+08 7.97938e+12 -7.97938e+12 7.97938e+12
 2.4e+08 9.01679e+12 -9.01679e+12 9.01679e+12
 2.6e+08 1.00738e+13 -1.00738e+13 1.00738e+13
 2.8e+08 1.10501e+13 -1.10501e+13 1.10501e+13
 3e+08 1.22749e+13 -1.22749e+13 1.22749e+13
 3.2e+08 1.34899e+13 -1.34899e+13 1.34899e+13
 3.4e+08 1.46216e+13 -1.46216e+13 1.46216e+13
 3.6e+08 1.5473e+13 -1.5473e+13 1.5473e+13
 3.8e+08 1.6719e+13 -1.6719e+13 1.6719e+13
 4e+08 1.80048e+13 -1.80048e+13 1.80048e+13
 4e+08 2.2407e+13 -2.2407e+13 2.2407e+13
 8e+08 2.07611e+13 -2.07611e+13 2.07611e+13
