# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 6071.9 305.02 12984.4 0.99638
200000 6071.93 312.8 12966.9 0.996112
300000 6071.9 315.216 12961.4 0.995793
400000 6071.9 304.29 12986 0.99647
500000 6071.9 301.296 12992.7 0.996637
600000 6071.9 302.273 12990.5 0.996434
700000 6071.9 298.738 12998.5 0.996804
800000 6071.93 310.377 12972.4 0.996136
900000 6071.91 303.911 12986.9 0.996499
1000000 6071.9 295.845 13005 0.996889
1100000 6071.91 303.28 12988.3 0.996579
1200000 6071.92 309.837 12973.6 0.996245
1300000 6071.91 301.324 12992.7 0.996641
1400000 6071.93 306.682 12980.7 0.996392
1500000 6071.9 308.147 12977.3 0.996075
1600000 6071.93 301.028 12993.4 0.996884
1700000 6071.93 305.79 12982.7 0.996444
1800000 6071.92 303.272 12988.3 0.996581
1900000 6071.91 311.602 12969.6 0.995903
2000000 6071.92 304.706 12985.1 0.996538
2100000 6071.92 311.658 12969.5 0.996021
2200000 6071.91 309.195 12975 0.996019
2300000 6071.94 317.611 12956.1 0.9958
2400000 6071.92 302.874 12989.2 0.996507
2500000 6071.91 300.542 12994.5 0.996668
2600000 6071.89 304.263 12986 0.996237
2700000 6071.92 306.116 12981.9 0.996533
2800000 6071.91 299.112 12997.7 0.99677
2900000 6071.92 304.51 12985.6 0.996528
3000000 6071.9 303.708 12987.3 0.996394
3100000 6071.9 302.891 12989.1 0.996539
3200000 6071.92 309.148 12975.1 0.996305
3300000 6071.91 314.392 12963.3 0.995814
3400000 6071.9 302.723 12989.5 0.996509
3500000 6071.93 319.932 12950.8 0.995483
3600000 6071.91 310.425 12972.2 0.996055
3700000 6071.93 310.324 12972.5 0.996183
3800000 6071.9 302.227 12990.7 0.996485
3900000 6071.88 301.787 12991.6 0.996531
4000000 6071.91 295.8 13005.1 0.997021
4100000 6071.9 316.514 12958.5 0.995705
4200000 6071.92 305.168 12984.1 0.996465
4300000 6071.91 305.349 12983.6 0.996547
4400000 6071.92 301.081 12993.3 0.996601
4500000 6071.9 299.589 12996.6 0.996776
4600000 6071.91 303.895 12986.9 0.996576
4700000 6071.92 312.402 12967.8 0.99598
4800000 6071.91 301.46 12992.4 0.99671
4900000 6071.9 294.752 13007.5 0.996976
5000000 6071.92 301.318 12992.7 0.996607
5100000 6071.92 305.766 12982.7 0.99647
5200000 6071.9 303.512 12987.8 0.996659
5300000 6071.9 301.195 12993 0.996586
5400000 6071.92 296.996 13002.5 0.99699
5500000 6071.91 309.186 12975 0.996317
5600000 6071.9 300.577 12994.4 0.996703
5700000 6071.89 302.827 12989.3 0.996406
5800000 6071.9 310.814 12971.3 0.995923
5900000 6071.91 304.96 12984.5 0.996361
6000000 6071.92 305.788 12982.7 0.996497
6100000 6071.89 298.785 12998.4 0.996648
6200000 6071.9 305.758 12982.7 0.996277
6300000 6071.91 310.36 12972.4 0.995996
6400000 6071.9 303.85 12987 0.996404
6500000 6071.88 304.784 12984.9 0.996284
6600000 6071.92 310.728 12971.6 0.996209
6700000 6071.91 305.957 12982.3 0.996435
6800000 6071.9 297.421 13001.5 0.996826
6900000 6071.9 304.134 12986.4 0.996394
7000000 6071.92 308.807 12975.9 0.99636
7100000 6071.91 303.903 12986.9 0.996395
7200000 6071.91 313.942 12964.3 0.995761
7300000 6071.92 305.892 12982.4 0.996449
7400000 6071.94 311.369 12970.1 0.99626
7500000 6071.9 306.533 12981 0.99636
7600000 6071.88 301.094 12993.2 0.997002
7700000 6071.91 318.597 12953.8 0.995555
7800000 6071.92 299.3 12997.3 0.9968
7900000 6071.9 303.95 12986.8 0.996367
8000000 6071.91 301.689 12991.9 0.996645
8100000 6071.92 313.8 12964.6 0.996023
8200000 6071.9 309.98 12973.2 0.996098
8300000 6071.91 305.625 12983 0.996477
8400000 6071.94 299.319 12997.3 0.996904
8500000 6071.9 305.212 12983.9 0.996359
8600000 6071.9 302.363 12990.3 0.996559
8700000 6071.92 303.541 12987.7 0.996688
8800000 6071.89 306.218 12981.6 0.996227
8900000 6071.91 318.974 12953 0.995538
9000000 6071.9 306.581 12980.8 0.996379
9100000 6071.92 315.511 12960.8 0.995785
9200000 6071.93 308.879 12975.7 0.996297
9300000 6071.93 313.209 12966 0.996088
9400000 6071.9 302.643 12989.7 0.996554
9500000 6071.91 318.41 12954.2 0.995518
9600000 6071.9 300.035 12995.6 0.996733
9700000 6071.93 311.511 12969.8 0.996184
9800000 6071.93 319.461 12951.9 0.995625
9900000 6071.89 304.484 12985.5 0.996314
10000000 6071.91 310.485 12972.1 0.99618
10100000 6071.9 299.301 12997.2 0.996755
10200000 6071.91 321.507 12947.2 0.995366
10300000 6071.92 313.933 12964.3 0.995899
10400000 6071.92 305.626 12983 0.996563
10500000 6071.92 303.975 12986.7 0.996534
10600000 6071.92 300.816 12993.9 0.996756
10700000 6071.93 310.541 12972 0.996261
10800000 6071.91 308.944 12975.5 0.996095
10900000 6071.91 307.485 12978.8 0.996231
11000000 6071.9 305.229 12983.9 0.996344
11100000 6071.91 307.907 12977.9 0.996376
11200000 6071.93 306.853 12980.3 0.99643
11300000 6071.9 305.644 12983 0.996377
11400000 6071.9 306.447 12981.1 0.996256
11500000 6071.93 303.068 12988.8 0.996611
11600000 6071.9 314.475 12963.1 0.995691
11700000 6071.94 304.614 12985.4 0.99654
11800000 6071.92 306.369 12981.4 0.996495
11900000 6071.91 305.394 12983.5 0.996451
12000000 6071.89 303.191 12988.4 0.996408
12100000 6071.91 302.771 12989.4 0.996436
12200000 6071.89 305.432 12983.4 0.996242
12300000 6071.92 314.551 12962.9 0.99593
12400000 6071.9 302.662 12989.7 0.996501
12500000 6071.91 302.284 12990.5 0.996712
12600000 6071.91 299.57 12996.6 0.996663
12700000 6071.92 313.051 12966.3 0.996036
12800000 6071.9 302.433 12990.2 0.996604
12900000 6071.9 296.505 13003.5 0.996873
13000000 6071.89 296.109 13004.4 0.99689
13100000 6071.92 305.746 12982.8 0.996487
13200000 6071.91 301.032 12993.4 0.996687
13300000 6071.9 294.465 13008.1 0.997057
13400000 6071.91 300.552 12994.4 0.996683
13500000 6071.9 301.914 12991.3 0.996648
13600000 6071.91 303.862 12987 0.996586
13700000 6071.92 303.045 12988.9 0.996711
13800000 6071.92 306.89 12980.2 0.996311
13900000 6071.9 294.522 13008 0.997038
14000000 6071.91 303.612 12987.5 0.996556
14100000 6071.91 299.721 12996.3 0.996684
14200000 6071.9 302.782 12989.4 0.9966
14300000 6071.91 297.271 13001.8 0.996866
14400000 6071.89 304.84 12984.7 0.996405
14500000 6071.91 306.2 12981.7 0.996362
14600000 6071.91 299.2 12997.5 0.996673
14700000 6071.88 304.067 12986.4 0.99632
14800000 6071.89 296.46 13003.6 0.996773
14900000 6071.91 302.242 12990.6 0.996592
15000000 6071.9 313.991 12964.2 0.995556
15100000 6071.91 301.773 12991.7 0.996604
15200000 6071.91 305.624 12983 0.996479
15300000 6071.91 305.964 12982.3 0.996325
15400000 6071.89 305.11 12984.1 0.996326
15500000 6071.91 313.499 12965.3 0.995849
15600000 6071.93 314.06 12964.1 0.99598
15700000 6071.91 308.394 12976.8 0.996318
15800000 6071.91 299.615 12996.5 0.996682
15900000 6071.91 307.38 12979.1 0.996283
16000000 6071.95 316.322 12959 0.996099
16100000 6071.92 307.347 12979.2 0.99635
16200000 6071.91 303.675 12987.4 0.996341
16300000 6071.91 305.827 12982.6 0.996344
16400000 6071.91 309.539 12974.2 0.996078
16500000 6071.91 306.457 12981.1 0.996408
16600000 6071.91 321.586 12947.1 0.995356
16700000 6071.9 292.335 13012.9 0.997149
16800000 6071.9 299.224 12997.4 0.996765
16900000 6071.91 309.041 12975.3 0.996144
