Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 1.54432e+08
 100000 6.11491e+08
 150000 1.36204e+09
 200000 2.39721e+09
 250000 3.70843e+09
 300000 5.28735e+09
 350000 7.1259e+09
 400000 9.21625e+09
 450000 1.15508e+10
 500000 1.41222e+10
 550000 1.69233e+10
 600000 1.99472e+10
 650000 2.31872e+10
 700000 2.66367e+10
 750000 3.02895e+10
 800000 3.41395e+10
 850000 3.81806e+10
 900000 4.24071e+10
 950000 4.68136e+10
 1e+06 5.13945e+10
 1e+06 5.13928e+10
 2e+06 1.726e+11
 3e+06 3.31727e+11
 4e+06 5.1147e+11
 5e+06 7.02437e+11
 6e+06 8.99517e+11
 7e+06 1.09993e+12
 8e+06 1.30214e+12
 9e+06 1.50531e+12
 1e+07 1.70903e+12
 1.1e+07 1.91306e+12
 1.2e+07 2.11728e+12
 1.3e+07 2.32162e+12
 1.4e+07 2.52605e+12
 1.5e+07 2.73056e+12
 1.6e+07 2.93515e+12
 1.7e+07 3.1398e+12
 1.8e+07 3.34454e+12
 1.9e+07 3.5494e+12
 2e+07 3.75437e+12
 2e+07 3.75638e+12
 4e+07 7.85303e+12
 6e+07 1.19577e+13
 8e+07 1.60759e+13
 1e+08 2.01961e+13
 1.2e+08 2.43325e+13
 1.4e+08 2.84834e+13
 1.6e+08 3.26275e+13
 1.8e+08 3.67768e+13
 2e+08 4.09273e+13
 2.2e+08 4.50866e+13
 2.4e+08 4.92512e+13
 2.6e+08 5.34172e+13
 2.8e+08 5.75771e+13
 3e+08 6.17611e+13
 3.2e+08 6.59278e+13
 3.4e+08 7.00777e+13
 3.6e+08 7.42251e+13
 3.8e+08 7.83822e+13
 4e+08 8.25372e+13
 4e+08 8.20476e+13
 8e+08 1.65492e+14
 1.2e+09 2.4902e+14
 1.6e+09 3.32062e+14
 2e+09 4.12993e+14
