# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 17807 -0.244718 2988.47 0.99605 0.000162339
200000 17879.7 -0.16759 3000.67 1.00463 0.000163079
300000 17678 -0.157004 2966.81 0.98738 0.000162115
400000 18195.9 -0.225176 3053.74 1.01833 0.000162339
500000 17862.6 0.195673 2997.74 0.97543 0.000158446
600000 17967.7 -0.110172 3015.43 1.00766 0.000162715
700000 17807.6 -0.218584 2988.57 0.981412 0.000159918
800000 17734.3 -0.116077 2976.25 0.989682 0.000161998
900000 17905.7 0.174791 3004.97 0.984499 0.000159559
1000000 17760.9 0.527869 2980.61 0.991247 0.000161963
1100000 17670.3 -0.00919578 2965.49 1.00666 0.000165325
1200000 17835.1 0.0563894 2993.13 0.992522 0.000161601
1300000 17782.8 -0.0588537 2984.38 0.983111 0.000160436
1400000 17937.1 -0.0810022 3010.29 0.997675 0.000161439
1500000 17821.9 0.857826 2990.79 0.997606 0.000162387
1600000 18098.7 -0.247142 3037.43 1.0125 0.000162382
1700000 17459.3 -0.171036 2930.12 0.980953 0.000163058
1800000 17782.7 -0.107719 2984.38 0.980828 0.000160076
1900000 17929 -0.0567549 3008.92 1.00223 0.000162215
2000000 17894.7 -0.243493 3003.19 1.00885 0.000163629
2100000 18057.4 1.26383 3030.25 1.01463 0.000162985
2200000 17903.3 -0.282039 3004.64 1.01141 0.000163986
2300000 17865.5 0.175987 2998.22 0.984597 0.000159915
2400000 17795.3 -0.097542 2986.48 0.981706 0.000160077
2500000 17843.1 -0.203198 2994.53 1.00396 0.000163321
2600000 17990.5 0.395908 3019.17 1.00927 0.000162791
2700000 17924.7 -0.13536 3008.21 1.01352 0.000164095
2800000 17783.4 -0.205672 2984.51 0.993892 0.000162204
2900000 17774.3 -0.193291 2982.97 0.998722 0.000163065
3000000 17754.2 0.446351 2979.49 0.994676 0.000162552
3100000 17805.1 -0.250177 2988.15 1.00593 0.000163951
3200000 17704.9 -0.0907384 2971.31 0.994056 0.000162992
3300000 17806.8 -0.131919 2988.42 0.985879 0.000160647
3400000 17776.2 0.466837 2983.19 0.983063 0.000160453
3500000 17727.9 0.138075 2975.13 0.978013 0.000160058
3600000 17746 -0.372821 2978.25 0.997609 0.000163166
3700000 17949 -0.0409643 3012.28 1.00199 0.000161999
3800000 17816.1 -0.0724908 2989.98 0.992676 0.000161722
3900000 17925 0.119593 3008.22 1.01222 0.000163863
4000000 17793.9 0.566858 2986.13 0.994938 0.000162236
