Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 2.58193e+08
 100000 1.02552e+09
 150000 2.29126e+09
 200000 4.04493e+09
 250000 6.27628e+09
 300000 8.97525e+09
 350000 1.2132e+10
 400000 1.5737e+10
 450000 1.97807e+10
 500000 2.42539e+10
 550000 2.91476e+10
 600000 3.4453e+10
 650000 4.01613e+10
 700000 4.62643e+10
 750000 5.27534e+10
 800000 5.96207e+10
 850000 6.68582e+10
 900000 7.44581e+10
 950000 8.24127e+10
 1e+06 9.07147e+10
 1e+06 9.07122e+10
 2e+06 3.19513e+11
 3e+06 6.38688e+11
 4e+06 1.01708e+12
 5e+06 1.43431e+12
 6e+06 1.87702e+12
 7e+06 2.33641e+12
 8e+06 2.80675e+12
 9e+06 3.2843e+12
 1e+07 3.76661e+12
 1.1e+07 4.25207e+12
 1.2e+07 4.73959e+12
 1.3e+07 5.22845e+12
 1.4e+07 5.71812e+12
 1.5e+07 6.20825e+12
 1.6e+07 6.69861e+12
 1.7e+07 7.18904e+12
 1.8e+07 7.67945e+12
 1.9e+07 8.16977e+12
 2e+07 8.66001e+12
 2e+07 8.68156e+12
 4e+07 1.84943e+13
 6e+07 2.83226e+13
 8e+07 3.81459e+13
 1e+08 4.79652e+13
 1.2e+08 5.78062e+13
 1.4e+08 6.76479e+13
 1.6e+08 7.74788e+13
 1.8e+08 8.73288e+13
 2e+08 9.718e+13
 2.2e+08 1.0703e+14
 2.4e+08 1.16872e+14
 2.6e+08 1.26711e+14
 2.8e+08 1.36546e+14
 3e+08 1.46321e+14
 3.2e+08 1.56069e+14
 3.4e+08 1.65819e+14
 3.6e+08 1.75584e+14
 3.8e+08 1.85377e+14
 4e+08 1.95232e+14
 4e+08 1.93856e+14
 8e+08 3.89583e+14
 1.2e+09 5.82132e+14
 1.6e+09 7.77857e+14
 2e+09 9.5805e+14
