Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 5.53987e-16
 100000 1.38858e-15
 150000 2.28571e-15
 200000 3.23261e-15
 250000 4.22151e-15
 300000 5.24687e-15
 350000 6.32384e-15
 400000 7.4418e-15
 450000 8.59922e-15
 500000 9.79476e-15
 550000 1.10228e-14
 600000 1.22876e-14
 650000 1.35972e-14
 700000 1.49502e-14
 750000 1.63478e-14
 800000 1.77872e-14
 850000 1.92595e-14
 900000 2.07694e-14
 950000 2.23165e-14
 1e+06 2.39051e-14
 1e+06 2.41577e-14
 2e+06 6.40113e-14
 3e+06 1.19754e-13
 4e+06 1.90895e-13
 5e+06 2.76682e-13
 6e+06 3.77083e-13
 7e+06 4.9347e-13
 8e+06 6.24201e-13
 9e+06 7.69463e-13
 1e+07 9.30474e-13
 1.1e+07 1.1064e-12
 1.2e+07 1.29834e-12
 1.3e+07 1.50521e-12
 1.4e+07 1.7267e-12
 1.5e+07 1.96337e-12
 1.6e+07 2.21474e-12
 1.7e+07 2.48102e-12
 1.8e+07 2.76237e-12
 1.9e+07 3.05765e-12
 2e+07 3.36757e-12
 2e+07 3.40098e-12
 4e+07 1.26714e-11
 6e+07 2.76155e-11
 8e+07 4.79341e-11
 1e+08 7.33649e-11
 1.2e+08 1.0319e-10
 1.4e+08 1.37535e-10
 1.6e+08 1.76036e-10
 1.8e+08 2.18729e-10
 2e+08 2.65373e-10
 2.2e+08 3.15866e-10
 2.4e+08 3.6977e-10
 2.6e+08 4.25846e-10
 2.8e+08 4.83475e-10
 3e+08 5.41687e-10
 3.2e+08 5.9948e-10
 3.4e+08 6.57879e-10
 3.6e+08 7.14912e-10
 3.8e+08 7.70313e-10
 4e+08 8.26524e-10
 4e+08 6.80583e-10
 8e+08 1.47811e-09
