# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 3022.82 -1.90564 507.62 1.01385
200000 2989.53 -1.85625 502.025 1.00308
300000 2978.96 -2.06603 500.286 0.999035
400000 2986.02 -1.49339 501.375 1.00253
500000 2970.24 -1.66787 498.757 0.996805
600000 2979.73 -1.75537 500.363 1.00034
700000 2979.85 -1.62189 500.362 1.00211
800000 3006.84 -2.09925 504.971 1.00916
900000 2956.19 -1.56111 496.38 0.993171
1000000 2944.53 -2.04758 494.505 0.988348
1100000 2987.45 -1.9757 501.696 1.00298
1200000 2940.37 -2.54053 493.89 0.986287
1300000 2991.05 -2.39081 502.37 1.00432
1400000 3005.22 -1.65581 504.625 1.00949
1500000 2938.49 -1.74651 493.441 0.985374
1600000 2965.57 -2.09577 498.044 0.996039
1700000 2987.63 -2.0793 501.744 1.00354
1800000 2964.23 -2.09898 497.82 0.993745
1900000 2961.13 -1.90759 497.267 0.994139
2000000 2999.74 -1.39928 503.662 1.00732
2100000 2966.25 -1.61528 498.078 0.995693
2200000 3001.34 -2.13802 504.055 1.00688
2300000 2988.54 -1.26208 501.76 1.00263
2400000 2976.48 -1.98328 499.857 0.998718
2500000 2958.01 -1.11436 496.61 0.99492
2600000 3022.82 -1.30297 507.52 1.01553
2700000 2977.71 -1.5533 499.99 0.999574
2800000 2995.12 -2.07978 503 1.00476
2900000 3009.91 -2.29237 505.519 1.01026
3000000 2995.22 -1.90465 502.989 1.00558
3100000 2979.24 -1.60882 500.257 1.00227
3200000 2972.36 -1.89678 499.151 0.996975
3300000 2997.75 -2.40517 503.497 1.00479
3400000 2932.11 -1.80285 492.379 0.984127
3500000 2979.42 -1.62315 500.29 1.00034
3600000 2971.94 -1.70831 499.049 0.996927
3700000 2995.69 -1.50791 503.001 1.00582
3800000 2975.2 -2.01388 499.647 0.997493
3900000 3001.35 -1.61499 503.969 1.00723
4000000 2995.74 -2.09968 503.108 1.00677
4100000 2966.18 -1.19111 497.994 0.996852
4200000 2991.03 -1.75241 502.26 1.00357
4300000 2963.28 -1.86944 497.622 0.994834
4400000 2995.14 -2.13306 503.013 1.00443
4500000 3013.56 -1.81073 506.05 1.01135
4600000 2961.53 -1.51204 497.268 0.995205
4700000 2978.52 -2.27294 500.246 0.999432
4800000 2990.85 -1.6068 502.205 1.00452
4900000 2968.78 -2.03269 498.572 0.995668
5000000 2984.99 -1.78192 501.25 1.00176
5100000 2914.55 -0.88002 489.278 0.978816
5200000 2921.63 -2.07183 490.665 0.980918
5300000 2991.34 -1.87235 502.332 1.00323
5400000 2949.93 -1.75085 495.362 0.989944
5500000 2952.75 -1.65628 495.818 0.990437
5600000 2997.43 -2.01945 503.378 1.00557
5700000 2992.53 -1.92216 502.539 1.00452
5800000 2945.54 -2.15679 494.692 0.988268
5900000 2990.75 -1.38017 502.15 1.00399
6000000 2961.03 -1.96423 497.261 0.993571
6100000 2994.95 -2.23274 502.998 1.00451
6200000 2967.39 -2.4464 498.408 0.995356
6300000 2991.06 -2.09145 502.321 1.00361
6400000 2981.4 -1.80363 500.652 1.00022
6500000 2977.76 -1.9095 500.058 0.999711
6600000 2976.03 -2.29016 499.831 0.998573
6700000 3002.45 -1.42059 504.121 1.00858
6800000 3002.64 -1.82015 504.219 1.00736
6900000 2939.11 -1.88642 493.568 0.985861
7000000 2979.73 -1.82525 500.376 0.999429
7100000 2951.06 -1.22155 495.463 0.992063
7200000 3001.16 -2.49483 504.085 1.00675
7300000 2988.5 -1.8944 501.859 1.00252
7400000 2967.34 -1.74172 498.283 0.996884
7500000 2987.51 -1.86209 501.687 1.00218
7600000 2969.09 -1.96937 498.614 0.995956
7700000 3022.04 -1.45907 507.414 1.01503
7800000 2991.66 -1.61834 502.343 1.00401
7900000 3000.79 -1.50462 503.856 1.00689
8000000 3001.75 -2.00266 504.101 1.00796
8100000 2962.23 -1.91768 497.454 0.994291
8200000 2965.78 -1.9239 498.05 0.99494
8300000 2995.06 -1.28807 502.858 1.007
8400000 2992.41 -0.869177 502.343 1.0066
8500000 2998.01 -2.33899 503.529 1.00601
8600000 2972.62 -2.85042 499.354 0.997617
8700000 2989.36 -1.59729 501.953 1.00243
8800000 2998.54 -1.6297 503.499 1.00572
8900000 2988.13 -0.86747 501.624 1.00521
9000000 2992.15 -2.3218 502.543 1.00366
9100000 2986.27 -1.78022 501.465 1.0016
9200000 2997.99 -1.88672 503.449 1.00671
9300000 2962.26 -1.65247 497.414 0.993886
9400000 2982.33 -1.49272 500.756 1.00169
9500000 3024.45 -1.00716 507.744 1.01603
9600000 2985.08 -1.49709 501.218 1.00343
9700000 2999.21 -2.13131 503.695 1.00627
9800000 3028.34 -1.80658 508.53 1.01573
9900000 2969.08 -1.60299 498.55 0.99644
10000000 2983.26 -1.52765 500.917 1.00179
