Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 2.05889e-16
 100000 6.34229e-16
 150000 1.25183e-15
 200000 2.05718e-15
 250000 3.0506e-15
 300000 4.23147e-15
 350000 5.60035e-15
 400000 7.15685e-15
 450000 8.90155e-15
 500000 1.08343e-14
 550000 1.2957e-14
 600000 1.52683e-14
 650000 1.77683e-14
 700000 2.04562e-14
 750000 2.33317e-14
 800000 2.63948e-14
 850000 2.96477e-14
 900000 3.30888e-14
 950000 3.67167e-14
 1e+06 4.05334e-14
 1e+06 4.05042e-14
 2e+06 1.56374e-13
 3e+06 3.47399e-13
 4e+06 6.13547e-13
 5e+06 9.55019e-13
 6e+06 1.37165e-12
 7e+06 1.86324e-12
 8e+06 2.42974e-12
 9e+06 3.0714e-12
 1e+07 3.78806e-12
 1.1e+07 4.57939e-12
 1.2e+07 5.44564e-12
 1.3e+07 6.38657e-12
 1.4e+07 7.40269e-12
 1.5e+07 8.49369e-12
 1.6e+07 9.65956e-12
 1.7e+07 1.09002e-11
 1.8e+07 1.22154e-11
 1.9e+07 1.36053e-11
 2e+07 1.50696e-11
 2e+07 1.51009e-11
 4e+07 6.0075e-11
 6e+07 1.3482e-10
 8e+07 2.38885e-10
 1e+08 3.71695e-10
 1.2e+08 5.32827e-10
 1.4e+08 7.21512e-10
 1.6e+08 9.3842e-10
 1.8e+08 1.18331e-09
 2e+08 1.45635e-09
 2.2e+08 1.75835e-09
 2.4e+08 2.09016e-09
 2.6e+08 2.44997e-09
 2.8e+08 2.83823e-09
 3e+08 3.2556e-09
 3.2e+08 3.70176e-09
 3.4e+08 4.17731e-09
 3.6e+08 4.68163e-09
 3.8e+08 5.21531e-09
 4e+08 5.7791e-09
 4e+08 4.8332e-09
 8e+08 1.83378e-08
