Ar
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 50000 5.12961e+12 4.92058e+12 5.12588e+12 5.00548e+12 4.9012e+12 5.11786e+12 5.00818e+12 5.02838e+12 3.96599e+08
 100000 2.02704e+13 1.9434e+13 2.02535e+13 1.97716e+13 1.93608e+13 2.02206e+13 1.97843e+13 1.9865e+13 2.50564e+11
 150000 4.50913e+13 4.32091e+13 4.50472e+13 4.39639e+13 4.30517e+13 4.49705e+13 4.39953e+13 4.41769e+13 2.51047e+11
 200000 7.92702e+13 7.59248e+13 7.91804e+13 7.72588e+13 7.56567e+13 7.90418e+13 7.73191e+13 7.76415e+13 2.51524e+11
 250000 1.22493e+14 1.17269e+14 1.22338e+14 1.19342e+14 1.1687e+14 1.22116e+14 1.19443e+14 1.19946e+14 2.51992e+11
 300000 1.74451e+14 1.66935e+14 1.74218e+14 1.69912e+14 1.66393e+14 1.73881e+14 1.70062e+14 1.70784e+14 2.52478e+11
 350000 2.34842e+14 2.24621e+14 2.34533e+14 2.28676e+14 2.23939e+14 2.34035e+14 2.28884e+14 2.29863e+14 2.52957e+11
 400000 3.03377e+14 2.9004e+14 3.03016e+14 2.95359e+14 2.89227e+14 3.02286e+14 2.95624e+14 2.96899e+14 2.53079e+11
 450000 3.79782e+14 3.6292e+14 3.79411e+14 3.69694e+14 3.61988e+14 3.78354e+14 3.70012e+14 3.71622e+14 2.53554e+11
 500000 4.63794e+14 4.43e+14 4.63472e+14 4.51428e+14 4.41965e+14 4.61963e+14 4.51785e+14 4.53773e+14 2.53986e+11
 550000 5.55158e+14 5.30025e+14 5.54955e+14 5.4031e+14 5.28912e+14 5.52843e+14 5.40688e+14 5.43098e+14 2.54456e+11
 600000 6.5363e+14 6.23754e+14 6.53621e+14 6.36097e+14 6.22589e+14 6.50731e+14 6.36472e+14 6.39351e+14 2.54932e+11
 650000 7.58972e+14 7.23955e+14 7.59235e+14 7.38559e+14 7.22766e+14 7.55369e+14 7.38898e+14 7.42294e+14 2.54061e+11
 700000 8.70952e+14 8.30404e+14 8.71563e+14 8.4747e+14 8.29218e+14 8.66511e+14 8.47733e+14 8.51696e+14 2.54445e+11
 750000 9.89347e+14 9.42884e+14 9.9038e+14 9.62619e+14 9.41731e+14 9.83917e+14 9.62756e+14 9.67335e+14 2.54897e+11
