Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 8.2104e-16
 100000 2.20197e-15
 150000 3.76264e-15
 200000 5.43524e-15
 250000 7.19365e-15
 300000 9.02954e-15
 350000 1.09347e-14
 400000 1.29125e-14
 450000 1.4962e-14
 500000 1.70828e-14
 550000 1.92752e-14
 600000 2.15359e-14
 650000 2.38713e-14
 700000 2.62847e-14
 750000 2.87797e-14
 800000 3.13493e-14
 850000 3.39953e-14
 900000 3.67111e-14
 950000 3.94999e-14
 1e+06 4.23597e-14
 1e+06 4.2334e-14
 2e+06 1.14202e-13
 3e+06 2.14876e-13
 4e+06 3.46116e-13
 5e+06 5.06087e-13
 6e+06 6.96052e-13
 7e+06 9.17177e-13
 8e+06 1.16867e-12
 9e+06 1.45191e-12
 1e+07 1.7646e-12
 1.1e+07 2.10664e-12
 1.2e+07 2.4773e-12
 1.3e+07 2.87885e-12
 1.4e+07 3.31091e-12
 1.5e+07 3.77135e-12
 1.6e+07 4.26101e-12
 1.7e+07 4.78093e-12
 1.8e+07 5.32963e-12
 1.9e+07 5.90859e-12
 2e+07 6.5186e-12
 2e+07 6.45417e-12
 4e+07 2.48281e-11
 6e+07 5.51805e-11
 8e+07 9.76022e-11
 1e+08 1.52207e-10
 1.2e+08 2.18793e-10
 1.4e+08 2.97476e-10
 1.6e+08 3.88308e-10
 1.8e+08 4.91457e-10
 2e+08 6.06442e-10
 2.2e+08 7.33611e-10
 2.4e+08 8.73225e-10
 2.6e+08 1.0251e-09
 2.8e+08 1.18935e-09
 3e+08 1.366e-09
 3.2e+08 1.55587e-09
 3.4e+08 1.75881e-09
 3.6e+08 1.97479e-09
 3.8e+08 2.20459e-09
 4e+08 2.44678e-09
 4e+08 2.16422e-09
 8e+08 8.59217e-09
 1.2e+09 1.8974e-08
 1.6e+09 3.0251e-08
 2e+09 3.45311e-08
