# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 7544 894.191 14972.3 0.992578
200000 7543.98 897.089 14965.7 0.992394
300000 7543.99 911.165 14934.1 0.992
400000 7543.97 903.478 14951.3 0.992309
500000 7543.97 896.734 14966.5 0.992203
600000 7543.94 885.121 14992.6 0.992758
700000 7543.95 899.24 14960.8 0.992102
800000 7543.97 904.86 14948.2 0.992158
900000 7543.98 885.03 14992.9 0.993075
1000000 7543.96 911.875 14932.4 0.992082
1100000 7543.96 889.379 14983 0.992617
1200000 7543.99 907.737 14941.8 0.991721
1300000 7544 891.966 14977.3 0.992578
1400000 7544 906.677 14944.2 0.992042
1500000 7544 884.297 14994.6 0.992992
1600000 7543.95 894.37 14971.8 0.992282
1700000 7543.95 895.238 14969.8 0.992444
1800000 7543.97 891.182 14979 0.99248
1900000 7543.97 898.902 14961.6 0.992381
2000000 7544 900.179 14958.8 0.99208
2100000 7543.97 902.431 14953.7 0.992145
2200000 7543.92 896.494 14966.9 0.992575
2300000 7543.97 908.721 14939.5 0.991695
2400000 7543.99 904.92 14948.1 0.992197
2500000 7543.97 898.685 14962.1 0.992237
2600000 7543.96 893.88 14972.9 0.992365
2700000 7543.98 888.606 14984.8 0.992625
2800000 7543.99 897.722 14964.3 0.99252
2900000 7543.99 908.868 14939.2 0.991923
3000000 7543.99 903.983 14950.2 0.99207
3100000 7543.99 916.988 14921 0.991869
3200000 7543.98 891.071 14979.3 0.992579
3300000 7543.98 892.741 14975.5 0.992482
3400000 7543.97 899.256 14960.8 0.992387
3500000 7543.96 917.672 14919.3 0.991717
3600000 7543.99 892.385 14976.3 0.992507
3700000 7543.98 895.047 14970.3 0.992129
3800000 7543.96 904.33 14949.4 0.992391
3900000 7543.98 913.13 14929.6 0.991317
4000000 7543.94 896.233 14967.6 0.992572
4100000 7543.94 901.845 14954.9 0.992081
4200000 7543.95 895.145 14970 0.992569
4300000 7543.98 899.153 14961.1 0.9923
4400000 7543.96 906.877 14943.6 0.991582
4500000 7543.96 885.466 14991.9 0.99266
4600000 7543.94 892.886 14975.1 0.992333
4700000 7543.99 905.451 14946.9 0.991712
4800000 7543.97 893.108 14974.7 0.992507
4900000 7543.98 911.016 14934.4 0.991843
5000000 7543.95 900.441 14958.1 0.992165
5100000 7543.99 897.084 14965.8 0.992546
5200000 7543.98 890.222 14981.2 0.992676
5300000 7543.97 900.4 14958.3 0.992237
5400000 7543.98 909.873 14937 0.992054
5500000 7543.98 906.602 14944.3 0.991897
5600000 7543.97 897.647 14964.5 0.992254
5700000 7543.98 900.687 14957.6 0.992224
5800000 7543.98 888.56 14984.9 0.993081
5900000 7544 890.83 14979.9 0.992762
6000000 7543.96 904.373 14949.3 0.991857
6100000 7543.95 902.019 14954.6 0.992086
6200000 7543.98 906.914 14943.6 0.991973
6300000 7543.97 907.319 14942.7 0.991752
6400000 7543.98 894.075 14972.5 0.992412
6500000 7544 904.536 14949 0.991852
6600000 7543.98 900.994 14956.9 0.992361
6700000 7543.95 898.605 14962.2 0.992222
6800000 7543.98 923.911 14905.3 0.991112
6900000 7543.99 892.313 14976.5 0.992703
7000000 7543.95 903.074 14952.2 0.992171
7100000 7543.97 914.846 14925.7 0.991559
7200000 7543.97 898.544 14962.4 0.992165
7300000 7543.96 909.303 14938.2 0.992171
7400000 7543.99 883.857 14995.6 0.993171
7500000 7543.96 887.555 14987.2 0.992754
7600000 7544 899.194 14961 0.992382
7700000 7543.95 913.916 14927.8 0.99237
7800000 7543.96 898.014 14963.6 0.992248
7900000 7544 882.702 14998.2 0.99272
8000000 7543.94 916.2 14922.6 0.991773
8100000 7543.96 898.711 14962 0.992558
8200000 7543.98 885.124 14992.7 0.992848
8300000 7543.95 889.514 14982.7 0.992541
8400000 7543.97 922.027 14909.6 0.991574
8500000 7543.92 919.271 14915.7 0.991743
8600000 7543.98 891.587 14978.1 0.992434
