Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 1.50728e+07 -1.50728e+07 1.50728e+07
 100000 6.01378e+07 -6.01378e+07 6.01378e+07
 150000 1.3497e+08 -1.3497e+08 1.3497e+08
 200000 2.39348e+08 -2.39348e+08 2.39348e+08
 250000 3.73051e+08 -3.73051e+08 3.73051e+08
 300000 5.3586e+08 -5.3586e+08 5.3586e+08
 350000 7.27556e+08 -7.27556e+08 7.27556e+08
 400000 9.47931e+08 -9.47931e+08 9.47931e+08
 450000 1.19677e+09 -1.19677e+09 1.19677e+09
 500000 1.47389e+09 -1.47389e+09 1.47389e+09
 550000 1.77907e+09 -1.77907e+09 1.77907e+09
 600000 2.11213e+09 -2.11213e+09 2.11213e+09
 650000 2.47288e+09 -2.47288e+09 2.47288e+09
 700000 2.86113e+09 -2.86113e+09 2.86113e+09
 750000 3.2767e+09 -3.2767e+09 3.2767e+09
 800000 3.7194e+09 -3.7194e+09 3.7194e+09
 850000 4.18905e+09 -4.18905e+09 4.18905e+09
 900000 4.68546e+09 -4.68546e+09 4.68546e+09
 950000 5.20845e+09 -5.20845e+09 5.20845e+09
 1e+06 5.75786e+09 -5.75786e+09 5.75786e+09
 1e+06 5.76846e+09 -5.76846e+09 5.76846e+09
 2e+06 2.20409e+10 -2.20409e+10 2.20409e+10
 3e+06 4.73982e+10 -4.73982e+10 4.73982e+10
 4e+06 8.04719e+10 -8.04719e+10 8.04719e+10
 5e+06 1.19956e+11 -1.19956e+11 1.19956e+11
 6e+06 1.64731e+11 -1.64731e+11 1.64731e+11
 7e+06 2.1381e+11 -2.1381e+11 2.1381e+11
 8e+06 2.66351e+11 -2.66351e+11 2.66351e+11
 9e+06 3.21587e+11 -3.21587e+11 3.21587e+11
 1e+07 3.79042e+11 -3.79042e+11 3.79042e+11
 1.1e+07 4.38193e+11 -4.38193e+11 4.38193e+11
 1.2e+07 4.98756e+11 -4.98756e+11 4.98756e+11
 1.3e+07 5.60601e+11 -5.60601e+11 5.60601e+11
 1.4e+07 6.23479e+11 -6.23479e+11 6.23479e+11
 1.5e+07 6.87243e+11 -6.87243e+11 6.87243e+11
 1.6e+07 7.51655e+11 -7.51655e+11 7.51655e+11
 1.7e+07 8.16241e+11 -8.16241e+11 8.16241e+11
 1.8e+07 8.80832e+11 -8.80832e+11 8.80832e+11
 1.9e+07 9.45471e+11 -9.45471e+11 9.45471e+11
 2e+07 1.01005e+12 -1.01005e+12 1.01005e+12
 2e+07 1.08206e+12 -1.08206e+12 1.08206e+12
 4e+07 2.42983e+12 -2.42983e+12 2.42983e+12
 6e+07 3.63957e+12 -3.63957e+12 3.63957e+12
 8e+07 4.32251e+12 -4.32251e+12 4.32251e+12
 1e+08 4.5823e+12 -4.5823e+12 4.5823e+12
 1.2e+08 4.6806e+12 -4.6806e+12 4.6806e+12
 1.4e+08 4.88542e+12 -4.88542e+12 4.88542e+12
 1.6e+08 5.40792e+12 -5.40792e+12 5.40792e+12
 1.8e+08 6.04435e+12 -6.04435e+12 6.04435e+12
 2e+08 6.49859e+12 -6.49859e+12 6.49859e+12
 2.2e+08 7.14366e+12 -7.14366e+12 7.14366e+12
 2.4e+08 8.06229e+12 -8.06229e+12 8.06229e+12
 2.6e+08 9.44096e+12 -9.44096e+12 9.44096e+12
 2.8e+08 1.02593e+13 -1.02593e+13 1.02593e+13
 3e+08 1.01835e+13 -1.01835e+13 1.01835e+13
 3.2e+08 9.20725e+12 -9.20725e+12 9.20725e+12
 3.4e+08 8.14876e+12 -8.14876e+12 8.14876e+12
 3.6e+08 7.41045e+12 -7.41045e+12 7.41045e+12
 3.8e+08 6.75024e+12 -6.75024e+12 6.75024e+12
 4e+08 4.85952e+12 -4.85952e+12 4.85952e+12
 4e+08 1.42007e+13 -1.42007e+13 1.42007e+13
