Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.18051e-15
 100000 3.03438e-15
 150000 5.1367e-15
 200000 7.40247e-15
 250000 9.79627e-15
 300000 1.23227e-14
 350000 1.49779e-14
 400000 1.77578e-14
 450000 2.06798e-14
 500000 2.3732e-14
 550000 2.69195e-14
 600000 3.02305e-14
 650000 3.36657e-14
 700000 3.72293e-14
 750000 4.09352e-14
 800000 4.47659e-14
 850000 4.87183e-14
 900000 5.2794e-14
 950000 5.6999e-14
 1e+06 6.13331e-14
 1e+06 6.20723e-14
 2e+06 1.76616e-13
 3e+06 3.43426e-13
 4e+06 5.62391e-13
 5e+06 8.33327e-13
 6e+06 1.15652e-12
 7e+06 1.53194e-12
 8e+06 1.95927e-12
 9e+06 2.43883e-12
 1e+07 2.97091e-12
 1.1e+07 3.55459e-12
 1.2e+07 4.18803e-12
 1.3e+07 4.87244e-12
 1.4e+07 5.60751e-12
 1.5e+07 6.39345e-12
 1.6e+07 7.2311e-12
 1.7e+07 8.11573e-12
 1.8e+07 9.05055e-12
 1.9e+07 1.00353e-11
 2e+07 1.10704e-11
 2e+07 1.11533e-11
 4e+07 4.24186e-11
 6e+07 9.35637e-11
 8e+07 1.64229e-10
 1e+08 2.53911e-10
 1.2e+08 3.6273e-10
 1.4e+08 4.89871e-10
 1.6e+08 6.35591e-10
 1.8e+08 7.98587e-10
 2e+08 9.79177e-10
 2.2e+08 1.17703e-09
 2.4e+08 1.39058e-09
 2.6e+08 1.61914e-09
 2.8e+08 1.86372e-09
 3e+08 2.12313e-09
 3.2e+08 2.39801e-09
 3.4e+08 2.68737e-09
 3.6e+08 2.99145e-09
 3.8e+08 3.31082e-09
 4e+08 3.64545e-09
 4e+08 4.05245e-09
 8e+08 1.44687e-08
 1.2e+09 3.04895e-08
 1.6e+09 5.261e-08
 2e+09 8.59432e-08
