Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 1.38053e+07 -1.38053e+07 1.38053e+07
 100000 5.50649e+07 -5.50649e+07 5.50649e+07
 150000 1.23544e+08 -1.23544e+08 1.23544e+08
 200000 2.19008e+08 -2.19008e+08 2.19008e+08
 250000 3.41226e+08 -3.41226e+08 3.41226e+08
 300000 4.89969e+08 -4.89969e+08 4.89969e+08
 350000 6.65014e+08 -6.65014e+08 6.65014e+08
 400000 8.66138e+08 -8.66138e+08 8.66138e+08
 450000 1.09312e+09 -1.09312e+09 1.09312e+09
 500000 1.34576e+09 -1.34576e+09 1.34576e+09
 550000 1.62382e+09 -1.62382e+09 1.62382e+09
 600000 1.92709e+09 -1.92709e+09 1.92709e+09
 650000 2.25535e+09 -2.25535e+09 2.25535e+09
 700000 2.60838e+09 -2.60838e+09 2.60838e+09
 750000 2.98597e+09 -2.98597e+09 2.98597e+09
 800000 3.3879e+09 -3.3879e+09 3.3879e+09
 850000 3.81398e+09 -3.81398e+09 3.81398e+09
 900000 4.26399e+09 -4.26399e+09 4.26399e+09
 950000 4.73774e+09 -4.73774e+09 4.73774e+09
 1e+06 5.23502e+09 -5.23502e+09 5.23502e+09
 1e+06 5.23543e+09 -5.23543e+09 5.23543e+09
 2e+06 1.98525e+10 -1.98525e+10 1.98525e+10
 3e+06 4.24466e+10 -4.24466e+10 4.24466e+10
 4e+06 7.18772e+10 -7.18772e+10 7.18772e+10
 5e+06 1.07108e+11 -1.07108e+11 1.07108e+11
 6e+06 1.4724e+11 -1.4724e+11 1.4724e+11
 7e+06 1.9159e+11 -1.9159e+11 1.9159e+11
 8e+06 2.39619e+11 -2.39619e+11 2.39619e+11
 9e+06 2.90972e+11 -2.90972e+11 2.90972e+11
 1e+07 3.45413e+11 -3.45413e+11 3.45413e+11
 1.1e+07 4.02703e+11 -4.02703e+11 4.02703e+11
 1.2e+07 4.62514e+11 -4.62514e+11 4.62514e+11
 1.3e+07 5.2447e+11 -5.2447e+11 5.2447e+11
 1.4e+07 5.88306e+11 -5.88306e+11 5.88306e+11
 1.5e+07 6.53764e+11 -6.53764e+11 6.53764e+11
 1.6e+07 7.20485e+11 -7.20485e+11 7.20485e+11
 1.7e+07 7.8817e+11 -7.8817e+11 7.8817e+11
 1.8e+07 8.56619e+11 -8.56619e+11 8.56619e+11
 1.9e+07 9.25711e+11 -9.25711e+11 9.25711e+11
 2e+07 9.9535e+11 -9.9535e+11 9.9535e+11
 2e+07 9.5501e+11 -9.5501e+11 9.5501e+11
 4e+07 2.33176e+12 -2.33176e+12 2.33176e+12
 6e+07 3.63048e+12 -3.63048e+12 3.63048e+12
 8e+07 4.65469e+12 -4.65469e+12 4.65469e+12
 1e+08 6.05509e+12 -6.05509e+12 6.05509e+12
 1.2e+08 7.46809e+12 -7.46809e+12 7.46809e+12
 1.4e+08 9.10118e+12 -9.10118e+12 9.10118e+12
 1.6e+08 1.05512e+13 -1.05512e+13 1.05512e+13
 1.8e+08 1.20938e+13 -1.20938e+13 1.20938e+13
 2e+08 1.33233e+13 -1.33233e+13 1.33233e+13
 2.2e+08 1.47046e+13 -1.47046e+13 1.47046e+13
 2.4e+08 1.61487e+13 -1.61487e+13 1.61487e+13
 2.6e+08 1.72516e+13 -1.72516e+13 1.72516e+13
 2.8e+08 1.8196e+13 -1.8196e+13 1.8196e+13
 3e+08 1.89692e+13 -1.89692e+13 1.89692e+13
 3.2e+08 1.97279e+13 -1.97279e+13 1.97279e+13
 3.4e+08 1.98915e+13 -1.98915e+13 1.98915e+13
 3.6e+08 1.99269e+13 -1.99269e+13 1.99269e+13
 3.8e+08 1.91505e+13 -1.91505e+13 1.91505e+13
 4e+08 1.8047e+13 -1.8047e+13 1.8047e+13
 4e+08 8.65233e+12 -8.65233e+12 8.65233e+12
