Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.73456e-15
 100000 4.41967e-15
 150000 7.41158e-15
 200000 1.05553e-14
 250000 1.37817e-14
 300000 1.70705e-14
 350000 2.04185e-14
 400000 2.38205e-14
 450000 2.72703e-14
 500000 3.07513e-14
 550000 3.42532e-14
 600000 3.78e-14
 650000 4.13764e-14
 700000 4.4978e-14
 750000 4.86188e-14
 800000 5.2301e-14
 850000 5.60233e-14
 900000 5.97787e-14
 950000 6.35671e-14
 1e+06 6.74047e-14
 1e+06 6.70792e-14
 2e+06 1.50768e-13
 3e+06 2.4974e-13
 4e+06 3.59906e-13
 5e+06 4.8258e-13
 6e+06 6.19647e-13
 7e+06 7.72146e-13
 8e+06 9.37362e-13
 9e+06 1.11718e-12
 1e+07 1.31e-12
 1.1e+07 1.51619e-12
 1.2e+07 1.7357e-12
 1.3e+07 1.96836e-12
 1.4e+07 2.21405e-12
 1.5e+07 2.47659e-12
 1.6e+07 2.7534e-12
 1.7e+07 3.04808e-12
 1.8e+07 3.3575e-12
 1.9e+07 3.6809e-12
 2e+07 4.01827e-12
 2e+07 4.00789e-12
 4e+07 1.35548e-11
 6e+07 2.87171e-11
 8e+07 4.94003e-11
 1e+08 7.53316e-11
 1.2e+08 1.05912e-10
 1.4e+08 1.41169e-10
 1.6e+08 1.81141e-10
 1.8e+08 2.25434e-10
 2e+08 2.73858e-10
 2.2e+08 3.26761e-10
 2.4e+08 3.8431e-10
 2.6e+08 4.46803e-10
 2.8e+08 5.1368e-10
 3e+08 5.8553e-10
 3.2e+08 6.61499e-10
 3.4e+08 7.41842e-10
 3.6e+08 8.2686e-10
 3.8e+08 9.16742e-10
 4e+08 1.01231e-09
 4e+08 9.33171e-10
 8e+08 3.64371e-09
 1.2e+09 7.36082e-09
 1.6e+09 1.18006e-08
 2e+09 1.6747e-08
