Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 4.65898e+08
 100000 1.85502e+09
 150000 4.15464e+09
 200000 7.35222e+09
 250000 1.14354e+10
 300000 1.63919e+10
 350000 2.22097e+10
 400000 2.8877e+10
 450000 3.63821e+10
 500000 4.47134e+10
 550000 5.38596e+10
 600000 6.38094e+10
 650000 7.45518e+10
 700000 8.60758e+10
 750000 9.83707e+10
 800000 1.11426e+11
 850000 1.25231e+11
 900000 1.39776e+11
 950000 1.5505e+11
 1e+06 1.71043e+11
 1e+06 1.7104e+11
 2e+06 6.27689e+11
 3e+06 1.30096e+12
 4e+06 2.13865e+12
 5e+06 3.1012e+12
 6e+06 4.15862e+12
 7e+06 5.28812e+12
 8e+06 6.47239e+12
 9e+06 7.69824e+12
 1e+07 8.95576e+12
 1.1e+07 1.02374e+13
 1.2e+07 1.15376e+13
 1.3e+07 1.28517e+13
 1.4e+07 1.41765e+13
 1.5e+07 1.55093e+13
 1.6e+07 1.68482e+13
 1.7e+07 1.81917e+13
 1.8e+07 1.95387e+13
 1.9e+07 2.08883e+13
 2e+07 2.22396e+13
 2e+07 2.22179e+13
 4e+07 4.93671e+13
 6e+07 7.64693e+13
 8e+07 1.0351e+14
 1e+08 1.30567e+14
 1.2e+08 1.57679e+14
 1.4e+08 1.84717e+14
 1.6e+08 2.11827e+14
 1.8e+08 2.38923e+14
 2e+08 2.65907e+14
 2.2e+08 2.92972e+14
 2.4e+08 3.20114e+14
 2.6e+08 3.47183e+14
 2.8e+08 3.74232e+14
 3e+08 4.01144e+14
 3.2e+08 4.27965e+14
 3.4e+08 4.54859e+14
 3.6e+08 4.81926e+14
 3.8e+08 5.08984e+14
 4e+08 5.36022e+14
 4e+08 5.32839e+14
 8e+08 1.06494e+15
 1.2e+09 1.60146e+15
 1.6e+09 2.1418e+15
 2e+09 2.69222e+15
