Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 125789 100390 111333 112504
 100000 501104 399536 443272 447971
 150000 1.12318e+06 894697 993063 1.00365e+06
 200000 1.98932e+06 1.58315e+06 1.75801e+06 1.77683e+06
 250000 3.09686e+06 2.46223e+06 2.73547e+06 2.76485e+06
 300000 4.44321e+06 3.52932e+06 3.92285e+06 3.96513e+06
 350000 6.02578e+06 4.78185e+06 5.3176e+06 5.37508e+06
 400000 7.84201e+06 6.21723e+06 6.91727e+06 6.99217e+06
 450000 9.88937e+06 7.83295e+06 8.71941e+06 8.81391e+06
 500000 1.21654e+07 9.62653e+06 1.07216e+07 1.08378e+07
 500000 1.21594e+07 9.62403e+06 1.07146e+07 1.08327e+07
 1e+06 4.69684e+07 3.68236e+07 4.12166e+07 4.16695e+07
 1.5e+06 1.02208e+08 7.94173e+07 8.93211e+07 9.03154e+07
 2e+06 1.75899e+08 1.35567e+08 1.53062e+08 1.54843e+08
 2.5e+06 2.66287e+08 2.03656e+08 2.30729e+08 2.33557e+08
 3e+06 3.71887e+08 2.82225e+08 3.20783e+08 3.24965e+08
 3.5e+06 4.91364e+08 3.70016e+08 4.21874e+08 4.27751e+08
 4e+06 6.2354e+08 4.6601e+08 5.32743e+08 5.40765e+08
 4.5e+06 7.67421e+08 5.69305e+08 6.52298e+08 6.63008e+08
 5e+06 9.22098e+08 6.79086e+08 7.79579e+08 7.93588e+08
 5e+06 9.18568e+08 6.87444e+08 7.75539e+08 7.9385e+08
 1e+07 2.90793e+09 2.01414e+09 2.31434e+09 2.41214e+09
 1.5e+07 5.39964e+09 3.53175e+09 4.07705e+09 4.33614e+09
 2e+07 8.10203e+09 5.19878e+09 5.87721e+09 6.39267e+09
 2.5e+07 1.0864e+10 6.92928e+09 7.74436e+09 8.51253e+09
 3e+07 1.36145e+10 8.49932e+09 9.65165e+09 1.05885e+10
 3.5e+07 1.6294e+10 9.91984e+09 1.15952e+10 1.2603e+10
 4e+07 1.88109e+10 1.12022e+10 1.35181e+10 1.45104e+10
 4.5e+07 2.11777e+10 1.23865e+10 1.55222e+10 1.63621e+10
 5e+07 2.346e+10 1.36001e+10 1.76039e+10 1.82213e+10
 5e+07 2.90997e+10 1.33239e+10 1.72709e+10 1.98982e+10
 1e+08 4.7877e+10 2.67661e+10 3.80927e+10 3.75786e+10
 1.5e+08 7.2697e+10 3.91666e+10 6.7694e+10 5.98525e+10
 2e+08 9.03118e+10 5.30337e+10 9.36541e+10 7.89998e+10
 2.5e+08 1.1503e+11 7.46897e+10 1.26843e+11 1.05521e+11
 3e+08 1.42334e+11 9.29396e+10 1.56297e+11 1.30523e+11
 3.5e+08 1.64873e+11 1.07937e+11 1.83415e+11 1.52075e+11
 4e+08 1.90983e+11 1.26138e+11 2.0412e+11 1.73747e+11
 4.5e+08 2.19151e+11 1.45059e+11 2.16954e+11 1.93721e+11
 5e+08 2.53786e+11 1.5771e+11 2.24794e+11 2.12097e+11
 5e+08 9.49523e+10 4.09065e+10 4.28976e+11 1.88278e+11
 1e+09 3.44001e+11 1.63112e+11 4.82543e+11 3.29885e+11
 1.5e+09 7.15309e+11 3.0846e+11 1.05108e+12 6.91615e+11
 2e+09 7.59143e+11 3.75075e+11 6.07938e+11 5.80719e+11
