Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 8.47263e-16
 100000 2.30165e-15
 150000 3.98805e-15
 200000 5.83075e-15
 250000 7.81495e-15
 300000 9.93558e-15
 350000 1.21864e-14
 400000 1.45737e-14
 450000 1.70992e-14
 500000 1.97557e-14
 550000 2.25397e-14
 600000 2.54528e-14
 650000 2.84979e-14
 700000 3.16845e-14
 750000 3.50106e-14
 800000 3.84777e-14
 850000 4.20797e-14
 900000 4.58231e-14
 950000 4.97014e-14
 1e+06 5.37104e-14
 1e+06 5.4058e-14
 2e+06 1.61568e-13
 3e+06 3.20774e-13
 4e+06 5.31221e-13
 5e+06 7.93541e-13
 6e+06 1.10798e-12
 7e+06 1.47355e-12
 8e+06 1.89062e-12
 9e+06 2.36013e-12
 1e+07 2.88009e-12
 1.1e+07 3.45266e-12
 1.2e+07 4.07737e-12
 1.3e+07 4.75509e-12
 1.4e+07 5.48397e-12
 1.5e+07 6.2645e-12
 1.6e+07 7.09707e-12
 1.7e+07 7.98113e-12
 1.8e+07 8.91482e-12
 1.9e+07 9.90013e-12
 2e+07 1.09376e-11
 2e+07 1.09399e-11
 4e+07 4.25553e-11
 6e+07 9.45096e-11
 8e+07 1.66119e-10
 1e+08 2.57235e-10
 1.2e+08 3.67361e-10
 1.4e+08 4.96669e-10
 1.6e+08 6.43495e-10
 1.8e+08 8.08739e-10
 2e+08 9.91696e-10
 2.2e+08 1.19335e-09
 2.4e+08 1.41371e-09
 2.6e+08 1.65268e-09
 2.8e+08 1.90954e-09
 3e+08 2.18417e-09
 3.2e+08 2.47661e-09
 3.4e+08 2.78786e-09
 3.6e+08 3.11674e-09
 3.8e+08 3.46194e-09
 4e+08 3.82189e-09
 4e+08 3.96339e-09
 8e+08 1.47203e-08
 1.2e+09 3.11083e-08
 1.6e+09 5.58389e-08
 2e+09 8.72689e-08
