# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 24161.3 -0.0584419 4054.84 1.01308
200000 23643.5 -0.153299 3967.96 0.99136
300000 23433.2 0.0023177 3932.65 0.982589
400000 23676.8 -0.0824357 3973.54 0.992815
500000 23878.7 1.66691 4007.13 1.00159
600000 24011.5 -0.0652283 4029.71 1.0068
700000 24230.9 -0.175733 4066.55 1.01599
800000 23722.4 -0.224292 3981.22 0.994682
900000 24011.9 -0.0570878 4029.78 1.00682
1000000 23634.4 -0.0856672 3966.42 0.991058
