Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 2.06303e+08
 100000 8.18393e+08
 150000 1.82624e+09
 200000 3.22005e+09
 250000 4.9903e+09
 300000 7.12768e+09
 350000 9.62313e+09
 400000 1.24678e+10
 450000 1.56531e+10
 500000 1.91706e+10
 550000 2.3012e+10
 600000 2.71695e+10
 650000 3.16351e+10
 700000 3.64013e+10
 750000 4.14607e+10
 800000 4.68061e+10
 850000 5.24303e+10
 900000 5.83265e+10
 950000 6.44881e+10
 1e+06 7.09084e+10
 1e+06 7.09123e+10
 2e+06 2.44912e+11
 3e+06 4.8154e+11
 4e+06 7.56274e+11
 5e+06 1.05422e+12
 6e+06 1.36632e+12
 7e+06 1.68708e+12
 8e+06 2.0131e+12
 9e+06 2.34234e+12
 1e+07 2.67355e+12
 1.1e+07 3.00593e+12
 1.2e+07 3.339e+12
 1.3e+07 3.67244e+12
 1.4e+07 4.00606e+12
 1.5e+07 4.33977e+12
 1.6e+07 4.67352e+12
 1.7e+07 5.00731e+12
 1.8e+07 5.34117e+12
 1.9e+07 5.6751e+12
 2e+07 6.00907e+12
 2e+07 6.01318e+12
 4e+07 1.26971e+13
 6e+07 1.93988e+13
 8e+07 2.61288e+13
 1e+08 3.28669e+13
 1.2e+08 3.9594e+13
 1.4e+08 4.632e+13
 1.6e+08 5.30494e+13
 1.8e+08 5.97619e+13
 2e+08 6.64886e+13
 2.2e+08 7.32283e+13
 2.4e+08 7.99438e+13
 2.6e+08 8.66511e+13
 2.8e+08 9.33613e+13
 3e+08 1.00076e+14
 3.2e+08 1.06749e+14
 3.4e+08 1.13428e+14
 3.6e+08 1.20115e+14
 3.8e+08 1.26798e+14
 4e+08 1.33483e+14
 4e+08 1.33857e+14
 8e+08 2.6875e+14
 1.2e+09 3.98707e+14
 1.6e+09 5.29808e+14
 2e+09 6.60386e+14
