Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 14248.7 14572.7 14389 14403.5
 100000 56495.7 57791 57052.1 57113
 150000 126066 128981 127309 127452
 200000 222293 227480 224496 224756
 250000 344525 352648 347961 348378
 300000 492126 503846 497071 497681
 350000 664471 680442 671203 672038
 400000 860941 881813 869747 870834
 450000 1.08094e+06 1.10736e+06 1.09212e+06 1.09347e+06
 500000 1.32389e+06 1.35651e+06 1.33774e+06 1.33938e+06
 500000 1.32339e+06 1.3556e+06 1.33672e+06 1.33857e+06
 1e+06 4.8996e+06 5.02412e+06 4.95958e+06 4.9611e+06
 1.5e+06 1.02309e+07 1.04907e+07 1.03867e+07 1.03694e+07
 2e+06 1.69337e+07 1.73503e+07 1.72565e+07 1.71802e+07
 2.5e+06 2.46965e+07 2.52871e+07 2.52454e+07 2.50763e+07
 3e+06 3.32741e+07 3.40438e+07 3.40814e+07 3.37998e+07
 3.5e+06 4.24766e+07 4.34218e+07 4.35504e+07 4.31496e+07
 4e+06 5.21535e+07 5.32696e+07 5.34799e+07 5.29677e+07
 4.5e+06 6.22053e+07 6.3506e+07 6.37343e+07 6.31485e+07
 5e+06 7.25623e+07 7.40753e+07 7.42163e+07 7.3618e+07
 5e+06 7.31197e+07 7.36871e+07 7.38397e+07 7.35488e+07
 1e+07 1.80939e+08 1.92529e+08 1.85016e+08 1.86161e+08
 1.5e+07 2.85045e+08 3.22234e+08 3.00253e+08 3.02511e+08
 2e+07 3.83343e+08 4.53536e+08 4.12358e+08 4.16412e+08
 2.5e+07 4.74954e+08 5.85387e+08 5.15885e+08 5.25408e+08
 3e+07 5.74344e+08 7.18453e+08 6.16911e+08 6.36569e+08
 3.5e+07 6.88878e+08 8.63194e+08 7.11021e+08 7.54364e+08
 4e+07 8.05662e+08 1.01717e+09 8.00659e+08 8.74499e+08
 4.5e+07 9.20311e+08 1.17644e+09 8.90892e+08 9.95881e+08
 5e+07 1.03568e+09 1.33312e+09 9.75294e+08 1.1147e+09
 5e+07 1.02526e+09 1.11861e+09 1.02403e+09 1.05596e+09
 1e+08 1.8451e+09 2.4024e+09 1.59921e+09 1.9489e+09
 1.5e+08 2.50439e+09 3.47783e+09 2.29381e+09 2.75868e+09
 2e+08 2.77181e+09 4.79327e+09 2.96749e+09 3.51086e+09
 2.5e+08 3.29013e+09 5.7452e+09 3.44278e+09 4.15937e+09
 3e+08 3.74765e+09 6.20528e+09 4.25664e+09 4.73652e+09
 3.5e+08 4.16937e+09 5.8999e+09 4.61744e+09 4.89557e+09
 4e+08 4.83431e+09 5.95158e+09 4.69271e+09 5.15954e+09
 4.5e+08 5.42299e+09 6.03055e+09 4.80174e+09 5.41842e+09
 5e+08 6.11589e+09 5.93594e+09 4.59077e+09 5.54753e+09
 5e+08 7.18816e+09 2.57641e+09 3.37495e+09 4.37984e+09
 1e+09 1.80576e+10 7.60124e+09 1.65688e+09 9.10523e+09
 1.5e+09 1.07974e+10 1.7871e+10 4.53738e+09 1.10686e+10
 2e+09 1.46394e+10 2.66516e+10 8.32204e+09 1.65377e+10
