Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 2.40549e-16
 100000 6.23162e-16
 150000 1.09176e-15
 200000 1.64249e-15
 250000 2.27653e-15
 300000 2.99418e-15
 350000 3.79318e-15
 400000 4.67676e-15
 450000 5.64501e-15
 500000 6.69626e-15
 550000 7.82815e-15
 600000 9.04231e-15
 650000 1.03379e-14
 700000 1.17152e-14
 750000 1.31757e-14
 800000 1.4722e-14
 850000 1.63511e-14
 900000 1.8063e-14
 950000 1.98596e-14
 1e+06 2.174e-14
 1e+06 2.16213e-14
 2e+06 7.69447e-14
 3e+06 1.6608e-13
 4e+06 2.89038e-13
 5e+06 4.45878e-13
 6e+06 6.36529e-13
 7e+06 8.60451e-13
 8e+06 1.11812e-12
 9e+06 1.40987e-12
 1e+07 1.73506e-12
 1.1e+07 2.09406e-12
 1.2e+07 2.48701e-12
 1.3e+07 2.91366e-12
 1.4e+07 3.37369e-12
 1.5e+07 3.86754e-12
 1.6e+07 4.39515e-12
 1.7e+07 4.95635e-12
 1.8e+07 5.55115e-12
 1.9e+07 6.17981e-12
 2e+07 6.84272e-12
 2e+07 6.79472e-12
 4e+07 2.70266e-11
 6e+07 6.07252e-11
 8e+07 1.08215e-10
 1e+08 1.69836e-10
 1.2e+08 2.45851e-10
 1.4e+08 3.36275e-10
 1.6e+08 4.41029e-10
 1.8e+08 5.5952e-10
 2e+08 6.91037e-10
 2.2e+08 8.35503e-10
 2.4e+08 9.92325e-10
 2.6e+08 1.16151e-09
 2.8e+08 1.34388e-09
 3e+08 1.53784e-09
 3.2e+08 1.7439e-09
 3.4e+08 1.9622e-09
 3.6e+08 2.19199e-09
 3.8e+08 2.43298e-09
 4e+08 2.68411e-09
 4e+08 2.47042e-09
 8e+08 9.36813e-09
