Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 524.825 506.179 524.047 518.35
 100000 2043.6 1969.3 2041.53 2018.14
 150000 4484.89 4318.2 4483.13 4428.74
 200000 7781.95 7487.18 7783.95 7684.36
 250000 11872.7 11414.4 11884 11723.7
 300000 16698.8 16041.9 16727.4 16489.4
 350000 22206 21315.2 22263.5 21928.2
 400000 28343.8 27184.3 28446.1 27991.4
 450000 35065.5 33603.5 35233.4 34634.1
 500000 42326.7 40530 42586.1 41814.3
 500000 42246.3 40535.1 42826.8 41869.4
 1e+06 136811 130243 141005 136020
 1.5e+06 256056 241074 268482 255204
 2e+06 388858 359274 410527 386220
 2.5e+06 529708 478457 556721 521629
 3e+06 677301 596445 703306 659017
 3.5e+06 828397 714369 848121 796962
 4e+06 981583 832836 989846 934755
 4.5e+06 1.13591e+06 949529 1.12905e+06 1.0715e+06
 5e+06 1.29073e+06 1.06474e+06 1.26673e+06 1.2074e+06
 5e+06 1.39968e+06 1.03485e+06 1.23177e+06 1.2221e+06
 1e+07 3.04698e+06 2.33483e+06 2.64859e+06 2.6768e+06
 1.5e+07 4.77912e+06 3.78358e+06 3.8694e+06 4.14403e+06
 2e+07 6.35261e+06 5.17818e+06 5.08145e+06 5.53741e+06
 2.5e+07 7.98361e+06 6.68418e+06 6.37184e+06 7.01321e+06
 3e+07 9.40858e+06 8.171e+06 7.7218e+06 8.43379e+06
 3.5e+07 1.07253e+07 9.67729e+06 8.73883e+06 9.7138e+06
 4e+07 1.21023e+07 1.09326e+07 9.71337e+06 1.09161e+07
 4.5e+07 1.33226e+07 1.20875e+07 1.07788e+07 1.2063e+07
 5e+07 1.44296e+07 1.31823e+07 1.19774e+07 1.31964e+07
 5e+07 1.0667e+07 1.42032e+07 1.35906e+07 1.28203e+07
 1e+08 2.13508e+07 2.25137e+07 2.38319e+07 2.25655e+07
 1.5e+08 3.31024e+07 2.4494e+07 2.60223e+07 2.78729e+07
 2e+08 4.71017e+07 4.07296e+07 3.17158e+07 3.9849e+07
 2.5e+08 5.47565e+07 5.61551e+07 4.45897e+07 5.18338e+07
 3e+08 5.59193e+07 6.73589e+07 6.57513e+07 6.30098e+07
 3.5e+08 4.84711e+07 7.97754e+07 7.79356e+07 6.87274e+07
 4e+08 4.57145e+07 9.31906e+07 9.9177e+07 7.93607e+07
 4.5e+08 4.73716e+07 1.05821e+08 1.31318e+08 9.48368e+07
 5e+08 6.08649e+07 1.12982e+08 1.56653e+08 1.10167e+08
 5e+08 4.10155e+07 1.25949e+08 5.80302e+07 7.49984e+07
 1e+09 1.50387e+08 2.65423e+08 2.32003e+08 2.15937e+08
