Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 176781 144924 156152 159285
 100000 691869 564595 609471 621978
 150000 1.52639e+06 1.24067e+06 1.34166e+06 1.36957e+06
 200000 2.66411e+06 2.15742e+06 2.33726e+06 2.38626e+06
 250000 4.09119e+06 3.30102e+06 3.58338e+06 3.65853e+06
 300000 5.79543e+06 4.65897e+06 5.06893e+06 5.17444e+06
 350000 7.76601e+06 6.22017e+06 6.78402e+06 6.9234e+06
 400000 9.99339e+06 7.97491e+06 8.71953e+06 8.89595e+06
 450000 1.24692e+07 9.91483e+06 1.08675e+07 1.10839e+07
 500000 1.51858e+07 1.20325e+07 1.32209e+07 1.34797e+07
 500000 1.5225e+07 1.20383e+07 1.31705e+07 1.3478e+07
 1e+06 5.42486e+07 4.2006e+07 4.68564e+07 4.77037e+07
 1.5e+06 1.11892e+08 8.59013e+07 9.6537e+07 9.81101e+07
 2e+06 1.85375e+08 1.41229e+08 1.59715e+08 1.62107e+08
 2.5e+06 2.73253e+08 2.05788e+08 2.34883e+08 2.37974e+08
 3e+06 3.75412e+08 2.7825e+08 3.20723e+08 3.24795e+08
 3.5e+06 4.90628e+08 3.58036e+08 4.16753e+08 4.21805e+08
 4e+06 6.1761e+08 4.44412e+08 5.21883e+08 5.27968e+08
 4.5e+06 7.55059e+08 5.36943e+08 6.35527e+08 6.4251e+08
 5e+06 9.02139e+08 6.35602e+08 7.57068e+08 7.64936e+08
 5e+06 9.42606e+08 6.35295e+08 7.55513e+08 7.77805e+08
 1e+07 2.79069e+09 1.86532e+09 2.23518e+09 2.29706e+09
 1.5e+07 4.93192e+09 3.22391e+09 4.03444e+09 4.06342e+09
 2e+07 7.38444e+09 4.40204e+09 5.89151e+09 5.89266e+09
 2.5e+07 1.00523e+10 5.55356e+09 7.67363e+09 7.75984e+09
 3e+07 1.31291e+10 6.77251e+09 9.33597e+09 9.74586e+09
 3.5e+07 1.65165e+10 8.1605e+09 1.08243e+10 1.18338e+10
 4e+07 2.00239e+10 9.72692e+09 1.23754e+10 1.40421e+10
 4.5e+07 2.38795e+10 1.13119e+10 1.38002e+10 1.63306e+10
 5e+07 2.82678e+10 1.28047e+10 1.51716e+10 1.8748e+10
 5e+07 3.27157e+10 1.08642e+10 1.06132e+10 1.80644e+10
 1e+08 9.45354e+10 2.52224e+10 2.70958e+10 4.89512e+10
 1.5e+08 1.69012e+11 3.35369e+10 3.5807e+10 7.9452e+10
 2e+08 2.34957e+11 4.1433e+10 4.73619e+10 1.07917e+11
 2.5e+08 2.6221e+11 4.48757e+10 5.88526e+10 1.21979e+11
 3e+08 3.02135e+11 2.62803e+10 6.74534e+10 1.31956e+11
 3.5e+08 2.82804e+11 1.92341e+10 7.60046e+10 1.26014e+11
 4e+08 4.11156e+11 1.04599e+10 8.03655e+10 1.67327e+11
 4.5e+08 5.6862e+11 4.06421e+09 3.52736e+10 2.02653e+11
 5e+08 6.85354e+11 8.31531e+09 2.02732e+10 2.37981e+11
 5e+08 6.85354e+11 8.31531e+09 2.02732e+10 2.37981e+11
