Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 2.77974e+07 2.71753e+07
 100000 1.10881e+08 1.04168e+08
 150000 2.48789e+08 2.24832e+08
 200000 4.41061e+08 3.83835e+08
 250000 6.87246e+08 5.76546e+08
 300000 9.86891e+08 7.9894e+08
 350000 1.33955e+09 1.0475e+09
 400000 1.74478e+09 1.31915e+09
 450000 2.20214e+09 1.61121e+09
 500000 2.7112e+09 1.9213e+09
 550000 3.27152e+09 2.24736e+09
 600000 3.88268e+09 2.58757e+09
 650000 4.54424e+09 2.94033e+09
 700000 5.25578e+09 3.30424e+09
 750000 6.01689e+09 3.67809e+09
 800000 6.82715e+09 4.06079e+09
 850000 7.68615e+09 4.45139e+09
 900000 8.59347e+09 4.84902e+09
 950000 9.54873e+09 5.25291e+09
 1e+06 1.05515e+10 5.66239e+09
 1e+06 1.05526e+10 5.67393e+09
 2e+06 4.0007e+10 1.44642e+10
 3e+06 8.54612e+10 2.36512e+10
 4e+06 1.4448e+11 3.29909e+10
 5e+06 2.14979e+11 4.24184e+10
 6e+06 2.95174e+11 5.18629e+10
 7e+06 3.83548e+11 6.13242e+10
 8e+06 4.78837e+11 7.0765e+10
 9e+06 5.7999e+11 8.02318e+10
 1e+07 6.86112e+11 8.97349e+10
 1.1e+07 7.96411e+11 9.92549e+10
 1.2e+07 9.1021e+11 1.08792e+11
 1.3e+07 1.02696e+12 1.18294e+11
 1.4e+07 1.14618e+12 1.27741e+11
 1.5e+07 1.26746e+12 1.37228e+11
 1.6e+07 1.39046e+12 1.46747e+11
 1.7e+07 1.51492e+12 1.56286e+11
 1.8e+07 1.64062e+12 1.6585e+11
 1.9e+07 1.76731e+12 1.75412e+11
 2e+07 1.89485e+12 1.84929e+11
 2e+07 1.88601e+12 1.85698e+11
 4e+07 4.48146e+12 3.75811e+11
 6e+07 7.13369e+12 5.72381e+11
 8e+07 9.81711e+12 7.69996e+11
 1e+08 1.26165e+13 9.62875e+11
 1.2e+08 1.53964e+13 1.1502e+12
 1.4e+08 1.81135e+13 1.34832e+12
 1.6e+08 2.08088e+13 1.54625e+12
 1.8e+08 2.34423e+13 1.75941e+12
 2e+08 2.60939e+13 1.9768e+12
 2.2e+08 2.88241e+13 2.18645e+12
 2.4e+08 3.1524e+13 2.38763e+12
 2.6e+08 3.40957e+13 2.58176e+12
 2.8e+08 3.67569e+13 2.77479e+12
 3e+08 3.94766e+13 2.95991e+12
 3.2e+08 4.2235e+13 3.14227e+12
 3.4e+08 4.49415e+13 3.32707e+12
 3.6e+08 4.76117e+13 3.50791e+12
 3.8e+08 5.03002e+13 3.7032e+12
 4e+08 5.3288e+13 3.87669e+12
 4e+08 5.10621e+13 3.96498e+12
