Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 3.50644e+07 1.6521e+07
 100000 1.39822e+08 6.3832e+07
 150000 3.13625e+08 1.38815e+08
 200000 5.55831e+08 2.38695e+08
 250000 8.65804e+08 3.61003e+08
 300000 1.24291e+09 5.03538e+08
 350000 1.68654e+09 6.64331e+08
 400000 2.19605e+09 8.41619e+08
 450000 2.77085e+09 1.03382e+09
 500000 3.41032e+09 1.23952e+09
 550000 4.11386e+09 1.45743e+09
 600000 4.88088e+09 1.68643e+09
 650000 5.71078e+09 1.92548e+09
 700000 6.60298e+09 2.17364e+09
 750000 7.55689e+09 2.43009e+09
 800000 8.57196e+09 2.69409e+09
 850000 9.6476e+09 2.96495e+09
 900000 1.07833e+10 3.24206e+09
 950000 1.19784e+10 3.52487e+09
 1e+06 1.32324e+10 3.81287e+09
 1e+06 1.3235e+10 3.81329e+09
 2e+06 4.98791e+10 1.01937e+10
 3e+06 1.05936e+11 1.70544e+10
 4e+06 1.78083e+11 2.40944e+10
 5e+06 2.63557e+11 3.12448e+10
 6e+06 3.60046e+11 3.85222e+10
 7e+06 4.65631e+11 4.59032e+10
 8e+06 5.78726e+11 5.33427e+10
 9e+06 6.98028e+11 6.08266e+10
 1e+07 8.22456e+11 6.83468e+10
 1.1e+07 9.51126e+11 7.58944e+10
 1.2e+07 1.08332e+12 8.34505e+10
 1.3e+07 1.21845e+12 9.10081e+10
 1.4e+07 1.35602e+12 9.85575e+10
 1.5e+07 1.49563e+12 1.06119e+11
 1.6e+07 1.637e+12 1.13712e+11
 1.7e+07 1.77984e+12 1.21323e+11
 1.8e+07 1.92392e+12 1.28925e+11
 1.9e+07 2.06904e+12 1.36494e+11
 2e+07 2.21502e+12 1.44044e+11
 2e+07 2.20988e+12 1.42427e+11
 4e+07 5.1971e+12 2.97155e+11
 6e+07 8.2326e+12 4.57451e+11
 8e+07 1.13343e+13 6.13097e+11
 1e+08 1.43825e+13 7.6631e+11
 1.2e+08 1.74506e+13 9.21162e+11
 1.4e+08 2.05198e+13 1.08148e+12
 1.6e+08 2.37225e+13 1.25127e+12
 1.8e+08 2.69578e+13 1.43054e+12
 2e+08 3.0123e+13 1.62101e+12
 2.2e+08 3.32327e+13 1.80565e+12
 2.4e+08 3.62396e+13 1.98309e+12
 2.6e+08 3.92169e+13 2.14828e+12
 2.8e+08 4.21283e+13 2.32237e+12
 3e+08 4.50361e+13 2.49029e+12
 3.2e+08 4.80166e+13 2.66329e+12
 3.4e+08 5.10679e+13 2.83044e+12
 3.6e+08 5.41483e+13 3.00488e+12
 3.8e+08 5.72196e+13 3.1668e+12
 4e+08 6.03273e+13 3.32446e+12
 4e+08 6.03747e+13 3.04191e+12
 8e+08 1.18245e+14 5.55773e+12
