Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 146282 174024 120458 146921
 100000 576551 687506 473401 579153
 150000 1.28007e+06 1.52976e+06 1.04833e+06 1.28606e+06
 200000 2.24714e+06 2.69124e+06 1.83591e+06 2.2581e+06
 250000 3.46904e+06 4.16333e+06 2.82794e+06 3.48677e+06
 300000 4.93771e+06 5.93833e+06 4.01695e+06 4.96433e+06
 350000 6.64556e+06 8.00902e+06 5.3959e+06 6.68349e+06
 400000 8.58556e+06 1.03688e+07 6.95848e+06 8.6376e+06
 450000 1.07511e+07 1.30113e+07 8.69891e+06 1.08204e+07
 500000 1.31361e+07 1.59311e+07 1.06117e+07 1.32263e+07
 500000 1.31566e+07 1.59395e+07 1.06307e+07 1.32423e+07
 1e+06 4.79937e+07 5.93885e+07 3.82467e+07 4.8543e+07
 1.5e+06 1.00347e+08 1.26294e+08 7.90506e+07 1.01897e+08
 2e+06 1.67638e+08 2.14048e+08 1.30474e+08 1.7072e+08
 2.5e+06 2.48001e+08 3.20741e+08 1.9047e+08 2.53071e+08
 3e+06 3.40025e+08 4.45087e+08 2.57471e+08 3.47528e+08
 3.5e+06 4.42443e+08 5.8586e+08 3.29783e+08 4.52695e+08
 4e+06 5.542e+08 7.41896e+08 4.05781e+08 5.67292e+08
 4.5e+06 6.74333e+08 9.11887e+08 4.84249e+08 6.90156e+08
 5e+06 8.02157e+08 1.09474e+09 5.64627e+08 8.20509e+08
 5e+06 8.00081e+08 1.0892e+09 5.73923e+08 8.21068e+08
 1e+07 2.385e+09 3.46077e+09 1.37049e+09 2.40542e+09
 1.5e+07 4.23857e+09 6.44086e+09 2.13295e+09 4.27079e+09
 2e+07 6.33307e+09 9.5745e+09 2.80083e+09 6.23613e+09
 2.5e+07 8.55989e+09 1.2746e+10 3.41317e+09 8.23969e+09
 3e+07 1.08378e+10 1.60958e+10 4.07298e+09 1.03355e+10
 3.5e+07 1.32208e+10 1.95898e+10 4.62626e+09 1.24789e+10
 4e+07 1.57413e+10 2.33324e+10 5.3372e+09 1.48036e+10
 4.5e+07 1.82489e+10 2.73856e+10 6.12764e+09 1.72541e+10
 5e+07 2.07253e+10 3.17287e+10 6.85825e+09 1.97708e+10
 5e+07 1.80996e+10 3.20809e+10 6.65338e+09 1.89446e+10
 1e+08 3.87518e+10 8.21749e+10 1.2744e+10 4.45569e+10
 1.5e+08 5.29988e+10 1.39654e+11 1.9752e+10 7.08017e+10
 2e+08 7.95097e+10 2.01717e+11 2.97209e+10 1.03649e+11
 2.5e+08 1.11492e+11 2.25437e+11 3.76055e+10 1.24845e+11
 3e+08 1.51659e+11 2.29863e+11 4.32287e+10 1.41584e+11
 3.5e+08 2.01513e+11 2.45762e+11 4.35447e+10 1.63607e+11
 4e+08 2.54347e+11 2.61927e+11 4.54373e+10 1.87237e+11
 4.5e+08 3.03479e+11 2.68432e+11 4.76168e+10 2.06509e+11
 5e+08 3.66671e+11 2.57617e+11 5.22575e+10 2.25515e+11
 5e+08 1.60724e+11 7.17053e+11 8.63388e+10 3.21372e+11
