Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 1.02511e+08
 100000 4.04188e+08
 150000 8.96531e+08
 200000 1.57141e+09
 250000 2.42103e+09
 300000 3.43796e+09
 350000 4.61507e+09
 400000 5.94554e+09
 450000 7.42286e+09
 500000 9.04077e+09
 550000 1.07933e+10
 600000 1.26748e+10
 650000 1.46797e+10
 700000 1.68027e+10
 750000 1.9039e+10
 800000 2.13837e+10
 850000 2.38322e+10
 900000 2.63801e+10
 950000 2.90232e+10
 1e+06 3.17575e+10
 1e+06 3.17545e+10
 2e+06 1.00675e+11
 3e+06 1.8526e+11
 4e+06 2.76437e+11
 5e+06 3.70355e+11
 6e+06 4.65398e+11
 7e+06 5.60914e+11
 8e+06 6.56632e+11
 9e+06 7.52433e+11
 1e+07 8.48274e+11
 1.1e+07 9.44148e+11
 1.2e+07 1.04005e+12
 1.3e+07 1.136e+12
 1.4e+07 1.23201e+12
 1.5e+07 1.32808e+12
 1.6e+07 1.42421e+12
 1.7e+07 1.52036e+12
 1.8e+07 1.6165e+12
 1.9e+07 1.71261e+12
 2e+07 1.80868e+12
 2e+07 1.8063e+12
 4e+07 3.72773e+12
 6e+07 5.64822e+12
 8e+07 7.57502e+12
 1e+08 9.50524e+12
 1.2e+08 1.14397e+13
 1.4e+08 1.33827e+13
 1.6e+08 1.53096e+13
 1.8e+08 1.72317e+13
 2e+08 1.91549e+13
 2.2e+08 2.10864e+13
 2.4e+08 2.30249e+13
 2.6e+08 2.49647e+13
 2.8e+08 2.69248e+13
 3e+08 2.88937e+13
 3.2e+08 3.08809e+13
 3.4e+08 3.2863e+13
 3.6e+08 3.48515e+13
 3.8e+08 3.68182e+13
 4e+08 3.88006e+13
 4e+08 3.84536e+13
 8e+08 7.72826e+13
