Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 5.96048e-16
 100000 1.5381e-15
 150000 2.60911e-15
 200000 3.78806e-15
 250000 5.07361e-15
 300000 6.45622e-15
 350000 7.94603e-15
 400000 9.55004e-15
 450000 1.12659e-14
 500000 1.30998e-14
 550000 1.50482e-14
 600000 1.71042e-14
 650000 1.92739e-14
 700000 2.15491e-14
 750000 2.393e-14
 800000 2.64229e-14
 850000 2.90248e-14
 900000 3.17279e-14
 950000 3.45378e-14
 1e+06 3.74537e-14
 1e+06 3.73468e-14
 2e+06 1.17621e-13
 3e+06 2.40065e-13
 4e+06 4.05536e-13
 5e+06 6.13737e-13
 6e+06 8.63717e-13
 7e+06 1.15703e-12
 8e+06 1.49282e-12
 9e+06 1.87134e-12
 1e+07 2.29265e-12
 1.1e+07 2.75782e-12
 1.2e+07 3.26521e-12
 1.3e+07 3.81537e-12
 1.4e+07 4.40873e-12
 1.5e+07 5.0447e-12
 1.6e+07 5.72374e-12
 1.7e+07 6.44675e-12
 1.8e+07 7.21354e-12
 1.9e+07 8.02459e-12
 2e+07 8.87844e-12
 2e+07 8.85977e-12
 4e+07 3.49026e-11
 6e+07 7.83672e-11
 8e+07 1.39317e-10
 1e+08 2.18554e-10
 1.2e+08 3.16368e-10
 1.4e+08 4.33334e-10
 1.6e+08 5.69036e-10
 1.8e+08 7.23113e-10
 2e+08 8.95745e-10
 2.2e+08 1.08744e-09
 2.4e+08 1.29819e-09
 2.6e+08 1.52822e-09
 2.8e+08 1.77681e-09
 3e+08 2.04483e-09
 3.2e+08 2.33252e-09
 3.4e+08 2.63892e-09
 3.6e+08 2.96377e-09
 3.8e+08 3.30601e-09
 4e+08 3.66491e-09
 4e+08 2.8226e-09
 8e+08 9.9338e-09
